energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  430200000.0  6294000000.0  2.4000000000000003e-08  1.2000000000000002e-08  8e-09
1.3  447800000.0  6627999999.999999  2.5000000000000002e-08  1.2000000000000002e-08  9.000000000000001e-09
1.4  464700000.0  6952000000.0  2.6e-08  1.3e-08  9.000000000000001e-09
1.5  480999999.99999994  7268000000.0  2.7e-08  1.3e-08  9.000000000000001e-09
1.6  496800000.0  7574999999.999999  2.8000000000000003e-08  1.4000000000000001e-08  1e-08
1.7  512100000.0  7874000000.0  2.9e-08  1.4000000000000001e-08  1e-08
1.8  526900000.0  8166000000.0  2.9e-08  1.5000000000000002e-08  1e-08
2  555400000.0  8731000000.0  3.1e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.25  589100000.0  9406000000.0  3.2e-08  1.6e-08  1.2000000000000002e-08
2.49999  621000000.0  10049999999.999998  3.4e-08  1.7e-08  1.2000000000000002e-08
2.74999  651299999.9999999  10670000000.0  3.5e-08  1.8000000000000002e-08  1.3e-08
2.99999  680299999.9999999  11259999999.999998  3.7e-08  1.9e-08  1.4000000000000001e-08
3.24999  708100000.0  11830000000.0  3.8e-08  1.9e-08  1.4000000000000001e-08
3.49999  734800000.0  12390000000.000002  3.9000000000000005e-08  2e-08  1.5000000000000002e-08
3.74999  760600000.0  12930000000.0  4e-08  2.1000000000000003e-08  1.5000000000000002e-08
3.99999  785500000.0  13450000000.0  4.2000000000000006e-08  2.1000000000000003e-08  1.6e-08
4.49999  833200000.0  14450000000.0  4.4000000000000004e-08  2.2000000000000002e-08  1.6e-08
4.99999  878200000.0  15410000000.0  4.6e-08  2.3e-08  1.7e-08
5.49999  921100000.0  16319999999.999998  4.8000000000000006e-08  2.5000000000000002e-08  1.8000000000000002e-08
5.99999  962100000.0  17190000000.0  4.9e-08  2.6e-08  1.9e-08
6.49999  1001000000.0  18040000000.0  5.1e-08  2.6e-08  2e-08
6.99999  1039000000.0000001  18850000000.0  5.3000000000000005e-08  2.7e-08  2e-08
7.99999  1111000000.0  20400000000.0  5.6000000000000005e-08  2.9e-08  2.1000000000000003e-08
8.99999  1178000000.0  21850000000.0  5.8e-08  3.1e-08  2.3e-08
9.99999  1242000000.0  23240000000.0  6.1e-08  3.2e-08  2.4000000000000003e-08
10.9999  1303000000.0  24550000000.0  6.300000000000001e-08  3.3000000000000004e-08  2.5000000000000002e-08
11.9999  1361000000.0  25810000000.0  6.600000000000001e-08  3.5e-08  2.6e-08
12.9999  1416000000.0  27020000000.0  6.8e-08  3.6000000000000005e-08  2.7e-08
13.9999  1470000000.0  28180000000.0  7e-08  3.7e-08  2.7e-08
14.9999  1521000000.0000002  29300000000.0  7.200000000000001e-08  3.8e-08  2.8000000000000003e-08
15.9999  1571000000.0  30380000000.0  7.4e-08  4e-08  2.9e-08
16.9999  1619000000.0  31429999999.999996  7.6e-08  4.1e-08  3.0000000000000004e-08
17.9999  1666000000.0  32450000000.0  7.800000000000001e-08  4.2000000000000006e-08  3.0000000000000004e-08
19.9999  1756000000.0  34400000000.0  8.100000000000001e-08  4.4000000000000004e-08  3.2e-08
22.4999  1863000000.0  36690000000.0  8.6e-08  4.6e-08  3.4e-08
24.9999  1964000000.0  38860000000.0  8.9e-08  4.8000000000000006e-08  3.5e-08
27.4999  2060000000.0  40900000000.0  9.300000000000001e-08  5.0000000000000004e-08  3.6000000000000005e-08
