 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Nitrogen (gas).txt

 Ion = Argon [18] , Mass = 39.962 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.965E-02  5.831E-01      26 A        10 A         7 A   
    1.2 eV    6.965E-02  6.179E-01      27 A        11 A         8 A   
    1.3 eV    7.250E-02  6.515E-01      28 A        11 A         8 A   
    1.4 eV    7.524E-02  6.843E-01      29 A        11 A         8 A   
    1.5 eV    7.788E-02  7.161E-01      30 A        12 A         8 A   
    1.6 eV    8.043E-02  7.472E-01      31 A        12 A         9 A   
    1.7 eV    8.291E-02  7.775E-01      32 A        13 A         9 A   
    1.8 eV    8.531E-02  8.071E-01      32 A        13 A         9 A   
      2 eV    8.992E-02  8.646E-01      34 A        14 A        10 A   
   2.25 eV    9.538E-02  9.334E-01      36 A        14 A        10 A   
2.49999 eV    1.005E-01  9.992E-01      38 A        15 A        11 A   
2.74999 eV    1.054E-01  1.062E+00      39 A        16 A        11 A   
2.99999 eV    1.101E-01  1.123E+00      41 A        17 A        12 A   
3.24999 eV    1.146E-01  1.182E+00      42 A        17 A        12 A   
3.49999 eV    1.190E-01  1.240E+00      44 A        18 A        13 A   
3.74999 eV    1.231E-01  1.295E+00      45 A        18 A        13 A   
3.99999 eV    1.272E-01  1.349E+00      46 A        19 A        14 A   
4.49999 eV    1.349E-01  1.453E+00      48 A        20 A        15 A   
4.99999 eV    1.422E-01  1.552E+00      51 A        21 A        15 A   
5.49999 eV    1.491E-01  1.647E+00      53 A        22 A        16 A   
