 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Calcium in Nitrogen (gas).txt

 Ion = Calcium [20] , Mass = 39.963 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.556E-02  5.905E-01      26 A        10 A         7 A   
    1.2 eV    5.556E-02  6.258E-01      27 A        11 A         8 A   
    1.3 eV    5.783E-02  6.601E-01      28 A        11 A         8 A   
    1.4 eV    6.001E-02  6.934E-01      29 A        12 A         8 A   
    1.5 eV    6.212E-02  7.258E-01      30 A        12 A         9 A   
    1.6 eV    6.415E-02  7.574E-01      31 A        12 A         9 A   
    1.7 eV    6.613E-02  7.883E-01      32 A        13 A         9 A   
    1.8 eV    6.804E-02  8.185E-01      33 A        13 A         9 A   
      2 eV    7.172E-02  8.770E-01      34 A        14 A        10 A   
   2.25 eV    7.608E-02  9.471E-01      36 A        15 A        11 A   
2.49999 eV    8.019E-02  1.014E+00      38 A        15 A        11 A   
2.74999 eV    8.410E-02  1.079E+00      39 A        16 A        12 A   
2.99999 eV    8.784E-02  1.141E+00      41 A        17 A        12 A   
3.24999 eV    9.143E-02  1.201E+00      42 A        17 A        13 A   
3.49999 eV    9.488E-02  1.260E+00      44 A        18 A        13 A   
3.74999 eV    9.821E-02  1.316E+00      45 A        19 A        14 A   
3.99999 eV    1.014E-01  1.372E+00      46 A        19 A        14 A   
4.49999 eV    1.076E-01  1.478E+00      49 A        20 A        15 A   
4.99999 eV    1.134E-01  1.579E+00      51 A        21 A        16 A   
5.49999 eV    1.189E-01  1.677E+00      53 A        22 A        16 A   
