energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  555600000.0  6258000000.0  2.7e-08  1.1000000000000001e-08  8e-09
1.3  578300000.0  6601000000.0  2.8000000000000003e-08  1.1000000000000001e-08  8e-09
1.4  600100000.0  6934000000.0  2.9e-08  1.2000000000000002e-08  8e-09
1.5  621200000.0  7258000000.0  3.0000000000000004e-08  1.2000000000000002e-08  9.000000000000001e-09
1.6  641500000.0  7574000000.0  3.1e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  661300000.0  7883000000.0  3.2e-08  1.3e-08  9.000000000000001e-09
1.8  680400000.0  8185000000.0  3.3000000000000004e-08  1.3e-08  9.000000000000001e-09
2  717200000.0000001  8770000000.0  3.4e-08  1.4000000000000001e-08  1e-08
2.25  760800000.0  9471000000.0  3.6000000000000005e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.49999  801900000.0  10140000000.0  3.8e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  841000000.0  10790000000.0  3.9000000000000005e-08  1.6e-08  1.2000000000000002e-08
2.99999  878400000.0  11410000000.0  4.1e-08  1.7e-08  1.2000000000000002e-08
3.24999  914300000.0  12010000000.0  4.2000000000000006e-08  1.7e-08  1.3e-08
3.49999  948800000.0000001  12600000000.0  4.4000000000000004e-08  1.8000000000000002e-08  1.3e-08
3.74999  982100000.0  13160000000.0  4.5000000000000006e-08  1.9e-08  1.4000000000000001e-08
3.99999  1014000000.0  13720000000.000002  4.6e-08  1.9e-08  1.4000000000000001e-08
4.49999  1076000000.0  14780000000.0  4.9e-08  2e-08  1.5000000000000002e-08
4.99999  1134000000.0  15790000000.0  5.1e-08  2.1000000000000003e-08  1.6e-08
5.49999  1189000000.0  16770000000.0  5.3000000000000005e-08  2.2000000000000002e-08  1.6e-08
5.99999  1242000000.0  17700000000.0  5.5e-08  2.3e-08  1.7e-08
6.49999  1293000000.0  18610000000.0  5.6000000000000005e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.99999  1342000000.0000002  19480000000.0  5.8e-08  2.5000000000000002e-08  1.8000000000000002e-08
7.99999  1434000000.0  21160000000.0  6.1e-08  2.6e-08  1.9e-08
8.99999  1522000000.0  22740000000.0  6.4e-08  2.8000000000000003e-08  2e-08
9.99999  1603999999.9999998  24250000000.0  6.7e-08  2.9e-08  2.1000000000000003e-08
10.9999  1682000000.0  25690000000.0  7e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  1757000000.0  27070000000.0  7.200000000000001e-08  3.1e-08  2.3e-08
12.9999  1829000000.0  28400000000.0  7.500000000000001e-08  3.2e-08  2.4000000000000003e-08
13.9999  1898000000.0  29690000000.0  7.7e-08  3.3000000000000004e-08  2.5000000000000002e-08
14.9999  1964000000.0  30930000000.0  7.9e-08  3.4e-08  2.6e-08
15.9999  2029000000.0  32140000000.0  8.100000000000001e-08  3.5e-08  2.6e-08
16.9999  2091000000.0  33310000000.0  8.3e-08  3.6000000000000005e-08  2.7e-08
17.9999  2152000000.0  34440000000.0  8.500000000000001e-08  3.7e-08  2.8000000000000003e-08
19.9999  2268000000.0  36630000000.0  8.9e-08  3.9000000000000005e-08  2.9e-08
22.4999  2406000000.0  39220000000.0  9.300000000000001e-08  4.1e-08  3.0000000000000004e-08
24.9999  2536000000.0  41680000000.0  9.8e-08  4.3e-08  3.2e-08
27.4999  2660000000.0  44010000000.0  1.01e-07  4.5000000000000006e-08  3.3000000000000004e-08
29.9999  2778000000.0  46240000000.0  1.05e-07  4.6e-08  3.4e-08
32.4999  2891000000.0  48380000000.0  1.0900000000000001e-07  4.8000000000000006e-08  3.5e-08
34.9999  3000000000.0  50439999999.99999  1.1200000000000001e-07  5.0000000000000004e-08  3.6000000000000005e-08
37.4999  3106000000.0  52420000000.0  1.1500000000000001e-07  5.1e-08  3.8e-08
39.9999  3207999999.9999995  54330000000.0  1.1800000000000001e-07  5.3000000000000005e-08  3.9000000000000005e-08
44.9999  3402000000.0  57980000000.0  1.24e-07  5.5e-08  4e-08
49.9999  3585999999.9999995  61420000000.0  1.3e-07  5.8e-08  4.2000000000000006e-08
54.9999  3761000000.0  64670000000.0  1.35e-07  6.000000000000001e-08  4.4000000000000004e-08
59.9999  3929000000.0000005  67770000000.0  1.4e-07  6.2e-08  4.6e-08
64.9999  4089000000.0  70720000000.0  1.4500000000000001e-07  6.5e-08  4.7000000000000004e-08
69.9999  4243000000.0  73560000000.0  1.5000000000000002e-07  6.7e-08  4.9e-08
79.9999  4536000000.0  78890000000.0  1.59e-07  7.1e-08  5.1e-08
89.9999  4811000000.0  83850000000.0  1.67e-07  7.4e-08  5.4e-08
99.9999  5072000000.0  88500000000.0  1.7500000000000002e-07  7.800000000000001e-08  5.6000000000000005e-08
110  5319000000.0  92880000000.0  1.83e-07  8.100000000000001e-08  5.9000000000000006e-08
120  5556000000.0  97020000000.0  1.9e-07  8.400000000000001e-08  6.1e-08
130  5783000000.0  101000000000.0  1.97e-07  8.700000000000001e-08  6.300000000000001e-08
139.999  6001000000.0  104700000000.0  2.03e-07  9.000000000000001e-08  6.5e-08
149.999  6212000000.0  108300000000.0  2.1e-07  9.2e-08  6.7e-08
159.999  6415000000.0  111700000000.0  2.16e-07  9.5e-08  6.900000000000001e-08
169.999  6613000000.0  115000000000.0  2.22e-07  9.700000000000001e-08  7e-08
179.999  6804000000.0  118200000000.0  2.28e-07  1.0000000000000001e-07  7.200000000000001e-08
199.999  7171999999.999999  124200000000.0  2.4000000000000003e-07  1.04e-07  7.500000000000001e-08
224.999  7608000000.0  131199999999.99998  2.53e-07  1.1e-07  7.9e-08
249.999  8018999999.999999  137700000000.0  2.66e-07  1.1500000000000001e-07  8.3e-08
274.999  8410000000.0  143700000000.0  2.79e-07  1.2000000000000002e-07  8.700000000000001e-08
299.999  8784000000.0  149400000000.0  2.91e-07  1.24e-07  9.000000000000001e-08
324.999  9143000000.0  154700000000.0  3.0200000000000003e-07  1.29e-07  9.400000000000001e-08
349.999  9488000000.0  159800000000.0  3.1400000000000003e-07  1.33e-07  9.700000000000001e-08
374.999  9821000000.0  164600000000.0  3.2400000000000004e-07  1.37e-07  1.0000000000000001e-07
399.999  10140000000.0  169100000000.0  3.35e-07  1.41e-07  1.0300000000000001e-07
449.999  10760000000.0  177600000000.00003  3.56e-07  1.49e-07  1.08e-07
499.999  11339999999.999998  185400000000.0  3.75e-07  1.5600000000000002e-07  1.14e-07
549.999  11890000000.0  192600000000.00003  3.94e-07  1.6300000000000002e-07  1.1900000000000001e-07
599.999  12420000000.0  199300000000.0  4.1200000000000004e-07  1.7000000000000001e-07  1.24e-07
649.999  12930000000.0  205600000000.0  4.3e-07  1.7600000000000001e-07  1.29e-07
699.999  13420000000.0  211500000000.0  4.47e-07  1.8200000000000002e-07  1.34e-07
799.999  14340000000.0  222200000000.0  4.81e-07  1.9400000000000002e-07  1.43e-07
899.999  15220000000.0  231900000000.0  5.12e-07  2.0500000000000002e-07  1.5100000000000002e-07
