 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Chlorine in Nitrogen (gas).txt

 Ion = Chlorine [17] , Mass = 34.969 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    7.764E-02  5.955E-01      24 A        10 A         7 A   
    1.2 eV    7.764E-02  6.308E-01      25 A        11 A         7 A   
    1.3 eV    8.081E-02  6.649E-01      26 A        11 A         8 A   
    1.4 eV    8.386E-02  6.981E-01      27 A        11 A         8 A   
    1.5 eV    8.680E-02  7.304E-01      28 A        12 A         8 A   
    1.6 eV    8.965E-02  7.619E-01      29 A        12 A         9 A   
    1.7 eV    9.241E-02  7.926E-01      30 A        13 A         9 A   
    1.8 eV    9.509E-02  8.226E-01      31 A        13 A         9 A   
      2 eV    1.002E-01  8.808E-01      32 A        14 A        10 A   
   2.25 eV    1.063E-01  9.503E-01      34 A        14 A        10 A   
2.49999 eV    1.121E-01  1.017E+00      35 A        15 A        11 A   
2.74999 eV    1.175E-01  1.081E+00      37 A        16 A        12 A   
2.99999 eV    1.228E-01  1.142E+00      38 A        17 A        12 A   
3.24999 eV    1.278E-01  1.202E+00      40 A        17 A        13 A   
3.49999 eV    1.326E-01  1.260E+00      41 A        18 A        13 A   
3.74999 eV    1.372E-01  1.316E+00      42 A        18 A        13 A   
3.99999 eV    1.417E-01  1.370E+00      43 A        19 A        14 A   
4.49999 eV    1.503E-01  1.475E+00      46 A        20 A        15 A   
4.99999 eV    1.585E-01  1.575E+00      48 A        21 A        15 A   
