 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in Nitrogen (gas).txt

 Ion = Chromium [24] , Mass = 51.94 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.978E-02  5.597E-01      29 A        10 A         7 A   
    1.2 eV    4.978E-02  5.937E-01      30 A        11 A         8 A   
    1.3 eV    5.182E-02  6.267E-01      31 A        11 A         8 A   
    1.4 eV    5.377E-02  6.587E-01      33 A        11 A         8 A   
    1.5 eV    5.566E-02  6.900E-01      34 A        12 A         8 A   
    1.6 eV    5.749E-02  7.205E-01      35 A        12 A         9 A   
    1.7 eV    5.926E-02  7.503E-01      36 A        13 A         9 A   
    1.8 eV    6.097E-02  7.795E-01      37 A        13 A         9 A   
      2 eV    6.427E-02  8.362E-01      38 A        14 A        10 A   
   2.25 eV    6.817E-02  9.041E-01      40 A        14 A        10 A   
2.49999 eV    7.186E-02  9.692E-01      42 A        15 A        11 A   
2.74999 eV    7.536E-02  1.032E+00      44 A        16 A        12 A   
2.99999 eV    7.872E-02  1.092E+00      46 A        17 A        12 A   
3.24999 eV    8.193E-02  1.151E+00      47 A        17 A        13 A   
3.49999 eV    8.502E-02  1.208E+00      49 A        18 A        13 A   
3.74999 eV    8.801E-02  1.263E+00      50 A        18 A        13 A   
3.99999 eV    9.089E-02  1.317E+00      52 A        19 A        14 A   
4.49999 eV    9.641E-02  1.421E+00      54 A        20 A        15 A   
4.99999 eV    1.016E-01  1.521E+00      57 A        21 A        15 A   
5.49999 eV    1.066E-01  1.616E+00      59 A        22 A        16 A   
