energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  497800000.0  5937000000.0  3.0000000000000004e-08  1.1000000000000001e-08  8e-09
1.3  518200000.0  6267000000.0  3.1e-08  1.1000000000000001e-08  8e-09
1.4  537700000.0  6586999999.999999  3.3000000000000004e-08  1.1000000000000001e-08  8e-09
1.5  556600000.0  6899999999.999999  3.4e-08  1.2000000000000002e-08  8e-09
1.6  574900000.0  7205000000.0  3.5e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  592600000.0  7503000000.0  3.6000000000000005e-08  1.3e-08  9.000000000000001e-09
1.8  609700000.0  7795000000.0  3.7e-08  1.3e-08  9.000000000000001e-09
2  642699999.9999999  8362000000.000001  3.8e-08  1.4000000000000001e-08  1e-08
2.25  681700000.0  9041000000.0  4e-08  1.4000000000000001e-08  1e-08
2.49999  718599999.9999999  9692000000.0  4.2000000000000006e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  753600000.0  10320000000.0  4.4000000000000004e-08  1.6e-08  1.2000000000000002e-08
2.99999  787200000.0  10920000000.0  4.6e-08  1.7e-08  1.2000000000000002e-08
3.24999  819300000.0  11510000000.0  4.7000000000000004e-08  1.7e-08  1.3e-08
3.49999  850200000.0  12080000000.0  4.9e-08  1.8000000000000002e-08  1.3e-08
3.74999  880100000.0  12629999999.999998  5.0000000000000004e-08  1.8000000000000002e-08  1.3e-08
3.99999  908900000.0  13170000000.0  5.2e-08  1.9e-08  1.4000000000000001e-08
4.49999  964100000.0  14210000000.0  5.4e-08  2e-08  1.5000000000000002e-08
4.99999  1016000000.0  15210000000.0  5.7e-08  2.1000000000000003e-08  1.5000000000000002e-08
5.49999  1066000000.0  16160000000.000002  5.9000000000000006e-08  2.2000000000000002e-08  1.6e-08
5.99999  1113000000.0  17090000000.0  6.1e-08  2.3e-08  1.7e-08
6.49999  1159000000.0  17980000000.0  6.300000000000001e-08  2.4000000000000003e-08  1.7e-08
6.99999  1202000000.0  18840000000.0  6.5e-08  2.4000000000000003e-08  1.8000000000000002e-08
7.99999  1285000000.0  20490000000.0  6.900000000000001e-08  2.6e-08  1.9e-08
8.99999  1363000000.0  22060000000.0  7.200000000000001e-08  2.7e-08  2e-08
9.99999  1437000000.0  23550000000.0  7.500000000000001e-08  2.8000000000000003e-08  2.1000000000000003e-08
10.9999  1507000000.0  24980000000.000004  7.800000000000001e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  1574000000.0000002  26360000000.0  8.100000000000001e-08  3.1e-08  2.3e-08
12.9999  1639000000.0  27679999999.999996  8.400000000000001e-08  3.2e-08  2.4000000000000003e-08
