 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in Nitrogen (gas).txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.138E-02  5.635E-01      21 A        13 A         9 A   
    1.2 eV    5.138E-02  5.953E-01      22 A        13 A         9 A   
    1.3 eV    5.348E-02  6.261E-01      23 A        14 A         9 A   
    1.4 eV    5.549E-02  6.558E-01      24 A        14 A        10 A   
    1.5 eV    5.744E-02  6.847E-01      25 A        15 A        10 A   
    1.6 eV    5.933E-02  7.128E-01      26 A        15 A        11 A   
    1.7 eV    6.115E-02  7.401E-01      26 A        15 A        11 A   
    1.8 eV    6.293E-02  7.667E-01      27 A        16 A        11 A   
      2 eV    6.633E-02  8.182E-01      28 A        17 A        12 A   
   2.25 eV    7.035E-02  8.794E-01      30 A        18 A        13 A   
2.49999 eV    7.416E-02  9.377E-01      31 A        18 A        13 A   
2.74999 eV    7.778E-02  9.934E-01      33 A        19 A        14 A   
2.99999 eV    8.124E-02  1.047E+00      34 A        20 A        15 A   
3.24999 eV    8.455E-02  1.098E+00      35 A        21 A        15 A   
3.49999 eV    8.774E-02  1.148E+00      36 A        22 A        16 A   
3.74999 eV    9.082E-02  1.196E+00      37 A        22 A        16 A   
3.99999 eV    9.380E-02  1.243E+00      38 A        23 A        17 A   
4.49999 eV    9.949E-02  1.332E+00      40 A        24 A        18 A   
4.99999 eV    1.049E-01  1.417E+00      42 A        26 A        19 A   
