 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 31, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in Nitrogen (gas)5-31.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.357E-02  3.389E-01      21 A        20 A        14 A   
    1.2 eV    3.357E-02  3.562E-01      22 A        20 A        15 A   
    1.3 eV    3.494E-02  3.729E-01      23 A        21 A        16 A   
    1.4 eV    3.626E-02  3.889E-01      24 A        21 A        17 A   
    1.5 eV    3.753E-02  4.044E-01      24 A        22 A        17 A   
    1.6 eV    3.876E-02  4.193E-01      25 A        23 A        18 A   
    1.7 eV    3.995E-02  4.338E-01      26 A        24 A        18 A   
    1.8 eV    4.111E-02  4.479E-01      26 A        24 A        19 A   
      2 eV    4.334E-02  4.748E-01      28 A        26 A        20 A   
   2.25 eV    4.596E-02  5.065E-01      29 A        27 A        21 A   
2.49999 eV    4.845E-02  5.363E-01      31 A        29 A        22 A   
2.74999 eV    5.081E-02  5.646E-01      32 A        30 A        23 A   
2.99999 eV    5.307E-02  5.914E-01      33 A        31 A        24 A   
3.24999 eV    5.524E-02  6.171E-01      35 A        32 A        25 A   
3.49999 eV    5.733E-02  6.416E-01      36 A        34 A        26 A   
3.74999 eV    5.934E-02  6.652E-01      37 A        35 A        27 A   
3.99999 eV    6.129E-02  6.879E-01      38 A        36 A        28 A   
4.49999 eV    6.500E-02  7.308E-01      40 A        38 A        30 A   
4.99999 eV    6.852E-02  7.710E-01      42 A        40 A        31 A   
