 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in Nitrogen (gas)6-2.txt

 Ion = Magnesium [12] , Mass = 23.985 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.653E-02  5.921E-01      23 A        12 A         8 A   
    1.2 eV    3.653E-02  6.262E-01      24 A        12 A         9 A   
    1.3 eV    3.802E-02  6.593E-01      25 A        13 A         9 A   
    1.4 eV    3.946E-02  6.913E-01      25 A        13 A         9 A   
    1.5 eV    4.084E-02  7.224E-01      26 A        14 A        10 A   
    1.6 eV    4.218E-02  7.527E-01      27 A        14 A        10 A   
    1.7 eV    4.348E-02  7.822E-01      28 A        15 A        10 A   
    1.8 eV    4.474E-02  8.110E-01      29 A        15 A        11 A   
      2 eV    4.716E-02  8.667E-01      30 A        16 A        11 A   
   2.25 eV    5.002E-02  9.331E-01      32 A        17 A        12 A   
2.49999 eV    5.272E-02  9.965E-01      33 A        18 A        13 A   
2.74999 eV    5.530E-02  1.057E+00      34 A        18 A        13 A   
2.99999 eV    5.776E-02  1.116E+00      36 A        19 A        14 A   
3.24999 eV    6.012E-02  1.172E+00      37 A        20 A        15 A   
3.49999 eV    6.238E-02  1.226E+00      38 A        21 A        15 A   
3.74999 eV    6.457E-02  1.279E+00      39 A        21 A        16 A   
3.99999 eV    6.669E-02  1.330E+00      40 A        22 A        16 A   
4.49999 eV    7.074E-02  1.429E+00      42 A        23 A        17 A   
4.99999 eV    7.456E-02  1.522E+00      44 A        24 A        18 A   
