 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Manganese in Nitrogen (gas).txt

 Ion = Manganese [25] , Mass = 54.94 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.001E-02  5.517E-01      30 A        10 A         7 A   
    1.2 eV    4.001E-02  5.853E-01      31 A        11 A         8 A   
    1.3 eV    4.164E-02  6.179E-01      33 A        11 A         8 A   
    1.4 eV    4.321E-02  6.496E-01      34 A        12 A         8 A   
    1.5 eV    4.473E-02  6.805E-01      35 A        12 A         9 A   
    1.6 eV    4.620E-02  7.107E-01      36 A        12 A         9 A   
    1.7 eV    4.762E-02  7.402E-01      37 A        13 A         9 A   
    1.8 eV    4.900E-02  7.691E-01      38 A        13 A         9 A   
      2 eV    5.165E-02  8.252E-01      40 A        14 A        10 A   
   2.25 eV    5.478E-02  8.924E-01      42 A        15 A        11 A   
2.49999 eV    5.775E-02  9.570E-01      44 A        15 A        11 A   
2.74999 eV    6.057E-02  1.019E+00      46 A        16 A        12 A   
2.99999 eV    6.326E-02  1.079E+00      48 A        17 A        12 A   
3.24999 eV    6.584E-02  1.137E+00      49 A        17 A        13 A   
3.49999 eV    6.833E-02  1.194E+00      51 A        18 A        13 A   
3.74999 eV    7.073E-02  1.249E+00      52 A        19 A        14 A   
3.99999 eV    7.305E-02  1.302E+00      54 A        19 A        14 A   
4.49999 eV    7.748E-02  1.405E+00      56 A        20 A        15 A   
4.99999 eV    8.167E-02  1.504E+00      59 A        21 A        16 A   
5.49999 eV    8.565E-02  1.599E+00      61 A        22 A        16 A   
