 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 02, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in Nitrogen (gas)6-2.txt

 Ion = Neon [10] , Mass = 19.992 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.607E-02  5.751E-01      21 A        12 A         9 A   
    1.2 eV    4.607E-02  6.078E-01      22 A        13 A         9 A   
    1.3 eV    4.795E-02  6.394E-01      23 A        13 A         9 A   
    1.4 eV    4.976E-02  6.701E-01      24 A        14 A        10 A   
    1.5 eV    5.150E-02  6.998E-01      25 A        14 A        10 A   
    1.6 eV    5.319E-02  7.287E-01      26 A        15 A        10 A   
    1.7 eV    5.483E-02  7.568E-01      26 A        15 A        11 A   
    1.8 eV    5.642E-02  7.843E-01      27 A        16 A        11 A   
      2 eV    5.947E-02  8.373E-01      28 A        16 A        12 A   
   2.25 eV    6.308E-02  9.005E-01      30 A        17 A        13 A   
2.49999 eV    6.649E-02  9.606E-01      31 A        18 A        13 A   
2.74999 eV    6.974E-02  1.018E+00      33 A        19 A        14 A   
2.99999 eV    7.284E-02  1.073E+00      34 A        20 A        14 A   
3.24999 eV    7.581E-02  1.127E+00      35 A        21 A        15 A   
3.49999 eV    7.867E-02  1.178E+00      36 A        21 A        16 A   
3.74999 eV    8.144E-02  1.228E+00      37 A        22 A        16 A   
3.99999 eV    8.411E-02  1.276E+00      38 A        23 A        17 A   
4.49999 eV    8.921E-02  1.369E+00      40 A        24 A        18 A   
4.99999 eV    9.403E-02  1.456E+00      42 A        25 A        18 A   
