 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in Nitrogen (gas).txt

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.517E-02  5.178E-01      20 A        13 A         9 A   
    1.2 eV    6.517E-02  5.464E-01      21 A        14 A        10 A   
    1.3 eV    6.784E-02  5.740E-01      22 A        15 A        10 A   
    1.4 eV    7.040E-02  6.007E-01      22 A        15 A        11 A   
    1.5 eV    7.287E-02  6.266E-01      23 A        16 A        11 A   
    1.6 eV    7.526E-02  6.516E-01      24 A        16 A        11 A   
    1.7 eV    7.757E-02  6.760E-01      25 A        17 A        12 A   
    1.8 eV    7.982E-02  6.998E-01      25 A        17 A        12 A   
      2 eV    8.414E-02  7.456E-01      26 A        18 A        13 A   
   2.25 eV    8.924E-02  8.000E-01      28 A        19 A        14 A   
2.49999 eV    9.407E-02  8.516E-01      29 A        20 A        14 A   
2.74999 eV    9.866E-02  9.009E-01      30 A        21 A        15 A   
2.99999 eV    1.031E-01  9.480E-01      32 A        22 A        16 A   
3.24999 eV    1.073E-01  9.934E-01      33 A        23 A        16 A   
3.49999 eV    1.113E-01  1.037E+00      34 A        23 A        17 A   
3.74999 eV    1.152E-01  1.079E+00      35 A        24 A        18 A   
3.99999 eV    1.190E-01  1.120E+00      36 A        25 A        18 A   
4.49999 eV    1.262E-01  1.198E+00      38 A        26 A        19 A   
4.99999 eV    1.330E-01  1.272E+00      39 A        28 A        20 A   
