     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.804702e+01   1.312912e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.106170e-01   1.805808e+01   1.313246e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.212341e-01   1.806913e+01   1.313580e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.318511e-01   1.808019e+01   1.313914e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.424682e-01   1.809124e+01   1.314248e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.530852e-01   1.810229e+01   1.314582e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.637023e-01   1.811335e+01   1.314916e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.743193e-01   1.812440e+01   1.315250e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.849364e-01   1.813546e+01   1.315584e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.955534e-01   1.814651e+01   1.315918e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       80000   7.999900e-07   2.061705e-01   1.815757e+01   1.316252e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       88000   8.799900e-07   2.167875e-01   1.816862e+01   1.316586e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
       96000   9.599900e-07   2.274046e-01   1.817968e+01   1.316920e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      104000   1.039990e-06   2.380216e-01   1.819073e+01   1.317254e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      112000   1.119990e-06   2.486387e-01   1.820179e+01   1.317588e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      120000   1.199990e-06   2.592557e-01   1.821284e+01   1.317922e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      128000   1.279990e-06   2.698728e-01   1.822390e+01   1.318256e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      136000   1.359990e-06   2.804898e-01   1.823495e+01   1.318590e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      144000   1.439990e-06   2.911069e-01   1.824601e+01   1.318924e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      152000   1.519990e-06   3.017239e-01   1.825706e+01   1.319258e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      160000   1.599990e-06   3.123410e-01   1.826811e+01   1.319592e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      168000   1.679990e-06   3.229580e-01   1.827917e+01   1.319926e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      176000   1.759990e-06   3.335751e-01   1.829022e+01   1.320260e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      184000   1.839990e-06   3.441921e-01   1.830128e+01   1.320594e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      192000   1.919990e-06   3.548092e-01   1.831233e+01   1.320928e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      200000   1.999990e-06   3.654262e-01   1.832339e+01   1.321262e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      208000   2.079990e-06   3.760433e-01   1.833444e+01   1.321596e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      216000   2.159990e-06   3.866603e-01   1.834550e+01   1.321930e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      224000   2.239990e-06   3.972774e-01   1.835655e+01   1.322264e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      232000   2.319990e-06   4.078944e-01   1.836761e+01   1.322598e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      240000   2.399990e-06   4.185115e-01   1.837866e+01   1.322932e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      248000   2.479990e-06   4.291285e-01   1.838972e+01   1.323266e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      256000   2.559990e-06   4.397456e-01   1.840077e+01   1.323600e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      264000   2.639990e-06   4.503626e-01   1.841183e+01   1.323934e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      272000   2.719990e-06   4.609797e-01   1.842288e+01   1.324268e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      280000   2.799990e-06   4.715967e-01   1.843394e+01   1.324602e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      288000   2.879990e-06   4.822138e-01   1.844499e+01   1.324936e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      296000   2.959990e-06   4.928308e-01   1.845604e+01   1.325270e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
      304000   3.039990e-06   5.034479e-01   1.846710e+01   1.325604e+01   1.327131e+05   1.381836e+05   4.174943e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.960880e+05   0.000000e+00   0.000000e+00   0.000000e+00
