 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in Nitrogen (gas).txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.154E-02  5.426E-01      20 A        13 A         9 A   
    1.2 eV    6.154E-02  5.729E-01      21 A        13 A         9 A   
    1.3 eV    6.405E-02  6.022E-01      22 A        14 A        10 A   
    1.4 eV    6.647E-02  6.305E-01      23 A        14 A        10 A   
    1.5 eV    6.880E-02  6.580E-01      24 A        15 A        11 A   
    1.6 eV    7.106E-02  6.846E-01      24 A        15 A        11 A   
    1.7 eV    7.324E-02  7.106E-01      25 A        16 A        11 A   
    1.8 eV    7.537E-02  7.358E-01      26 A        16 A        12 A   
      2 eV    7.944E-02  7.846E-01      27 A        17 A        12 A   
   2.25 eV    8.426E-02  8.425E-01      28 A        18 A        13 A   
2.49999 eV    8.882E-02  8.977E-01      30 A        19 A        14 A   
2.74999 eV    9.316E-02  9.503E-01      31 A        20 A        14 A   
2.99999 eV    9.730E-02  1.001E+00      32 A        21 A        15 A   
3.24999 eV    1.013E-01  1.049E+00      33 A        22 A        16 A   
3.49999 eV    1.051E-01  1.096E+00      35 A        22 A        16 A   
3.74999 eV    1.088E-01  1.141E+00      36 A        23 A        17 A   
3.99999 eV    1.123E-01  1.185E+00      37 A        24 A        17 A   
4.49999 eV    1.192E-01  1.269E+00      38 A        25 A        18 A   
4.99999 eV    1.256E-01  1.348E+00      40 A        26 A        19 A   
