energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  615400000.0  5729000000.0  2.1000000000000003e-08  1.3e-08  9.000000000000001e-09
1.3  640500000.0  6022000000.0  2.2000000000000002e-08  1.4000000000000001e-08  1e-08
1.4  664700000.0  6304999999.999999  2.3e-08  1.4000000000000001e-08  1e-08
1.5  688000000.0  6580000000.0  2.4000000000000003e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.6  710600000.0  6846000000.0  2.4000000000000003e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.7  732400000.0  7106000000.0  2.5000000000000002e-08  1.6e-08  1.1000000000000001e-08
1.8  753700000.0000001  7358000000.0  2.6e-08  1.6e-08  1.2000000000000002e-08
2  794400000.0  7846000000.0  2.7e-08  1.7e-08  1.2000000000000002e-08
2.25  842600000.0  8425000000.0  2.8000000000000003e-08  1.8000000000000002e-08  1.3e-08
2.49999  888200000.0  8977000000.0  3.0000000000000004e-08  1.9e-08  1.4000000000000001e-08
2.74999  931600000.0000001  9503000000.0  3.1e-08  2e-08  1.4000000000000001e-08
2.99999  973000000.0  10009999999.999998  3.2e-08  2.1000000000000003e-08  1.5000000000000002e-08
3.24999  1013000000.0  10490000000.0  3.3000000000000004e-08  2.2000000000000002e-08  1.6e-08
3.49999  1051000000.0  10960000000.0  3.5e-08  2.2000000000000002e-08  1.6e-08
3.74999  1088000000.0  11410000000.0  3.6000000000000005e-08  2.3e-08  1.7e-08
3.99999  1123000000.0  11850000000.0  3.7e-08  2.4000000000000003e-08  1.7e-08
4.49999  1192000000.0  12690000000.0  3.8e-08  2.5000000000000002e-08  1.8000000000000002e-08
4.99999  1256000000.0  13480000000.0  4e-08  2.6e-08  1.9e-08
5.49999  1317000000.0  14240000000.0  4.2000000000000006e-08  2.8000000000000003e-08  2e-08
5.99999  1376000000.0  14960000000.0  4.3e-08  2.9e-08  2.1000000000000003e-08
6.49999  1432000000.0  15650000000.0  4.5000000000000006e-08  3.0000000000000004e-08  2.2000000000000002e-08
6.99999  1486000000.0  16319999999.999998  4.6e-08  3.1e-08  2.2000000000000002e-08
7.99999  1589000000.0000002  17580000000.0  4.9e-08  3.3000000000000004e-08  2.4000000000000003e-08
8.99999  1685000000.0  18750000000.0  5.2e-08  3.5e-08  2.5000000000000002e-08
9.99999  1776000000.0  19860000000.0  5.4e-08  3.6000000000000005e-08  2.6e-08
10.9999  1863000000.0  20920000000.0  5.7e-08  3.8e-08  2.7e-08
11.9999  1946000000.0  21920000000.0  5.9000000000000006e-08  4e-08  2.9e-08
12.9999  2025000000.0000002  22870000000.0  6.1e-08  4.1e-08  3.0000000000000004e-08
13.9999  2102000000.0  23790000000.0  6.300000000000001e-08  4.2000000000000006e-08  3.1e-08
14.9999  2176000000.0  24670000000.0  6.5e-08  4.4000000000000004e-08  3.2e-08
15.9999  2247000000.0  25510000000.0  6.7e-08  4.5000000000000006e-08  3.2e-08
16.9999  2316000000.0  26330000000.0  6.900000000000001e-08  4.6e-08  3.3000000000000004e-08
17.9999  2383000000.0  27120000000.0  7e-08  4.8000000000000006e-08  3.4e-08
19.9999  2512000000.0  28620000000.0  7.4e-08  5.0000000000000004e-08  3.6000000000000005e-08
22.4999  2665000000.0  30370000000.0  7.800000000000001e-08  5.3000000000000005e-08  3.8e-08
24.9999  2809000000.0  32020000000.0  8.2e-08  5.5e-08  3.9000000000000005e-08
27.4999  2945999999.9999995  33560000000.0  8.6e-08  5.8e-08  4.1e-08
29.9999  3076999999.9999995  35010000000.0  8.9e-08  6.000000000000001e-08  4.3e-08
32.4999  3202000000.0  36390000000.0  9.300000000000001e-08  6.2e-08  4.4000000000000004e-08
34.9999  3323000000.0  37710000000.0  9.600000000000001e-08  6.4e-08  4.6e-08
37.4999  3439999999.9999995  38960000000.0  9.9e-08  6.600000000000001e-08  4.7000000000000004e-08
39.9999  3553000000.0  40160000000.0  1.0300000000000001e-07  6.8e-08  4.9e-08
44.9999  3768000000.0  42420000000.0  1.0900000000000001e-07  7.200000000000001e-08  5.1e-08
49.9999  3972000000.0  44510000000.0  1.14e-07  7.6e-08  5.4e-08
54.9999  4166000000.0000005  46460000000.0  1.2000000000000002e-07  7.9e-08  5.6000000000000005e-08
59.9999  4351000000.0  48290000000.0  1.2500000000000002e-07  8.2e-08  5.9000000000000006e-08
64.9999  4529000000.0  50010000000.0  1.31e-07  8.500000000000001e-08  6.1e-08
69.9999  4700000000.0  51640000000.0  1.36e-07  8.800000000000001e-08  6.300000000000001e-08
79.9999  5024000000.0  54660000000.0  1.46e-07  9.400000000000001e-08  6.7e-08
89.9999  5329000000.0  57400000000.0  1.55e-07  9.9e-08  7.1e-08
99.9999  5617000000.0  59920000000.0  1.64e-07  1.04e-07  7.500000000000001e-08
110  5891999999.999999  62250000000.0  1.73e-07  1.0900000000000001e-07  7.800000000000001e-08
120  6153999999.999999  64410000000.0  1.8100000000000002e-07  1.14e-07  8.2e-08
130  6405000000.0  66430000000.0  1.89e-07  1.1800000000000001e-07  8.500000000000001e-08
139.999  6647000000.0  68330000000.0  1.97e-07  1.23e-07  8.800000000000001e-08
149.999  6879999999.999999  70110000000.0  2.0500000000000002e-07  1.27e-07  9.100000000000001e-08
159.999  7106000000.0  71800000000.0  2.1300000000000001e-07  1.31e-07  9.400000000000001e-08
169.999  7324000000.000001  73400000000.0  2.2e-07  1.35e-07  9.700000000000001e-08
179.999  7537000000.0  74920000000.0  2.27e-07  1.3900000000000001e-07  1.0000000000000001e-07
199.999  7944000000.0  77740000000.0  2.42e-07  1.47e-07  1.05e-07
224.999  8426000000.0  80930000000.0  2.5900000000000003e-07  1.5600000000000002e-07  1.1200000000000001e-07
249.999  8882000000.0  83810000000.0  2.7600000000000004e-07  1.64e-07  1.1900000000000001e-07
274.999  9316000000.0  86430000000.0  2.92e-07  1.73e-07  1.2500000000000002e-07
299.999  9730000000.0  88829999999.99998  3.08e-07  1.8100000000000002e-07  1.31e-07
324.999  10129999999.999998  91030000000.0  3.23e-07  1.89e-07  1.36e-07
349.999  10510000000.0  93070000000.0  3.39e-07  1.96e-07  1.42e-07
374.999  10880000000.0  94970000000.0  3.54e-07  2.04e-07  1.48e-07
399.999  11230000000.0  96740000000.0  3.68e-07  2.1100000000000002e-07  1.53e-07
449.999  11920000000.0  99949999999.99998  3.97e-07  2.2500000000000002e-07  1.6300000000000002e-07
499.999  12560000000.0  102800000000.0  4.25e-07  2.39e-07  1.7400000000000002e-07
549.999  13170000000.0  105300000000.0  4.5300000000000005e-07  2.5200000000000003e-07  1.83e-07
599.999  13759999999.999998  107600000000.0  4.800000000000001e-07  2.65e-07  1.9300000000000002e-07
649.999  14320000000.0  109700000000.0  5.06e-07  2.77e-07  2.02e-07
699.999  14860000000.0  111600000000.0  5.32e-07  2.89e-07  2.1100000000000002e-07
