 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Phosphorus in Nitrogen (gas).txt

 Ion = Phosphorus [15] , Mass = 30.974 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.718E-02  5.975E-01      24 A        11 A         8 A   
    1.2 eV    5.718E-02  6.326E-01      25 A        11 A         8 A   
    1.3 eV    5.951E-02  6.666E-01      26 A        12 A         8 A   
    1.4 eV    6.176E-02  6.995E-01      27 A        12 A         9 A   
    1.5 eV    6.393E-02  7.316E-01      28 A        13 A         9 A   
    1.6 eV    6.602E-02  7.628E-01      29 A        13 A         9 A   
    1.7 eV    6.806E-02  7.933E-01      29 A        13 A        10 A   
    1.8 eV    7.003E-02  8.231E-01      30 A        14 A        10 A   
      2 eV    7.382E-02  8.807E-01      32 A        14 A        10 A   
   2.25 eV    7.829E-02  9.496E-01      33 A        15 A        11 A   
2.49999 eV    8.253E-02  1.015E+00      35 A        16 A        12 A   
2.74999 eV    8.656E-02  1.079E+00      36 A        17 A        12 A   
2.99999 eV    9.041E-02  1.139E+00      38 A        18 A        13 A   
3.24999 eV    9.410E-02  1.198E+00      39 A        18 A        13 A   
3.49999 eV    9.765E-02  1.255E+00      40 A        19 A        14 A   
3.74999 eV    1.011E-01  1.310E+00      41 A        19 A        14 A   
3.99999 eV    1.044E-01  1.364E+00      43 A        20 A        15 A   
4.49999 eV    1.107E-01  1.467E+00      45 A        21 A        16 A   
4.99999 eV    1.167E-01  1.565E+00      47 A        22 A        16 A   
