energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  571800000.0  6326000000.000001  2.5000000000000002e-08  1.1000000000000001e-08  8e-09
1.3  595100000.0  6666000000.0  2.6e-08  1.2000000000000002e-08  8e-09
1.4  617600000.0  6995000000.0  2.7e-08  1.2000000000000002e-08  9.000000000000001e-09
1.5  639300000.0  7316000000.0  2.8000000000000003e-08  1.3e-08  9.000000000000001e-09
1.6  660200000.0  7628000000.0  2.9e-08  1.3e-08  9.000000000000001e-09
1.7  680600000.0  7933000000.0  2.9e-08  1.3e-08  1e-08
1.8  700300000.0  8231000000.000001  3.0000000000000004e-08  1.4000000000000001e-08  1e-08
2  738200000.0  8807000000.0  3.2e-08  1.4000000000000001e-08  1e-08
2.25  782900000.0  9496000000.0  3.3000000000000004e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.49999  825300000.0000001  10149999999.999998  3.5e-08  1.6e-08  1.2000000000000002e-08
2.74999  865600000.0  10790000000.0  3.6000000000000005e-08  1.7e-08  1.2000000000000002e-08
2.99999  904100000.0  11390000000.0  3.8e-08  1.8000000000000002e-08  1.3e-08
3.24999  941000000.0  11980000000.0  3.9000000000000005e-08  1.8000000000000002e-08  1.3e-08
3.49999  976500000.0  12549999999.999998  4e-08  1.9e-08  1.4000000000000001e-08
3.74999  1011000000.0  13100000000.0  4.1e-08  1.9e-08  1.4000000000000001e-08
3.99999  1044000000.0000001  13640000000.000002  4.3e-08  2e-08  1.5000000000000002e-08
4.49999  1107000000.0  14670000000.0  4.5000000000000006e-08  2.1000000000000003e-08  1.6e-08
4.99999  1167000000.0  15650000000.0  4.7000000000000004e-08  2.2000000000000002e-08  1.6e-08
5.49999  1224000000.0  16590000000.0  4.9e-08  2.3e-08  1.7e-08
5.99999  1279000000.0000002  17490000000.0  5.1e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.49999  1331000000.0  18360000000.0  5.2e-08  2.5000000000000002e-08  1.9e-08
6.99999  1381000000.0  19200000000.0  5.4e-08  2.6e-08  1.9e-08
7.99999  1476000000.0  20800000000.0  5.7e-08  2.7e-08  2e-08
8.99999  1566000000.0  22320000000.000004  6.000000000000001e-08  2.9e-08  2.1000000000000003e-08
9.99999  1651000000.0  23750000000.0  6.2e-08  3.0000000000000004e-08  2.2000000000000002e-08
10.9999  1731000000.0  25120000000.0  6.5e-08  3.2e-08  2.3e-08
11.9999  1808000000.0  26429999999.999996  6.7e-08  3.3000000000000004e-08  2.4000000000000003e-08
12.9999  1882000000.0  27690000000.0  6.900000000000001e-08  3.4e-08  2.5000000000000002e-08
13.9999  1953000000.0  28900000000.0  7.200000000000001e-08  3.5e-08  2.6e-08
14.9999  2022000000.0  30070000000.0  7.4e-08  3.6000000000000005e-08  2.7e-08
15.9999  2088000000.0000002  31210000000.0  7.6e-08  3.7e-08  2.8000000000000003e-08
16.9999  2152000000.0  32300000000.0  7.800000000000001e-08  3.8e-08  2.8000000000000003e-08
17.9999  2214000000.0  33370000000.0  7.9e-08  3.9000000000000005e-08  2.9e-08
19.9999  2334000000.0  35410000000.0  8.3e-08  4.1e-08  3.0000000000000004e-08
22.4999  2476000000.0  37830000000.0  8.700000000000001e-08  4.3e-08  3.2e-08
