 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Potassium in Nitrogen (gas).txt

 Ion = Potassium [19] , Mass = 38.964 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.341E-02  5.904E-01      25 A        10 A         7 A   
    1.2 eV    6.341E-02  6.256E-01      27 A        11 A         8 A   
    1.3 eV    6.600E-02  6.597E-01      28 A        11 A         8 A   
    1.4 eV    6.849E-02  6.929E-01      29 A        12 A         8 A   
    1.5 eV    7.090E-02  7.252E-01      30 A        12 A         8 A   
    1.6 eV    7.322E-02  7.567E-01      30 A        12 A         9 A   
    1.7 eV    7.547E-02  7.875E-01      31 A        13 A         9 A   
    1.8 eV    7.766E-02  8.176E-01      32 A        13 A         9 A   
      2 eV    8.186E-02  8.759E-01      34 A        14 A        10 A   
   2.25 eV    8.683E-02  9.456E-01      36 A        15 A        10 A   
2.49999 eV    9.153E-02  1.012E+00      37 A        15 A        11 A   
2.74999 eV    9.599E-02  1.077E+00      39 A        16 A        12 A   
2.99999 eV    1.003E-01  1.139E+00      40 A        17 A        12 A   
3.24999 eV    1.044E-01  1.198E+00      42 A        17 A        13 A   
3.49999 eV    1.083E-01  1.257E+00      43 A        18 A        13 A   
3.74999 eV    1.121E-01  1.313E+00      44 A        18 A        14 A   
3.99999 eV    1.158E-01  1.368E+00      46 A        19 A        14 A   
4.49999 eV    1.228E-01  1.473E+00      48 A        20 A        15 A   
4.99999 eV    1.294E-01  1.574E+00      50 A        21 A        16 A   
5.49999 eV    1.358E-01  1.671E+00      52 A        22 A        16 A   
