 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Nitrogen (gas).txt

 Ion = Silicon [14] , Mass = 27.977 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.729E-02  5.992E-01      23 A        11 A         8 A   
    1.2 eV    6.729E-02  6.341E-01      24 A        11 A         8 A   
    1.3 eV    7.004E-02  6.680E-01      25 A        12 A         8 A   
    1.4 eV    7.269E-02  7.008E-01      26 A        12 A         9 A   
    1.5 eV    7.524E-02  7.327E-01      26 A        13 A         9 A   
    1.6 eV    7.770E-02  7.638E-01      27 A        13 A         9 A   
    1.7 eV    8.010E-02  7.941E-01      28 A        13 A        10 A   
    1.8 eV    8.242E-02  8.237E-01      29 A        14 A        10 A   
      2 eV    8.688E-02  8.810E-01      30 A        14 A        10 A   
   2.25 eV    9.215E-02  9.495E-01      32 A        15 A        11 A   
2.49999 eV    9.713E-02  1.015E+00      33 A        16 A        12 A   
2.74999 eV    1.019E-01  1.078E+00      35 A        17 A        12 A   
2.99999 eV    1.064E-01  1.138E+00      36 A        18 A        13 A   
3.24999 eV    1.107E-01  1.196E+00      37 A        18 A        13 A   
3.49999 eV    1.149E-01  1.252E+00      39 A        19 A        14 A   
3.74999 eV    1.190E-01  1.307E+00      40 A        19 A        14 A   
3.99999 eV    1.229E-01  1.360E+00      41 A        20 A        15 A   
4.49999 eV    1.303E-01  1.462E+00      43 A        21 A        16 A   
4.99999 eV    1.374E-01  1.559E+00      45 A        22 A        16 A   
5.49999 eV    1.441E-01  1.652E+00      47 A        23 A        17 A   
