energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  424500000.0  6183999999.999999  2.3e-08  1.3e-08  9.000000000000001e-09
1.3  441900000.0  6508000000.0  2.4000000000000003e-08  1.3e-08  9.000000000000001e-09
1.4  458600000.0  6822000000.0  2.5000000000000002e-08  1.3e-08  9.000000000000001e-09
1.5  474700000.0  7128000000.0  2.6e-08  1.4000000000000001e-08  1e-08
1.6  490200000.0  7425000000.000001  2.7e-08  1.4000000000000001e-08  1e-08
1.7  505300000.0  7714000000.0  2.8000000000000003e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.8  520000000.0  7997000000.0  2.8000000000000003e-08  1.5000000000000002e-08  1.1000000000000001e-08
2  548100000.0  8542999999.999999  3.0000000000000004e-08  1.6e-08  1.1000000000000001e-08
2.25  581300000.0  9193000000.0  3.1e-08  1.7e-08  1.2000000000000002e-08
2.49999  612800000.0  9814000000.0  3.3000000000000004e-08  1.8000000000000002e-08  1.3e-08
2.74999  642699999.9999999  10410000000.0  3.4e-08  1.9e-08  1.3e-08
2.99999  671300000.0  10980000000.0  3.5e-08  1.9e-08  1.4000000000000001e-08
3.24999  698700000.0  11530000000.0  3.7e-08  2e-08  1.5000000000000002e-08
3.49999  725000000.0  12060000000.0  3.8e-08  2.1000000000000003e-08  1.5000000000000002e-08
3.74999  750500000.0  12580000000.0  3.9000000000000005e-08  2.1000000000000003e-08  1.6e-08
3.99999  775100000.0  13080000000.0  4e-08  2.2000000000000002e-08  1.6e-08
4.49999  822100000.0  14040000000.0  4.2000000000000006e-08  2.3e-08  1.7e-08
4.99999  866600000.0  14950000000.000002  4.4000000000000004e-08  2.5000000000000002e-08  1.8000000000000002e-08
5.49999  908900000.0  15820000000.0  4.6e-08  2.6e-08  1.9e-08
5.99999  949300000.0  16650000000.0  4.7000000000000004e-08  2.7e-08  2e-08
6.49999  988100000.0  17450000000.0  4.9e-08  2.8000000000000003e-08  2e-08
6.99999  1024999999.9999999  18220000000.0  5.1e-08  2.9e-08  2.1000000000000003e-08
7.99999  1096000000.0  19690000000.0  5.4e-08  3.0000000000000004e-08  2.2000000000000002e-08
8.99999  1163000000.0  21070000000.000004  5.6000000000000005e-08  3.2e-08  2.4000000000000003e-08
9.99999  1226000000.0  22370000000.0  5.9000000000000006e-08  3.4e-08  2.5000000000000002e-08
10.9999  1285000000.0  23620000000.0  6.1e-08  3.5e-08  2.6e-08
11.9999  1343000000.0  24800000000.0  6.300000000000001e-08  3.6000000000000005e-08  2.7e-08
12.9999  1397000000.0  25940000000.0  6.600000000000001e-08  3.8e-08  2.8000000000000003e-08
13.9999  1450000000.0  27030000000.0  6.8e-08  3.9000000000000005e-08  2.9e-08
14.9999  1501000000.0  28080000000.0  7e-08  4e-08  2.9e-08
15.9999  1550000000.0  29089999999.999996  7.200000000000001e-08  4.1e-08  3.0000000000000004e-08
16.9999  1598000000.0  30070000000.0  7.4e-08  4.3e-08  3.1e-08
17.9999  1644000000.0  31020000000.0  7.500000000000001e-08  4.4000000000000004e-08  3.2e-08
19.9999  1733000000.0  32839999999.999996  7.9e-08  4.6e-08  3.3000000000000004e-08
22.4999  1838000000.0  34970000000.0  8.3e-08  4.8000000000000006e-08  3.5e-08
24.9999  1938000000.0  36980000000.0  8.700000000000001e-08  5.0000000000000004e-08  3.7e-08
27.4999  2032000000.0  38870000000.0  9.100000000000001e-08  5.3000000000000005e-08  3.8e-08
29.9999  2123000000.0  40670000000.0  9.400000000000001e-08  5.5e-08  4e-08
32.4999  2209000000.0  42390000000.0  9.8e-08  5.7e-08  4.1e-08
