 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Sulfur in Nitrogen (gas).txt

 Ion = Sulfur [16] , Mass = 31.972 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.707E-02  5.999E-01      24 A        11 A         7 A   
    1.2 eV    6.707E-02  6.353E-01      25 A        11 A         8 A   
    1.3 eV    6.981E-02  6.695E-01      26 A        11 A         8 A   
    1.4 eV    7.245E-02  7.027E-01      27 A        12 A         8 A   
    1.5 eV    7.499E-02  7.351E-01      28 A        12 A         9 A   
    1.6 eV    7.745E-02  7.666E-01      28 A        13 A         9 A   
    1.7 eV    7.983E-02  7.973E-01      29 A        13 A         9 A   
    1.8 eV    8.215E-02  8.274E-01      30 A        13 A        10 A   
      2 eV    8.659E-02  8.855E-01      31 A        14 A        10 A   
   2.25 eV    9.184E-02  9.551E-01      33 A        15 A        11 A   
2.49999 eV    9.681E-02  1.022E+00      35 A        16 A        11 A   
2.74999 eV    1.015E-01  1.085E+00      36 A        16 A        12 A   
2.99999 eV    1.061E-01  1.147E+00      38 A        17 A        12 A   
3.24999 eV    1.104E-01  1.206E+00      39 A        18 A        13 A   
3.49999 eV    1.145E-01  1.264E+00      40 A        18 A        13 A   
3.74999 eV    1.186E-01  1.320E+00      41 A        19 A        14 A   
3.99999 eV    1.225E-01  1.374E+00      42 A        20 A        14 A   
4.49999 eV    1.299E-01  1.478E+00      45 A        21 A        15 A   
4.99999 eV    1.369E-01  1.578E+00      47 A        22 A        16 A   
