 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Titanium in Nitrogen (gas).txt

 Ion = Titanium [22] , Mass = 47.95 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    4.674E-02  5.685E-01      28 A        10 A         7 A   
    1.2 eV    4.674E-02  6.028E-01      29 A        11 A         8 A   
    1.3 eV    4.865E-02  6.361E-01      31 A        11 A         8 A   
    1.4 eV    5.048E-02  6.685E-01      32 A        12 A         8 A   
    1.5 eV    5.225E-02  7.001E-01      33 A        12 A         9 A   
    1.6 eV    5.397E-02  7.308E-01      34 A        12 A         9 A   
    1.7 eV    5.563E-02  7.609E-01      35 A        13 A         9 A   
    1.8 eV    5.724E-02  7.903E-01      36 A        13 A         9 A   
      2 eV    6.034E-02  8.474E-01      37 A        14 A        10 A   
   2.25 eV    6.400E-02  9.158E-01      39 A        15 A        11 A   
2.49999 eV    6.746E-02  9.814E-01      41 A        15 A        11 A   
2.74999 eV    7.075E-02  1.044E+00      43 A        16 A        12 A   
2.99999 eV    7.390E-02  1.105E+00      45 A        17 A        12 A   
3.24999 eV    7.692E-02  1.164E+00      46 A        17 A        13 A   
3.49999 eV    7.982E-02  1.221E+00      48 A        18 A        13 A   
3.74999 eV    8.262E-02  1.277E+00      49 A        19 A        14 A   
3.99999 eV    8.533E-02  1.331E+00      50 A        19 A        14 A   
4.49999 eV    9.051E-02  1.436E+00      53 A        20 A        15 A   
4.99999 eV    9.540E-02  1.535E+00      55 A        21 A        16 A   
5.49999 eV    1.001E-01  1.631E+00      58 A        22 A        16 A   
