 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Vanadium in Nitrogen (gas).txt

 Ion = Vanadium [23] , Mass = 50.94 amu

 Target Density =  1.1380E-01 g/cm3 = 4.8924E+21 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.443E-02  5.607E-01      28 A        10 A         7 A   
    1.2 eV    6.443E-02  5.947E-01      29 A        10 A         7 A   
    1.3 eV    6.706E-02  6.277E-01      31 A        11 A         8 A   
    1.4 eV    6.960E-02  6.597E-01      32 A        11 A         8 A   
    1.5 eV    7.204E-02  6.910E-01      33 A        12 A         8 A   
    1.6 eV    7.440E-02  7.214E-01      34 A        12 A         9 A   
    1.7 eV    7.669E-02  7.512E-01      35 A        12 A         9 A   
    1.8 eV    7.892E-02  7.804E-01      36 A        13 A         9 A   
      2 eV    8.318E-02  8.370E-01      37 A        13 A        10 A   
   2.25 eV    8.823E-02  9.048E-01      40 A        14 A        10 A   
2.49999 eV    9.300E-02  9.698E-01      41 A        15 A        11 A   
2.74999 eV    9.754E-02  1.032E+00      43 A        15 A        11 A   
2.99999 eV    1.019E-01  1.093E+00      45 A        16 A        12 A   
3.24999 eV    1.060E-01  1.151E+00      46 A        17 A        12 A   
3.49999 eV    1.100E-01  1.208E+00      48 A        17 A        13 A   
3.74999 eV    1.139E-01  1.263E+00      49 A        18 A        13 A   
3.99999 eV    1.176E-01  1.317E+00      51 A        18 A        14 A   
4.49999 eV    1.248E-01  1.421E+00      53 A        19 A        14 A   
4.99999 eV    1.315E-01  1.520E+00      56 A        20 A        15 A   
