energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.1  492400000.0  583000000.0  2.4000000000000003e-08  4.7000000000000004e-08  3.3000000000000004e-08
1.2  492400000.0  609000000.0  2.5000000000000002e-08  4.8000000000000006e-08  3.5e-08
1.3  512499999.99999994  633700000.0  2.6e-08  5.0000000000000004e-08  3.6000000000000005e-08
1.4  531800000.0  657200000.0  2.7e-08  5.2e-08  3.7e-08
1.5  550500000.0  679700000.0  2.8000000000000003e-08  5.4e-08  3.9000000000000005e-08
1.6  568600000.0  701300000.0  2.9e-08  5.6000000000000005e-08  4e-08
1.7  586100000.0  722000000.0  3.0000000000000004e-08  5.8e-08  4.1e-08
1.8  603000000.0  742000000.0  3.1e-08  5.9000000000000006e-08  4.3e-08
2  635700000.0  779799999.9999999  3.3000000000000004e-08  6.300000000000001e-08  4.5000000000000006e-08
2.25  674199999.9999999  823700000.0  3.5e-08  6.7e-08  4.8000000000000006e-08
2.49999  710700000.0  864300000.0000001  3.7e-08  7e-08  5.0000000000000004e-08
2.74999  745400000.0  902300000.0  3.9000000000000005e-08  7.4e-08  5.3000000000000005e-08
2.99999  778500000.0  937900000.0  4e-08  7.7e-08  5.5e-08
3.24999  810300000.0  971400000.0  4.2000000000000006e-08  8e-08  5.8e-08
3.49999  840900000.0  1003000000.0  4.4000000000000004e-08  8.3e-08  6.000000000000001e-08
3.74999  870400000.0000001  1033000000.0  4.6e-08  8.6e-08  6.2e-08
3.99999  898999999.9999999  1062000000.0  4.7000000000000004e-08  8.9e-08  6.4e-08
4.49999  953500000.0  1115000000.0  5.1e-08  9.5e-08  6.8e-08
4.99999  1005000000.0000001  1164000000.0  5.4e-08  1.0000000000000001e-07  7.200000000000001e-08
5.49999  1053999999.9999999  1209000000.0  5.7e-08  1.05e-07  7.6e-08
5.99999  1101000000.0  1252000000.0  6.000000000000001e-08  1.1e-07  7.9e-08
6.49999  1146000000.0  1291000000.0  6.300000000000001e-08  1.1500000000000001e-07  8.3e-08
6.99999  1189000000.0  1328000000.0  6.600000000000001e-08  1.2000000000000002e-07  8.6e-08
7.99999  1271000000.0  1395000000.0000002  7.1e-08  1.29e-07  9.300000000000001e-08
8.99999  1348000000.0  1456000000.0  7.7e-08  1.37e-07  9.9e-08
9.99999  1421000000.0  1511000000.0000002  8.2e-08  1.4500000000000001e-07  1.05e-07
10.9999  1491000000.0  1562000000.0  8.700000000000001e-08  1.53e-07  1.11e-07
11.9999  1557000000.0  1608000000.0  9.2e-08  1.61e-07  1.16e-07
12.9999  1621000000.0  1651000000.0  9.700000000000001e-08  1.6800000000000002e-07  1.22e-07
13.9999  1682000000.0  1690000000.0  1.02e-07  1.7500000000000002e-07  1.27e-07
14.9999  1741000000.0  1727000000.0  1.07e-07  1.8200000000000002e-07  1.3200000000000002e-07
15.9999  1797999999.9999998  1762000000.0  1.11e-07  1.89e-07  1.37e-07
16.9999  1853000000.0  1795000000.0  1.16e-07  1.95e-07  1.42e-07
17.9999  1907000000.0  1825000000.0  1.2000000000000002e-07  2.02e-07  1.47e-07
19.9999  2010000000.0000002  1882000000.0  1.29e-07  2.14e-07  1.5600000000000002e-07
22.4999  2132000000.0  1944000000.0  1.4e-07  2.3000000000000002e-07  1.67e-07
24.9999  2247000000.0  2000000000.0  1.5100000000000002e-07  2.44e-07  1.78e-07
27.4999  2357000000.0  2049999999.9999998  1.61e-07  2.58e-07  1.8800000000000002e-07
29.9999  2462000000.0  2094000000.0  1.72e-07  2.72e-07  1.98e-07
32.4999  2562000000.0  2135000000.0  1.8200000000000002e-07  2.86e-07  2.08e-07
34.9999  2659000000.0000005  2172000000.0  1.9200000000000003e-07  2.99e-07  2.1800000000000002e-07
37.4999  2753000000.0  2205000000.0  2.02e-07  3.11e-07  2.27e-07
39.9999  2843000000.0  2236000000.0  2.1100000000000002e-07  3.2400000000000004e-07  2.3700000000000002e-07
44.9999  3015000000.0  2291000000.0  2.3100000000000002e-07  3.4800000000000005e-07  2.55e-07
49.9999  3178000000.0000005  2338000000.0  2.5000000000000004e-07  3.7200000000000005e-07  2.72e-07
54.9999  3333000000.0  2379000000.0  2.6900000000000004e-07  3.9500000000000003e-07  2.89e-07
59.9999  3482000000.0  2415000000.0  2.87e-07  4.1700000000000004e-07  3.0500000000000004e-07
64.9999  3624000000.0  2446000000.0  3.0500000000000004e-07  4.3800000000000003e-07  3.22e-07
69.9999  3761000000.0  2474000000.0  3.2400000000000004e-07  4.59e-07  3.37e-07
79.9999  4020000000.0000005  2520000000.0  3.6000000000000005e-07  5.000000000000001e-07  3.68e-07
89.9999  4264000000.0  2557000000.0  3.9500000000000003e-07  5.39e-07  3.9800000000000004e-07
99.9999  4495000000.0  2586000000.0  4.3100000000000003e-07  5.77e-07  4.2700000000000005e-07
110  4714000000.0  2609000000.0  4.66e-07  6.140000000000001e-07  4.54e-07
120  4924000000.0  2627000000.0  5.000000000000001e-07  6.5e-07  4.82e-07
130  5125000000.0  2642000000.0  5.350000000000001e-07  6.85e-07  5.08e-07
