energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  696500000.0  6179000000.0  2.7e-08  1.1000000000000001e-08  8e-09
1.3  725000000.0  6515000000.0  2.8000000000000003e-08  1.1000000000000001e-08  8e-09
1.4  752400000.0  6843000000.0  2.9e-08  1.1000000000000001e-08  8e-09
1.5  778800000.0  7161000000.0  3.0000000000000004e-08  1.2000000000000002e-08  8e-09
1.6  804300000.0  7472000000.0  3.1e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  829100000.0  7775000000.0  3.2e-08  1.3e-08  9.000000000000001e-09
1.8  853100000.0  8071000000.0  3.2e-08  1.3e-08  9.000000000000001e-09
2  899200000.0  8646000000.0  3.4e-08  1.4000000000000001e-08  1e-08
2.25  953800000.0000001  9334000000.0  3.6000000000000005e-08  1.4000000000000001e-08  1e-08
2.49999  1005000000.0000001  9992000000.0  3.8e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  1053999999.9999999  10620000000.0  3.9000000000000005e-08  1.6e-08  1.1000000000000001e-08
2.99999  1101000000.0  11230000000.0  4.1e-08  1.7e-08  1.2000000000000002e-08
3.24999  1146000000.0  11820000000.0  4.2000000000000006e-08  1.7e-08  1.2000000000000002e-08
3.49999  1190000000.0  12400000000.0  4.4000000000000004e-08  1.8000000000000002e-08  1.3e-08
3.74999  1231000000.0  12950000000.0  4.5000000000000006e-08  1.8000000000000002e-08  1.3e-08
3.99999  1272000000.0  13490000000.0  4.6e-08  1.9e-08  1.4000000000000001e-08
4.49999  1349000000.0  14530000000.0  4.8000000000000006e-08  2e-08  1.5000000000000002e-08
4.99999  1422000000.0  15520000000.0  5.1e-08  2.1000000000000003e-08  1.5000000000000002e-08
5.49999  1491000000.0  16470000000.0  5.3000000000000005e-08  2.2000000000000002e-08  1.6e-08
5.99999  1558000000.0  17390000000.0  5.5e-08  2.3e-08  1.7e-08
6.49999  1621000000.0  18270000000.0  5.6000000000000005e-08  2.4000000000000003e-08  1.7e-08
6.99999  1682000000.0  19130000000.0  5.8e-08  2.4000000000000003e-08  1.8000000000000002e-08
7.99999  1797999999.9999998  20760000000.0  6.1e-08  2.6e-08  1.9e-08
8.99999  1908000000.0  22300000000.0  6.5e-08  2.7e-08  2e-08
9.99999  2011000000.0  23769999999.999996  6.7e-08  2.9e-08  2.1000000000000003e-08
10.9999  2109000000.0  25170000000.0  7e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  2203000000.0  26520000000.0  7.3e-08  3.1e-08  2.3e-08
12.9999  2293000000.0  27810000000.0  7.500000000000001e-08  3.2e-08  2.4000000000000003e-08
13.9999  2379000000.0  29060000000.0  7.7e-08  3.3000000000000004e-08  2.5000000000000002e-08
14.9999  2463000000.0  30270000000.0  7.9e-08  3.4e-08  2.5000000000000002e-08
15.9999  2543000000.0000005  31440000000.0  8.2e-08  3.5e-08  2.6e-08
16.9999  2622000000.0  32580000000.0  8.400000000000001e-08  3.6000000000000005e-08  2.7e-08
17.9999  2698000000.0  33680000000.0  8.6e-08  3.7e-08  2.7e-08
19.9999  2844000000.0  35800000000.0  8.9e-08  3.9000000000000005e-08  2.9e-08
22.4999  3016000000.0  38310000000.0  9.400000000000001e-08  4.1e-08  3.0000000000000004e-08
24.9999  3179000000.0  40690000000.0  9.8e-08  4.3e-08  3.1e-08
27.4999  3333999999.9999995  42950000000.0  1.02e-07  4.4000000000000004e-08  3.3000000000000004e-08
29.9999  3483000000.0  45110000000.0  1.0600000000000001e-07  4.6e-08  3.4e-08
32.4999  3625000000.0  47180000000.0  1.0900000000000001e-07  4.8000000000000006e-08  3.5e-08
34.9999  3762000000.0  49160000000.0  1.13e-07  4.9e-08  3.6000000000000005e-08
37.4999  3894000000.0000005  51080000000.0  1.16e-07  5.1e-08  3.7e-08
39.9999  4022000000.0  52920000000.0  1.1900000000000001e-07  5.2e-08  3.8e-08
44.9999  4265000000.0  56440000000.0  1.2500000000000002e-07  5.5e-08  4e-08
49.9999  4496000000.0  59750000000.0  1.31e-07  5.8e-08  4.2000000000000006e-08
54.9999  4716000000.0  62880000000.0  1.36e-07  6.000000000000001e-08  4.4000000000000004e-08
59.9999  4925000000.0  65860000000.0  1.42e-07  6.2e-08  4.5000000000000006e-08
64.9999  5125999999.999999  68700000000.0  1.47e-07  6.4e-08  4.7000000000000004e-08
69.9999  5320000000.0  71420000000.0  1.5100000000000002e-07  6.600000000000001e-08  4.8000000000000006e-08
79.9999  5687000000.0  76540000000.0  1.61e-07  7e-08  5.1e-08
89.9999  6032000000.0  81290000000.0  1.6900000000000002e-07  7.4e-08  5.4e-08
99.9999  6359000000.0  85740000000.0  1.77e-07  7.7e-08  5.6000000000000005e-08
110  6669000000.000001  89920000000.00002  1.85e-07  8.100000000000001e-08  5.8e-08
120  6965000000.0  93880000000.0  1.9200000000000003e-07  8.400000000000001e-08  6.1e-08
130  7250000000.0  97630000000.0  1.9900000000000002e-07  8.700000000000001e-08  6.300000000000001e-08
139.999  7524000000.0  101199999999.99998  2.0600000000000002e-07  9.000000000000001e-08  6.5e-08
149.999  7788000000.000001  104600000000.00002  2.1300000000000001e-07  9.2e-08  6.7e-08
159.999  8043000000.0  107899999999.99998  2.1900000000000002e-07  9.5e-08  6.900000000000001e-08
169.999  8290999999.999999  111000000000.0  2.26e-07  9.700000000000001e-08  7e-08
179.999  8531000000.0  114000000000.0  2.32e-07  1.0000000000000001e-07  7.200000000000001e-08
199.999  8992000000.0  119800000000.0  2.44e-07  1.04e-07  7.6e-08
224.999  9538000000.0  126400000000.0  2.58e-07  1.1e-07  8e-08
249.999  10049999999.999998  132500000000.0  2.7100000000000003e-07  1.1500000000000001e-07  8.3e-08
274.999  10540000000.0  138200000000.0  2.84e-07  1.2000000000000002e-07  8.700000000000001e-08
299.999  11010000000.0  143600000000.0  2.96e-07  1.2500000000000002e-07  9.100000000000001e-08
324.999  11460000000.0  148600000000.0  3.08e-07  1.29e-07  9.400000000000001e-08
349.999  11900000000.0  153300000000.0  3.2e-07  1.34e-07  9.700000000000001e-08
374.999  12310000000.0  157800000000.0  3.3100000000000004e-07  1.3800000000000002e-07  1.0000000000000001e-07
399.999  12720000000.0  162100000000.0  3.42e-07  1.42e-07  1.0300000000000001e-07
449.999  13490000000.0  170100000000.00003  3.63e-07  1.5000000000000002e-07  1.0900000000000001e-07
