energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  573200000.0  4802000000.0  2.1000000000000003e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.3  596600000.0  5037000000.0  2.2000000000000002e-08  1.6e-08  1.2000000000000002e-08
1.4  619100000.0  5265000000.0  2.3e-08  1.7e-08  1.2000000000000002e-08
1.5  640900000.0  5485000000.0  2.3e-08  1.7e-08  1.3e-08
1.6  661900000.0  5699000000.0  2.4000000000000003e-08  1.8000000000000002e-08  1.3e-08
1.7  682300000.0  5906000000.0  2.5000000000000002e-08  1.8000000000000002e-08  1.4000000000000001e-08
1.8  702000000.0  6107000000.0  2.5000000000000002e-08  1.9e-08  1.4000000000000001e-08
2  740000000.0  6495000000.0  2.7e-08  2e-08  1.5000000000000002e-08
2.25  784900000.0  6954000000.0  2.8000000000000003e-08  2.1000000000000003e-08  1.6e-08
2.49999  827400000.0  7388000000.0  2.9e-08  2.2000000000000002e-08  1.7e-08
2.74999  867700000.0  7802000000.0  3.1e-08  2.3e-08  1.8000000000000002e-08
2.99999  906300000.0  8197000000.0  3.2e-08  2.4000000000000003e-08  1.8000000000000002e-08
3.24999  943300000.0  8575000000.0  3.3000000000000004e-08  2.5000000000000002e-08  1.9e-08
3.49999  978900000.0  8939000000.0  3.4e-08  2.6e-08  2e-08
3.74999  1013000000.0  9290000000.0  3.5e-08  2.7e-08  2e-08
3.99999  1047000000.0  9629000000.0  3.6000000000000005e-08  2.8000000000000003e-08  2.1000000000000003e-08
4.49999  1110000000.0  10270000000.0  3.8e-08  2.9e-08  2.2000000000000002e-08
4.99999  1170000000.0  10880000000.0  4e-08  3.1e-08  2.3e-08
5.49999  1227000000.0  11460000000.0  4.2000000000000006e-08  3.2e-08  2.4000000000000003e-08
5.99999  1282000000.0  12010000000.0  4.3e-08  3.3000000000000004e-08  2.5000000000000002e-08
6.49999  1334000000.0  12529999999.999998  4.5000000000000006e-08  3.5e-08  2.6e-08
6.99999  1384000000.0  13030000000.0  4.7000000000000004e-08  3.6000000000000005e-08  2.7e-08
7.99999  1480000000.0  13970000000.0  5.0000000000000004e-08  3.8e-08  2.9e-08
8.99999  1570000000.0  14850000000.000002  5.2e-08  4e-08  3.0000000000000004e-08
9.99999  1655000000.0  15670000000.0  5.5e-08  4.2000000000000006e-08  3.2e-08
10.9999  1734999999.9999998  16440000000.0  5.7e-08  4.4000000000000004e-08  3.3000000000000004e-08
11.9999  1813000000.0  17180000000.0  6.000000000000001e-08  4.6e-08  3.5e-08
12.9999  1887000000.0  17870000000.0  6.2e-08  4.8000000000000006e-08  3.6000000000000005e-08
13.9999  1958000000.0  18530000000.0  6.4e-08  5.0000000000000004e-08  3.7e-08
14.9999  2027000000.0  19170000000.0  6.7e-08  5.1e-08  3.8e-08
15.9999  2093000000.0000002  19770000000.0  6.900000000000001e-08  5.3000000000000005e-08  3.9000000000000005e-08
16.9999  2157000000.0  20360000000.0  7.1e-08  5.4e-08  4.1e-08
17.9999  2220000000.0  20920000000.0  7.3e-08  5.6000000000000005e-08  4.2000000000000006e-08
19.9999  2340000000.0  21980000000.0  7.7e-08  5.9000000000000006e-08  4.4000000000000004e-08
22.4999  2482000000.0  23210000000.0  8.100000000000001e-08  6.2e-08  4.6e-08
24.9999  2616000000.0  24360000000.0  8.6e-08  6.5e-08  4.8000000000000006e-08
27.4999  2744000000.0  25420000000.0  9.000000000000001e-08  6.900000000000001e-08  5.0000000000000004e-08
29.9999  2866000000.0  26420000000.0  9.400000000000001e-08  7.200000000000001e-08  5.3000000000000005e-08
32.4999  2983000000.0  27360000000.000004  9.8e-08  7.4e-08  5.5e-08
34.9999  3096000000.0  28250000000.0  1.02e-07  7.7e-08  5.6000000000000005e-08
37.4999  3204000000.0  29089999999.999996  1.0600000000000001e-07  8e-08  5.8e-08
39.9999  3309000000.0000005  29900000000.000004  1.1e-07  8.2e-08  6.000000000000001e-08
44.9999  3510000000.0  31389999999.999996  1.17e-07  8.700000000000001e-08  6.300000000000001e-08
49.9999  3700000000.0  32770000000.0  1.24e-07  9.2e-08  6.7e-08
54.9999  3881000000.0  34040000000.0  1.3e-07  9.700000000000001e-08  7e-08
59.9999  4053000000.0  35220000000.0  1.37e-07  1.01e-07  7.3e-08
64.9999  4219000000.0  36320000000.0  1.43e-07  1.0600000000000001e-07  7.6e-08
69.9999  4378000000.0  37350000000.0  1.49e-07  1.1e-07  7.800000000000001e-08
79.9999  4680000000.0  39250000000.0  1.61e-07  1.1800000000000001e-07  8.400000000000001e-08
89.9999  4964000000.0  40950000000.0  1.73e-07  1.2500000000000002e-07  8.9e-08
