energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  604900000.0  5115000000.0  2.1000000000000003e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.3  629600000.0  5370000000.0  2.1000000000000003e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.4  653400000.0  5616000000.0  2.2000000000000002e-08  1.6e-08  1.2000000000000002e-08
1.5  676300000.0  5854000000.0  2.3e-08  1.6e-08  1.2000000000000002e-08
1.6  698500000.0  6085000000.0  2.4000000000000003e-08  1.7e-08  1.2000000000000002e-08
1.7  720000000.0  6310000000.0  2.4000000000000003e-08  1.7e-08  1.3e-08
1.8  740900000.0  6529000000.0  2.5000000000000002e-08  1.8000000000000002e-08  1.3e-08
2  780900000.0000001  6949000000.0  2.6e-08  1.9e-08  1.4000000000000001e-08
2.25  828300000.0  7448000000.0  2.8000000000000003e-08  2e-08  1.5000000000000002e-08
2.49999  873100000.0  7922000000.0  2.9e-08  2.1000000000000003e-08  1.6e-08
2.74999  915700000.0  8373000000.0  3.0000000000000004e-08  2.2000000000000002e-08  1.6e-08
2.99999  956500000.0  8804000000.0  3.1e-08  2.3e-08  1.7e-08
3.24999  995500000.0  9218000000.0  3.2e-08  2.4000000000000003e-08  1.8000000000000002e-08
3.49999  1033000000.0  9616000000.0  3.4e-08  2.5000000000000002e-08  1.8000000000000002e-08
3.74999  1069000000.0  10000000000.0  3.5e-08  2.5000000000000002e-08  1.9e-08
3.99999  1104000000.0  10370000000.0  3.6000000000000005e-08  2.6e-08  2e-08
4.49999  1171000000.0  11080000000.000002  3.7e-08  2.8000000000000003e-08  2.1000000000000003e-08
4.99999  1235000000.0  11750000000.0  3.9000000000000005e-08  2.9e-08  2.2000000000000002e-08
5.49999  1295000000.0  12380000000.0  4.1e-08  3.0000000000000004e-08  2.3e-08
5.99999  1353000000.0  12990000000.0  4.2000000000000006e-08  3.2e-08  2.4000000000000003e-08
6.49999  1408000000.0  13570000000.0  4.4000000000000004e-08  3.3000000000000004e-08  2.5000000000000002e-08
6.99999  1461000000.0  14120000000.0  4.5000000000000006e-08  3.4e-08  2.5000000000000002e-08
7.99999  1562000000.0  15169999999.999998  4.8000000000000006e-08  3.6000000000000005e-08  2.7e-08
8.99999  1656999999.9999998  16140000000.000002  5.1e-08  3.8e-08  2.8000000000000003e-08
9.99999  1746000000.0  17060000000.0  5.3000000000000005e-08  4e-08  3.0000000000000004e-08
10.9999  1831000000.0000002  17920000000.0  5.6000000000000005e-08  4.2000000000000006e-08  3.1e-08
11.9999  1913000000.0  18740000000.0  5.8e-08  4.4000000000000004e-08  3.2e-08
12.9999  1991000000.0  19520000000.0  6.000000000000001e-08  4.5000000000000006e-08  3.3000000000000004e-08
13.9999  2066000000.0  20270000000.0  6.2e-08  4.7000000000000004e-08  3.5e-08
14.9999  2139000000.0  20980000000.0  6.4e-08  4.9e-08  3.6000000000000005e-08
15.9999  2209000000.0  21670000000.0  6.600000000000001e-08  5.0000000000000004e-08  3.7e-08
16.9999  2277000000.0  22320000000.000004  6.8e-08  5.1e-08  3.8e-08
17.9999  2343000000.0  22960000000.0  7e-08  5.3000000000000005e-08  3.9000000000000005e-08
19.9999  2470000000.0  24160000000.0  7.4e-08  5.6000000000000005e-08  4.1e-08
22.4999  2619000000.0  25560000000.0  7.800000000000001e-08  5.9000000000000006e-08  4.3e-08
24.9999  2761000000.0  26860000000.0  8.2e-08  6.2e-08  4.5000000000000006e-08
