energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  513800000.0  5953000000.000001  2.2000000000000002e-08  1.3e-08  9.000000000000001e-09
1.3  534800000.0  6261000000.0  2.3e-08  1.4000000000000001e-08  9.000000000000001e-09
1.4  554900000.0  6558000000.000001  2.4000000000000003e-08  1.4000000000000001e-08  1e-08
1.5  574400000.0  6847000000.0  2.5000000000000002e-08  1.5000000000000002e-08  1e-08
1.6  593300000.0  7128000000.0  2.6e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.7  611500000.0  7401000000.0  2.6e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.8  629300000.0  7667000000.000001  2.7e-08  1.6e-08  1.1000000000000001e-08
2  663300000.0  8182000000.0  2.8000000000000003e-08  1.7e-08  1.2000000000000002e-08
2.25  703500000.0  8794000000.0  3.0000000000000004e-08  1.8000000000000002e-08  1.3e-08
2.49999  741600000.0  9377000000.0  3.1e-08  1.8000000000000002e-08  1.3e-08
2.74999  777800000.0  9934000000.0  3.3000000000000004e-08  1.9e-08  1.4000000000000001e-08
2.99999  812400000.0000001  10470000000.0  3.4e-08  2e-08  1.5000000000000002e-08
3.24999  845500000.0  10980000000.0  3.5e-08  2.1000000000000003e-08  1.5000000000000002e-08
3.49999  877400000.0  11480000000.0  3.6000000000000005e-08  2.2000000000000002e-08  1.6e-08
3.74999  908200000.0  11960000000.0  3.7e-08  2.2000000000000002e-08  1.6e-08
3.99999  938000000.0  12430000000.000002  3.8e-08  2.3e-08  1.7e-08
4.49999  994900000.0  13320000000.0  4e-08  2.4000000000000003e-08  1.8000000000000002e-08
4.99999  1048999999.9999999  14170000000.0  4.2000000000000006e-08  2.6e-08  1.9e-08
5.49999  1100000000.0  14970000000.000002  4.4000000000000004e-08  2.7e-08  2e-08
5.99999  1149000000.0  15740000000.0  4.5000000000000006e-08  2.8000000000000003e-08  2e-08
6.49999  1196000000.0  16480000000.0  4.7000000000000004e-08  2.9e-08  2.1000000000000003e-08
6.99999  1241000000.0  17190000000.0  4.9e-08  3.0000000000000004e-08  2.2000000000000002e-08
7.99999  1327000000.0000002  18550000000.0  5.1e-08  3.2e-08  2.3e-08
8.99999  1407000000.0  19810000000.0  5.4e-08  3.4e-08  2.4000000000000003e-08
9.99999  1482999999.9999998  21010000000.0  5.7e-08  3.5e-08  2.6e-08
10.9999  1556000000.0  22140000000.0  5.9000000000000006e-08  3.7e-08  2.7e-08
11.9999  1625000000.0  23220000000.0  6.1e-08  3.8e-08  2.8000000000000003e-08
12.9999  1691000000.0  24260000000.0  6.300000000000001e-08  4e-08  2.9e-08
13.9999  1755000000.0  25250000000.0  6.5e-08  4.1e-08  3.0000000000000004e-08
14.9999  1816000000.0  26200000000.0  6.7e-08  4.2000000000000006e-08  3.1e-08
15.9999  1876000000.0  27120000000.0  6.900000000000001e-08  4.3e-08  3.1e-08
16.9999  1934000000.0  28010000000.0  7.1e-08  4.5000000000000006e-08  3.2e-08
17.9999  1990000000.0  28860000000.0  7.3e-08  4.6e-08  3.3000000000000004e-08
19.9999  2097999999.9999998  30500000000.0  7.7e-08  4.8000000000000006e-08  3.5e-08
22.4999  2225000000.0  32420000000.0  8.100000000000001e-08  5.1e-08  3.6000000000000005e-08
24.9999  2345000000.0  34220000000.0  8.500000000000001e-08  5.3000000000000005e-08  3.8e-08
27.4999  2460000000.0  35910000000.0  8.800000000000001e-08  5.5e-08  4e-08
29.9999  2569000000.0  37510000000.0  9.2e-08  5.8e-08  4.1e-08
32.4999  2674000000.0000005  39030000000.0  9.600000000000001e-08  6.000000000000001e-08  4.3e-08
34.9999  2775000000.0000005  40480000000.0  9.9e-08  6.2e-08  4.4000000000000004e-08
37.4999  2872000000.0  41870000000.0  1.02e-07  6.4e-08  4.6e-08
39.9999  2965999999.9999995  43190000000.0  1.05e-07  6.600000000000001e-08  4.7000000000000004e-08
44.9999  3146000000.0  45700000000.0  1.11e-07  6.900000000000001e-08  4.9e-08
49.9999  3316000000.0  48019999999.99999  1.17e-07  7.200000000000001e-08  5.2e-08
54.9999  3478000000.0  50199999999.99999  1.23e-07  7.6e-08  5.4e-08
59.9999  3633000000.0  52250000000.0  1.28e-07  7.9e-08  5.6000000000000005e-08
64.9999  3781000000.0  54180000000.0  1.33e-07  8.2e-08  5.8e-08
69.9999  3924000000.0000005  56010000000.0  1.3800000000000002e-07  8.400000000000001e-08  6.000000000000001e-08
79.9999  4195000000.0  59410000000.0  1.48e-07  9.000000000000001e-08  6.4e-08
89.9999  4449000000.0  62510000000.0  1.5700000000000002e-07  9.5e-08  6.8e-08
99.9999  4690000000.0  65370000000.0  1.66e-07  9.9e-08  7.1e-08
110  4919000000.0  68019999999.99999  1.7400000000000002e-07  1.04e-07  7.4e-08
120  5138000000.0  70490000000.0  1.83e-07  1.08e-07  7.800000000000001e-08
130  5348000000.000001  72810000000.0  1.9e-07  1.1200000000000001e-07  8.100000000000001e-08
139.999  5548999999.999999  74990000000.0  1.98e-07  1.16e-07  8.400000000000001e-08
149.999  5744000000.0  77040000000.0  2.0600000000000002e-07  1.2000000000000002e-07  8.6e-08
159.999  5933000000.000001  78990000000.0  2.1300000000000001e-07  1.24e-07  8.9e-08
169.999  6115000000.0  80840000000.0  2.2e-07  1.28e-07  9.2e-08
179.999  6293000000.0  82600000000.0  2.27e-07  1.31e-07  9.5e-08
199.999  6633000000.0  85890000000.0  2.41e-07  1.3800000000000002e-07  1.0000000000000001e-07
224.999  7035000000.0  89620000000.0  2.58e-07  1.47e-07  1.0600000000000001e-07
249.999  7416000000.0  93000000000.0  2.74e-07  1.55e-07  1.1200000000000001e-07
274.999  7778000000.0  96090000000.0  2.9000000000000003e-07  1.6200000000000002e-07  1.17e-07
299.999  8124000000.0  98930000000.0  3.0500000000000004e-07  1.6900000000000002e-07  1.23e-07
324.999  8455000000.0  101600000000.0  3.2e-07  1.77e-07  1.28e-07
349.999  8774000000.0  104000000000.0  3.34e-07  1.84e-07  1.33e-07
374.999  9082000000.0  106300000000.00002  3.49e-07  1.9e-07  1.3800000000000002e-07
399.999  9380000000.0  108400000000.0  3.63e-07  1.97e-07  1.43e-07
449.999  9949000000.0  112300000000.0  3.9e-07  2.09e-07  1.53e-07
499.999  10490000000.0  115800000000.0  4.1700000000000004e-07  2.22e-07  1.6200000000000002e-07
549.999  11000000000.0  118900000000.0  4.42e-07  2.34e-07  1.71e-07
599.999  11490000000.0  121700000000.0  4.68e-07  2.4500000000000004e-07  1.79e-07
649.999  11960000000.0  124300000000.0  4.93e-07  2.56e-07  1.8700000000000002e-07
699.999  12410000000.000002  126600000000.0  5.17e-07  2.67e-07  1.96e-07
799.999  13270000000.0  130800000000.0  5.65e-07  2.8800000000000004e-07  2.1100000000000002e-07
899.999  14070000000.0  134400000000.0  6.12e-07  3.0900000000000003e-07  2.27e-07
999.999  14830000000.000002  137500000000.0  6.58e-07  3.28e-07  2.41e-07
1100.0  15560000000.0  140300000000.0  7.02e-07  3.4800000000000005e-07  2.56e-07
1200.0  16250000000.0  142700000000.0  7.47e-07  3.6700000000000004e-07  2.7e-07
1300.0  16910000000.0  144800000000.0  7.900000000000001e-07  3.85e-07  2.8300000000000003e-07
1400.0  17550000000.0  146700000000.0  8.33e-07  4.0300000000000005e-07  2.97e-07
1500.0  18160000000.0  148500000000.0  8.760000000000001e-07  4.21e-07  3.1e-07
1600.0  18760000000.0  150000000000.0  9.18e-07  4.3800000000000003e-07  3.23e-07
1700.0  19340000000.0  151400000000.0  9.600000000000001e-07  4.56e-07  3.35e-07
1800.0  19900000000.0  152700000000.0  1.001e-06  4.73e-07  3.4800000000000005e-07
2000.0  20980000000.0  154900000000.0  1.083e-06  5.06e-07  3.7200000000000005e-07
2250.0  22250000000.0  157100000000.0  1.185e-06  5.47e-07  4.02e-07
2500.0  23450000000.000004  158900000000.0  1.285e-06  5.870000000000001e-07  4.32e-07
2750.0  24600000000.0  160300000000.0  1.384e-06  6.27e-07  4.6000000000000004e-07
3000.0  25690000000.0  161400000000.0  1.4820000000000002e-06  6.650000000000001e-07  4.88e-07
3250.0  26740000000.0  162300000000.0  1.5800000000000001e-06  7.040000000000001e-07  5.16e-07
3500.0  27750000000.0  163000000000.0  1.678e-06  7.410000000000001e-07  5.43e-07
3750.0  28720000000.0  163500000000.0  1.7750000000000002e-06  7.790000000000001e-07  5.690000000000001e-07
4000.0  29660000000.000004  163900000000.0  1.8710000000000002e-06  8.16e-07  5.96e-07
4500.0  31460000000.0  164300000000.0  2.064e-06  8.890000000000001e-07  6.480000000000001e-07
5000.0  33160000000.0  164300000000.0  2.256e-06  9.600000000000001e-07  6.99e-07
5500.0  34780000000.0  164100000000.0  2.447e-06  1.0310000000000002e-06  7.49e-07
6000.0  36330000000.0  163700000000.0  2.639e-06  1.1010000000000001e-06  7.98e-07
6500.0  37810000000.0  163100000000.0  2.83e-06  1.171e-06  8.47e-07
7000.0  39240000000.0  162399999999.99997  3.022e-06  1.24e-06  8.95e-07
8000.0  41950000000.0  160700000000.0  3.406e-06  1.3750000000000002e-06  9.910000000000001e-07
9000.0  44490000000.0  158800000000.0  3.791e-06  1.509e-06  1.085e-06
10000.0  46900000000.00001  156700000000.0  4.1780000000000005e-06  1.641e-06  1.1770000000000001e-06
11000.0  49189999999.99999  154600000000.0  4.5670000000000005e-06  1.7720000000000001e-06  1.269e-06
12000.0  51380000000.0  152500000000.0  4.958000000000001e-06  1.901e-06  1.3610000000000002e-06
13000.0  53480000000.0  150300000000.0  5.3500000000000004e-06  2.029e-06  1.4510000000000002e-06
14000.0  55490000000.0  148200000000.0  5.745e-06  2.155e-06  1.5410000000000002e-06
15000.0  57440000000.0  146100000000.0  6.142000000000001e-06  2.2810000000000003e-06  1.6310000000000001e-06
16000.0  59330000000.0  144000000000.0  6.5410000000000006e-06  2.4050000000000003e-06  1.7210000000000001e-06
17000.0  61150000000.0  142000000000.0  6.941e-06  2.528e-06  1.81e-06
18000.0  62930000000.0  140000000000.0  7.343000000000001e-06  2.65e-06  1.8990000000000002e-06
20000.0  66330000000.0  136199999999.99998  8.153e-06  2.8910000000000004e-06  2.077e-06
22500.0  70350000000.0  131700000000.0  9.175000000000001e-06  3.186e-06  2.2980000000000003e-06
25000.0  74160000000.0  127600000000.0  1.02e-05  3.475e-06  2.5180000000000003e-06
27500.0  77780000000.0  123699999999.99998  1.1200000000000001e-05  3.7590000000000003e-06  2.7380000000000003e-06
30000.0  81240000000.0  120000000000.0  1.23e-05  4.036e-06  2.9570000000000002e-06
32500.0  84550000000.0  116600000000.0  1.3300000000000001e-05  4.308e-06  3.175e-06
35000.0  87739999999.99998  113400000000.0  1.4400000000000001e-05  4.574000000000001e-06  3.3920000000000003e-06
37500.0  90820000000.0  110399999999.99998  1.55e-05  4.835e-06  3.609e-06
40000.0  99140000000.0  107600000000.0  1.65e-05  5.084e-06  3.824e-06
45000.0  111900000000.0  102400000000.0  1.8500000000000002e-05  5.545e-06  4.249e-06
50000.0  119100000000.0  97790000000.0  2.0600000000000003e-05  5.974000000000001e-06  4.661e-06
55000.0  123300000000.0  93640000000.00002  2.26e-05  6.387e-06  5.059e-06
60000.0  126000000000.0  89890000000.00002  2.46e-05  6.792e-06  5.448e-06
65000.0  128100000000.0  86470000000.0  2.6600000000000003e-05  7.189e-06  5.828000000000001e-06
70000.0  130000000000.0  83350000000.00002  2.8700000000000003e-05  7.58e-06  6.204e-06
80000.0  133900000000.0  77840000000.0  3.29e-05  8.349000000000001e-06  6.942000000000001e-06
90000.0  138700000000.0  73120000000.0  3.71e-05  9.086e-06  7.667000000000001e-06
100000.0  144500000000.0  69020000000.0  4.1400000000000003e-05  9.787000000000001e-06  8.377000000000001e-06
110000.0  151100000000.0  65430000000.0  4.56e-05  1.04e-05  9.071e-06
120000.0  158300000000.0  62240000000.0  4.980000000000001e-05  1.1100000000000002e-05  9.746000000000001e-06
130000.0  165900000000.0  59400000000.00001  5.39e-05  1.16e-05  1.04e-05
140000.0  173800000000.0  56849999999.99999  5.7900000000000005e-05  1.22e-05  1.1000000000000001e-05
150000.0  181800000000.0  54530000000.0  6.190000000000001e-05  1.27e-05  1.16e-05
160000.0  189899999999.99997  52430000000.0  6.570000000000001e-05  1.3200000000000002e-05  1.22e-05
170000.0  197900000000.0  50500000000.0  6.950000000000001e-05  1.3600000000000002e-05  1.2800000000000001e-05
180000.0  205700000000.0  48730000000.0  7.32e-05  1.4e-05  1.3300000000000001e-05
200000.0  220900000000.0  45590000000.0  8.04e-05  1.48e-05  1.43e-05
225000.0  238600000000.0  42260000000.0  8.900000000000001e-05  1.5600000000000003e-05  1.55e-05
250000.0  254600000000.0  39440000000.0  9.720000000000002e-05  1.64e-05  1.66e-05
275000.0  269200000000.00003  37010000000.0  0.00010510000000000001  1.7e-05  1.7500000000000002e-05
300000.0  282300000000.0  34910000000.0  0.0001127  1.76e-05  1.8400000000000003e-05
325000.0  294100000000.0  33050000000.0  0.0001201  1.8200000000000002e-05  1.9200000000000003e-05
350000.0  304800000000.0  31410000000.0  0.0001274  1.8700000000000004e-05  2e-05
375000.0  314600000000.0  29940000000.000004  0.00013440000000000001  1.91e-05  2.0700000000000002e-05
400000.0  323500000000.0  28620000000.0  0.00014130000000000002  1.9600000000000002e-05  2.1400000000000002e-05
450000.0  339500000000.0  26340000000.0  0.00015480000000000002  2.04e-05  2.2700000000000003e-05
500000.0  353700000000.0  24430000000.0  0.0001678  2.11e-05  2.3800000000000003e-05
550000.0  366599999999.99994  22799999999.999996  0.00018050000000000002  2.1700000000000002e-05  2.4900000000000006e-05
600000.0  378700000000.0  21410000000.0  0.00019280000000000002  2.2300000000000003e-05  2.5800000000000004e-05
650000.0  390400000000.0  20179999999.999996  0.0002049  2.28e-05  2.6700000000000002e-05
700000.0  401900000000.0  19110000000.0  0.0002166  2.3300000000000004e-05  2.76e-05
800000.0  424700000000.0  17300000000.0  0.00023930000000000002  2.4300000000000005e-05  2.9100000000000003e-05
900000.0  448100000000.0  15830000000.0  0.00026100000000000006  2.51e-05  3.0400000000000004e-05
1000000.0  472299999999.99994  14620000000.0  0.0002817  2.59e-05  3.16e-05
1100000.0  497400000000.0  13590000000.0  0.0003015  2.65e-05  3.27e-05
1200000.0  523400000000.00006  12710000000.0  0.00032030000000000003  2.71e-05  3.3700000000000006e-05
1300000.0  550300000000.0  11950000000.0  0.00033830000000000004  2.76e-05  3.46e-05
1400000.0  578000000000.0  11279999999.999998  0.0003555  2.8e-05  3.54e-05
1500000.0  606100000000.0  10690000000.0  0.0003719  2.8400000000000003e-05  3.61e-05
1600000.0  634800000000.0  10160000000.0  0.0003876  2.8700000000000003e-05  3.680000000000001e-05
1700000.0  663700000000.0  9687000000.0  0.00040260000000000003  2.9e-05  3.740000000000001e-05
1800000.0  692700000000.0  9260000000.0  0.00041710000000000006  2.9300000000000004e-05  3.7900000000000006e-05
2000000.0  750699999999.9999  8518000000.0  0.00044420000000000006  2.9900000000000005e-05  3.8900000000000004e-05
2250000.0  821900000000.0  7755000000.0  0.0004755  3.0600000000000005e-05  4e-05
2500000.0  890100000000.0  7127000000.0  0.0005043000000000001  3.1100000000000004e-05  4.08e-05
