energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  411900000.0  2308000000.0  2.2000000000000002e-08  2.6e-08  2e-08
1.3  428700000.0  2411000000.0  2.3e-08  2.7e-08  2.1000000000000003e-08
1.4  444900000.0  2510000000.0  2.4000000000000003e-08  2.8000000000000003e-08  2.1000000000000003e-08
1.5  460500000.0  2605000000.0  2.5000000000000002e-08  2.9e-08  2.2000000000000002e-08
1.6  475600000.0  2696000000.0  2.6e-08  3.0000000000000004e-08  2.3e-08
1.7  490200000.0  2785000000.0000005  2.6e-08  3.1e-08  2.4000000000000003e-08
1.8  504400000.0  2870000000.0  2.7e-08  3.2e-08  2.4000000000000003e-08
2  531700000.0  3033000000.0  2.8000000000000003e-08  3.4e-08  2.6e-08
2.25  564000000.0  3225000000.0  3.0000000000000004e-08  3.6000000000000005e-08  2.7e-08
2.49999  594500000.0  3404000000.0  3.2e-08  3.8e-08  2.9e-08
2.74999  623500000.0  3573000000.0  3.3000000000000004e-08  3.9000000000000005e-08  3.0000000000000004e-08
2.99999  651200000.0  3733000000.0  3.5e-08  4.1e-08  3.1e-08
3.24999  677800000.0000001  3885000000.0  3.6000000000000005e-08  4.3e-08  3.2e-08
3.49999  703400000.0  4029000000.0  3.7e-08  4.4000000000000004e-08  3.4e-08
3.74999  728100000.0  4168000000.0  3.9000000000000005e-08  4.6e-08  3.5e-08
3.99999  752000000.0  4301000000.0  4e-08  4.7000000000000004e-08  3.6000000000000005e-08
4.49999  797600000.0  4551000000.0  4.2000000000000006e-08  5.0000000000000004e-08  3.8e-08
4.99999  840700000.0  4783000000.0  4.5000000000000006e-08  5.3000000000000005e-08  4e-08
5.49999  881700000.0  5001000000.0  4.7000000000000004e-08  5.5e-08  4.2000000000000006e-08
5.99999  921000000.0  5205999999.999999  4.9e-08  5.8e-08  4.4000000000000004e-08
6.49999  958600000.0  5399000000.0  5.1e-08  6.000000000000001e-08  4.6e-08
6.99999  994700000.0  5582000000.0  5.3000000000000005e-08  6.2e-08  4.7000000000000004e-08
7.99999  1063000000.0  5923000000.000001  5.7e-08  6.7e-08  5.1e-08
8.99999  1128000000.0  6234000000.0  6.1e-08  7.1e-08  5.4e-08
9.99999  1189000000.0  6520000000.0  6.5e-08  7.4e-08  5.7e-08
10.9999  1247000000.0  6786000000.0  6.8e-08  7.800000000000001e-08  5.9000000000000006e-08
11.9999  1302000000.0  7034000000.0  7.200000000000001e-08  8.2e-08  6.2e-08
12.9999  1356000000.0  7267000000.0  7.500000000000001e-08  8.500000000000001e-08  6.5e-08
13.9999  1407000000.0  7485000000.000001  7.800000000000001e-08  8.800000000000001e-08  6.7e-08
14.9999  1456000000.0  7692000000.0  8.100000000000001e-08  9.2e-08  7e-08
15.9999  1504000000.0  7887999999.999999  8.500000000000001e-08  9.5e-08  7.200000000000001e-08
16.9999  1550000000.0  8073000000.0  8.800000000000001e-08  9.8e-08  7.500000000000001e-08
17.9999  1595000000.0  8250000000.0  9.100000000000001e-08  1.01e-07  7.7e-08
19.9999  1681000000.0  8581000000.0  9.700000000000001e-08  1.07e-07  8.100000000000001e-08
22.4999  1782999999.9999998  8957000000.0  1.04e-07  1.14e-07  8.700000000000001e-08
24.9999  1880000000.0  9297000000.0  1.11e-07  1.2000000000000002e-07  9.2e-08
27.4999  1971999999.9999998  9608000000.0  1.17e-07  1.27e-07  9.700000000000001e-08
29.9999  2059000000.0  9895000000.0  1.24e-07  1.33e-07  1.02e-07
32.4999  2143000000.0  10160000000.0  1.31e-07  1.3900000000000001e-07  1.0600000000000001e-07
34.9999  2224000000.0  10410000000.0  1.37e-07  1.4500000000000001e-07  1.11e-07
37.4999  2302000000.0  10640000000.0  1.43e-07  1.5100000000000002e-07  1.1500000000000001e-07
39.9999  2378000000.0  10850000000.0  1.49e-07  1.5600000000000002e-07  1.2000000000000002e-07
44.9999  2522000000.0  11240000000.000002  1.61e-07  1.67e-07  1.28e-07
49.9999  2659000000.0000005  11590000000.0  1.73e-07  1.78e-07  1.36e-07
54.9999  2788000000.0  11910000000.0  1.85e-07  1.8800000000000002e-07  1.4400000000000002e-07
59.9999  2912000000.0  12200000000.0  1.96e-07  1.98e-07  1.52e-07
64.9999  3031000000.0  12460000000.0  2.0700000000000001e-07  2.08e-07  1.6e-07
69.9999  3146000000.0  12700000000.0  2.1800000000000002e-07  2.1700000000000002e-07  1.67e-07
79.9999  3363000000.0  13120000000.0  2.4000000000000003e-07  2.3600000000000002e-07  1.8200000000000002e-07
89.9999  3567000000.0  13480000000.0  2.61e-07  2.54e-07  1.95e-07
99.9999  3760000000.0  13799999999.999998  2.82e-07  2.72e-07  2.09e-07
110  3943000000.0  14080000000.0  3.0200000000000003e-07  2.89e-07  2.22e-07
120  4119000000.0  14330000000.0  3.22e-07  3.0500000000000004e-07  2.3500000000000003e-07
130  4287000000.0000005  14550000000.0  3.42e-07  3.22e-07  2.4700000000000003e-07
139.999  4449000000.0  14740000000.0  3.6200000000000004e-07  3.3800000000000004e-07  2.6e-07
149.999  4605000000.0  14920000000.0  3.8100000000000004e-07  3.54e-07  2.72e-07
159.999  4756000000.0  15080000000.0  4.01e-07  3.7e-07  2.84e-07
169.999  4902000000.0  15230000000.0  4.2e-07  3.85e-07  2.9500000000000003e-07
179.999  5044000000.0  15360000000.0  4.3900000000000005e-07  4.0000000000000003e-07  3.0700000000000004e-07
199.999  5316999999.999999  15590000000.0  4.77e-07  4.3100000000000003e-07  3.3e-07
224.999  5639999999.999999  15820000000.0  5.250000000000001e-07  4.6700000000000004e-07  3.5700000000000003e-07
249.999  5945000000.0  16000000000.0  5.71e-07  5.040000000000001e-07  3.8400000000000005e-07
274.999  6235000000.000001  16150000000.0  6.180000000000001e-07  5.39e-07  4.1000000000000004e-07
299.999  6512000000.0  16270000000.0  6.64e-07  5.74e-07  4.3600000000000004e-07
324.999  6778000000.0  16359999999.999998  7.100000000000001e-07  6.09e-07  4.61e-07
349.999  7034000000.0  16440000000.0  7.56e-07  6.44e-07  4.86e-07
374.999  7281000000.0  16490000000.0  8.01e-07  6.78e-07  5.110000000000001e-07
399.999  7520000000.0  16540000000.0  8.47e-07  7.110000000000001e-07  5.350000000000001e-07
449.999  7976000000.0  16590000000.0  9.380000000000001e-07  7.78e-07  5.82e-07
499.999  8407000000.0  16600000000.0  1.029e-06  8.440000000000001e-07  6.280000000000001e-07
549.999  8817000000.0  16580000000.0  1.12e-06  9.100000000000001e-07  6.720000000000001e-07
599.999  9210000000.0  16550000000.0  1.2110000000000001e-06  9.72e-07  7.18e-07
649.999  9586000000.0  16500000000.0  1.302e-06  1.033e-06  7.63e-07
699.999  9947000000.0  16430000000.0  1.393e-06  1.0930000000000002e-06  8.08e-07
799.999  10630000000.0  16270000000.0  1.576e-06  1.209e-06  8.97e-07
899.999  11279999999.999998  16090000000.0  1.759e-06  1.3240000000000002e-06  9.84e-07
999.999  11890000000.0  15890000000.0  1.9430000000000003e-06  1.4370000000000002e-06  1.069e-06
1100.0  12470000000.000002  15690000000.0  2.128e-06  1.548e-06  1.154e-06
1200.0  13020000000.0  15480000000.0  2.313e-06  1.6570000000000002e-06  1.237e-06
1300.0  13560000000.0  15270000000.0  2.499e-06  1.763e-06  1.319e-06
1400.0  14070000000.0  15060000000.0  2.685e-06  1.8680000000000002e-06  1.4000000000000001e-06
1500.0  14560000000.0  14850000000.000002  2.8730000000000003e-06  1.972e-06  1.48e-06
1600.0  15040000000.0  14650000000.0  3.0600000000000003e-06  2.074e-06  1.56e-06
1700.0  15500000000.0  14450000000.0  3.249e-06  2.1740000000000003e-06  1.638e-06
1800.0  15950000000.0  14250000000.0  3.4370000000000003e-06  2.272e-06  1.717e-06
2000.0  16810000000.0  13870000000.0  3.817e-06  2.464e-06  1.8710000000000002e-06
2250.0  17830000000.0  13420000000.0  4.292000000000001e-06  2.696e-06  2.0610000000000003e-06
2500.0  18800000000.0  13000000000.0  4.77e-06  2.922e-06  2.2470000000000003e-06
2750.0  19720000000.0  12609999999.999998  5.248e-06  3.14e-06  2.4280000000000003e-06
3000.0  20590000000.0  12250000000.0  5.727e-06  3.351e-06  2.607e-06
3250.0  21429999999.999996  11900000000.0  6.207e-06  3.5560000000000003e-06  2.7820000000000002e-06
3500.0  22240000000.000004  11580000000.0  6.686e-06  3.755e-06  2.9530000000000004e-06
3750.0  23020000000.0  11279999999.999998  7.165000000000001e-06  3.948e-06  3.1220000000000003e-06
4000.0  23780000000.0  11000000000.0  7.643000000000001e-06  4.136e-06  3.288e-06
4500.0  25219999999.999996  10480000000.0  8.598000000000001e-06  4.4940000000000005e-06  3.6120000000000003e-06
5000.0  26589999999.999996  10009999999.999998  9.549000000000001e-06  4.833e-06  3.924e-06
5500.0  27880000000.0  9589000000.0  1.0500000000000001e-05  5.155000000000001e-06  4.226e-06
6000.0  29120000000.0  9208000000.0  1.14e-05  5.461000000000001e-06  4.518000000000001e-06
6500.0  30310000000.0  8862000000.0  1.2400000000000002e-05  5.753000000000001e-06  4.801e-06
7000.0  31460000000.0  8545000000.0  1.3300000000000001e-05  6.031e-06  5.0750000000000005e-06
8000.0  33630000000.0  7985000000.0  1.5100000000000001e-05  6.549e-06  5.599e-06
9000.0  35660000000.0  7504000000.0  1.69e-05  7.0250000000000005e-06  6.093000000000001e-06
10000.0  37590000000.0  7087000000.0  1.8700000000000004e-05  7.463e-06  6.560000000000001e-06
11000.0  39420000000.0  6721000000.0  2.04e-05  7.869e-06  7.002e-06
12000.0  41160000000.0  6395999999.999999  2.2100000000000002e-05  8.246e-06  7.422e-06
13000.0  42840000000.0  6106000000.0  2.3800000000000003e-05  8.598000000000001e-06  7.821e-06
14000.0  44450000000.0  5844000000.0  2.55e-05  8.927000000000001e-06  8.202e-06
15000.0  46010000000.0  5608000000.0  2.71e-05  9.235e-06  8.565e-06
16000.0  47520000000.0  5393000000.0  2.8700000000000003e-05  9.525000000000001e-06  8.913000000000001e-06
17000.0  48970000000.0  5195999999.999999  3.03e-05  9.798e-06  9.246000000000001e-06
18000.0  50390000000.0  5014999999.999999  3.180000000000001e-05  1.0100000000000002e-05  9.566000000000001e-06
20000.0  53110000000.0  4693000000.0  3.4800000000000006e-05  1.0500000000000001e-05  1.02e-05
22500.0  56320000000.0  4351000000.0  3.85e-05  1.1100000000000002e-05  1.0900000000000002e-05
25000.0  59349999999.99999  4062000000.0  4.21e-05  1.15e-05  1.15e-05
27500.0  62240000000.0  3814000000.0  4.55e-05  1.2e-05  1.2100000000000001e-05
