energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  425200000.0  5840000000.0  3.1e-08  1.1000000000000001e-08  8e-09
1.3  442600000.0  6166000000.0  3.3000000000000004e-08  1.1000000000000001e-08  8e-09
1.4  459300000.0  6483000000.0  3.4e-08  1.2000000000000002e-08  8e-09
1.5  475400000.0  6792000000.0  3.5e-08  1.2000000000000002e-08  9.000000000000001e-09
1.6  491000000.0  7094000000.0  3.6000000000000005e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  506100000.0  7389000000.0  3.7e-08  1.3e-08  9.000000000000001e-09
1.8  520800000.0  7678000000.0  3.8e-08  1.3e-08  9.000000000000001e-09
2  549000000.0  8239000000.0  4e-08  1.4000000000000001e-08  1e-08
2.25  582300000.0  8912000000.0  4.2000000000000006e-08  1.5000000000000002e-08  1e-08
2.49999  613800000.0  9558000000.0  4.4000000000000004e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  643700000.0  10180000000.0  4.6e-08  1.6e-08  1.2000000000000002e-08
2.99999  672300000.0  10780000000.0  4.8000000000000006e-08  1.7e-08  1.2000000000000002e-08
3.24999  699800000.0  11359999999.999998  4.9e-08  1.7e-08  1.3e-08
3.49999  726200000.0  11930000000.0  5.1e-08  1.8000000000000002e-08  1.3e-08
3.74999  751700000.0  12480000000.0  5.2e-08  1.8000000000000002e-08  1.4000000000000001e-08
3.99999  776400000.0  13010000000.0  5.4e-08  1.9e-08  1.4000000000000001e-08
4.49999  823500000.0000001  14050000000.0  5.7e-08  2e-08  1.5000000000000002e-08
4.99999  868000000.0  15040000000.0  5.9000000000000006e-08  2.1000000000000003e-08  1.6e-08
5.49999  910400000.0  15990000000.0  6.1e-08  2.2000000000000002e-08  1.6e-08
5.99999  950800000.0  16910000000.0  6.4e-08  2.3e-08  1.7e-08
6.49999  989700000.0  17790000000.0  6.600000000000001e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.99999  1027000000.0  18650000000.0  6.8e-08  2.4000000000000003e-08  1.8000000000000002e-08
7.99999  1098000000.0  20299999999.999996  7.1e-08  2.6e-08  1.9e-08
8.99999  1165000000.0  21860000000.0  7.500000000000001e-08  2.7e-08  2e-08
9.99999  1228000000.0  23360000000.0  7.800000000000001e-08  2.9e-08  2.1000000000000003e-08
10.9999  1287000000.0  24790000000.0  8.100000000000001e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  1345000000.0  26160000000.0  8.400000000000001e-08  3.1e-08  2.3e-08
12.9999  1400000000.0000002  27490000000.0  8.700000000000001e-08  3.2e-08  2.4000000000000003e-08
13.9999  1452000000.0  28769999999.999996  8.9e-08  3.3000000000000004e-08  2.5000000000000002e-08
14.9999  1503000000.0  30019999999.999996  9.2e-08  3.4e-08  2.5000000000000002e-08
15.9999  1553000000.0  31220000000.0  9.400000000000001e-08  3.5e-08  2.6e-08
16.9999  1601000000.0  32400000000.000004  9.600000000000001e-08  3.6000000000000005e-08  2.7e-08
17.9999  1647000000.0000002  33540000000.0  9.9e-08  3.7e-08  2.7e-08
19.9999  1736000000.0  35750000000.0  1.0300000000000001e-07  3.8e-08  2.9e-08
22.4999  1841000000.0000002  38370000000.0  1.08e-07  4e-08  3.0000000000000004e-08
24.9999  1941000000.0  40860000000.0  1.1200000000000001e-07  4.2000000000000006e-08  3.1e-08
27.4999  2036000000.0  43230000000.00001  1.17e-07  4.4000000000000004e-08  3.3000000000000004e-08
29.9999  2126000000.0  45510000000.0  1.21e-07  4.6e-08  3.4e-08
32.4999  2213000000.0  47699999999.99999  1.2500000000000002e-07  4.7000000000000004e-08  3.5e-08
34.9999  2297000000.0  49810000000.0  1.28e-07  4.9e-08  3.6000000000000005e-08
37.4999  2377000000.0  51849999999.99999  1.3200000000000002e-07  5.0000000000000004e-08  3.7e-08
39.9999  2455000000.0  53820000000.0  1.35e-07  5.1e-08  3.8e-08
44.9999  2604000000.0  57590000000.0  1.42e-07  5.4e-08  4e-08
49.9999  2745000000.0  61160000000.0  1.48e-07  5.6000000000000005e-08  4.1e-08
54.9999  2879000000.0  64550000000.0  1.54e-07  5.9000000000000006e-08  4.3e-08
59.9999  3007000000.0  67790000000.0  1.6e-07  6.1e-08  4.5000000000000006e-08
64.9999  3130000000.0  70890000000.0  1.65e-07  6.300000000000001e-08  4.6e-08
69.9999  3248000000.0  73870000000.0  1.7000000000000001e-07  6.5e-08  4.7000000000000004e-08
79.9999  3472000000.0  79510000000.0  1.79e-07  6.900000000000001e-08  5.0000000000000004e-08
89.9999  3683000000.0  84789999999.99998  1.8800000000000002e-07  7.200000000000001e-08  5.3000000000000005e-08
99.9999  3882000000.0  89750000000.0  1.97e-07  7.500000000000001e-08  5.5e-08
110  4071000000.0  94450000000.0  2.0500000000000002e-07  7.800000000000001e-08  5.7e-08
120  4252000000.0  98910000000.0  2.1300000000000001e-07  8.100000000000001e-08  5.9000000000000006e-08
130  4426000000.0  103200000000.0  2.2e-07  8.400000000000001e-08  6.1e-08
139.999  4593000000.0  107200000000.0  2.27e-07  8.700000000000001e-08  6.300000000000001e-08
149.999  4754000000.0  111199999999.99998  2.34e-07  8.9e-08  6.5e-08
159.999  4910000000.0  114900000000.0  2.41e-07  9.2e-08  6.600000000000001e-08
169.999  5061000000.0  118500000000.0  2.4700000000000003e-07  9.400000000000001e-08  6.8e-08
179.999  5208000000.0  122000000000.0  2.53e-07  9.600000000000001e-08  7e-08
199.999  5490000000.0  128699999999.99998  2.65e-07  1.01e-07  7.3e-08
224.999  5823000000.0  136500000000.0  2.79e-07  1.0600000000000001e-07  7.6e-08
249.999  6138000000.0  143700000000.0  2.9300000000000004e-07  1.11e-07  8e-08
274.999  6437000000.000001  150600000000.0  3.0500000000000004e-07  1.1500000000000001e-07  8.3e-08
299.999  6723000000.0  157000000000.0  3.18e-07  1.1900000000000001e-07  8.6e-08
324.999  6998000000.0  163100000000.0  3.3e-07  1.23e-07  8.9e-08
