energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  365300000.0  6262000000.0  2.4000000000000003e-08  1.2000000000000002e-08  9.000000000000001e-09
1.3  380200000.0  6593000000.0  2.5000000000000002e-08  1.3e-08  9.000000000000001e-09
1.4  394600000.0  6913000000.0  2.5000000000000002e-08  1.3e-08  9.000000000000001e-09
1.5  408400000.0  7224000000.0  2.6e-08  1.4000000000000001e-08  1e-08
1.6  421800000.0  7527000000.0  2.7e-08  1.4000000000000001e-08  1e-08
1.7  434800000.0  7822000000.0  2.8000000000000003e-08  1.5000000000000002e-08  1e-08
1.8  447400000.0  8110000000.000001  2.9e-08  1.5000000000000002e-08  1.1000000000000001e-08
2  471600000.0  8667000000.0  3.0000000000000004e-08  1.6e-08  1.1000000000000001e-08
2.25  500200000.0  9331000000.0  3.2e-08  1.7e-08  1.2000000000000002e-08
2.49999  527200000.0  9965000000.0  3.3000000000000004e-08  1.8000000000000002e-08  1.3e-08
2.74999  553000000.0  10570000000.0  3.4e-08  1.8000000000000002e-08  1.3e-08
2.99999  577600000.0  11160000000.000002  3.6000000000000005e-08  1.9e-08  1.4000000000000001e-08
3.24999  601200000.0  11720000000.0  3.7e-08  2e-08  1.5000000000000002e-08
3.49999  623800000.0  12260000000.0  3.8e-08  2.1000000000000003e-08  1.5000000000000002e-08
3.74999  645700000.0  12790000000.0  3.9000000000000005e-08  2.1000000000000003e-08  1.6e-08
3.99999  666900000.0  13300000000.0  4e-08  2.2000000000000002e-08  1.6e-08
4.49999  707400000.0  14290000000.0  4.2000000000000006e-08  2.3e-08  1.7e-08
4.99999  745600000.0  15220000000.0  4.4000000000000004e-08  2.4000000000000003e-08  1.8000000000000002e-08
5.49999  782000000.0  16110000000.0  4.6e-08  2.5000000000000002e-08  1.9e-08
5.99999  816800000.0  16970000000.0  4.8000000000000006e-08  2.6e-08  1.9e-08
6.49999  850200000.0  17790000000.0  4.9e-08  2.7e-08  2e-08
6.99999  882200000.0000001  18580000000.0  5.1e-08  2.8000000000000003e-08  2.1000000000000003e-08
7.99999  943200000.0  20090000000.0  5.4e-08  3.0000000000000004e-08  2.2000000000000002e-08
8.99999  1000000000.0  21509999999.999996  5.7e-08  3.2e-08  2.3e-08
9.99999  1053999999.9999999  22860000000.0  5.9000000000000006e-08  3.3000000000000004e-08  2.4000000000000003e-08
10.9999  1106000000.0  24140000000.0  6.2e-08  3.5e-08  2.5000000000000002e-08
11.9999  1155000000.0  25360000000.0  6.4e-08  3.6000000000000005e-08  2.6e-08
12.9999  1202000000.0  26530000000.0  6.600000000000001e-08  3.7e-08  2.7e-08
13.9999  1248000000.0  27660000000.0  6.8e-08  3.9000000000000005e-08  2.8000000000000003e-08
14.9999  1291000000.0  28750000000.0  7e-08  4e-08  2.9e-08
15.9999  1334000000.0  29790000000.0  7.200000000000001e-08  4.1e-08  3.0000000000000004e-08
16.9999  1375000000.0  30810000000.0  7.4e-08  4.2000000000000006e-08  3.1e-08
17.9999  1414999999.9999998  31790000000.0  7.6e-08  4.3e-08  3.1e-08
19.9999  1491000000.0  33670000000.0  7.9e-08  4.5000000000000006e-08  3.3000000000000004e-08
22.4999  1582000000.0  35890000000.0  8.3e-08  4.8000000000000006e-08  3.5e-08
24.9999  1666999999.9999998  37970000000.0  8.700000000000001e-08  5.0000000000000004e-08  3.6000000000000005e-08
27.4999  1749000000.0  39940000000.0  9.100000000000001e-08  5.2e-08  3.8e-08
29.9999  1826000000.0000002  41810000000.0  9.400000000000001e-08  5.4e-08  3.9000000000000005e-08
32.4999  1901000000.0  43600000000.0  9.8e-08  5.6000000000000005e-08  4e-08
34.9999  1973000000.0  45300000000.0  1.01e-07  5.8e-08  4.2000000000000006e-08
37.4999  2042000000.0  46940000000.0  1.04e-07  5.9000000000000006e-08  4.3e-08
39.9999  2109000000.0  48510000000.0  1.07e-07  6.1e-08  4.4000000000000004e-08
44.9999  2237000000.0  51480000000.0  1.13e-07  6.4e-08  4.6e-08
49.9999  2358000000.0  54260000000.0  1.1900000000000001e-07  6.7e-08  4.9e-08
54.9999  2473000000.0  56880000000.0  1.24e-07  7e-08  5.1e-08
59.9999  2582999999.9999995  59340000000.0  1.29e-07  7.3e-08  5.3000000000000005e-08
64.9999  2688000000.0  61680000000.0  1.34e-07  7.6e-08  5.4e-08
69.9999  2790000000.0000005  63910000000.0  1.3900000000000001e-07  7.800000000000001e-08  5.6000000000000005e-08
79.9999  2983000000.0  68060000000.0  1.48e-07  8.3e-08  6.000000000000001e-08
89.9999  3163000000.0000005  71890000000.0  1.5700000000000002e-07  8.700000000000001e-08  6.300000000000001e-08
99.9999  3335000000.0  75430000000.0  1.65e-07  9.2e-08  6.600000000000001e-08
110  3497000000.0  78730000000.0  1.73e-07  9.600000000000001e-08  6.900000000000001e-08
120  3653000000.0  81830000000.0  1.8000000000000002e-07  9.9e-08  7.200000000000001e-08
130  3802000000.0  84750000000.0  1.8800000000000002e-07  1.0300000000000001e-07  7.4e-08
139.999  3946000000.0  87510000000.0  1.95e-07  1.07e-07  7.7e-08
149.999  4084000000.0  90130000000.0  2.02e-07  1.1e-07  7.9e-08
159.999  4218000000.0  92620000000.0  2.09e-07  1.13e-07  8.2e-08
169.999  4348000000.0  94990000000.0  2.15e-07  1.17e-07  8.400000000000001e-08
179.999  4474000000.0  97270000000.0  2.22e-07  1.2000000000000002e-07  8.6e-08
199.999  4716000000.0  101500000000.0  2.34e-07  1.2600000000000002e-07  9.100000000000001e-08
224.999  5002000000.0  106400000000.0  2.5000000000000004e-07  1.33e-07  9.600000000000001e-08
249.999  5272000000.0  110900000000.0  2.6400000000000003e-07  1.3900000000000001e-07  1.01e-07
274.999  5530000000.0  115000000000.0  2.7800000000000003e-07  1.46e-07  1.0600000000000001e-07
299.999  5776000000.0  118800000000.00002  2.92e-07  1.52e-07  1.1e-07
324.999  6012000000.0  122300000000.0  3.0500000000000004e-07  1.58e-07  1.1500000000000001e-07
349.999  6238000000.0  125700000000.0  3.18e-07  1.64e-07  1.1900000000000001e-07
374.999  6457000000.000001  128800000000.00002  3.3100000000000004e-07  1.7000000000000001e-07  1.23e-07
399.999  6669000000.000001  131700000000.0  3.4300000000000004e-07  1.7500000000000002e-07  1.27e-07
449.999  7074000000.0  137100000000.00002  3.6700000000000004e-07  1.8600000000000002e-07  1.35e-07
499.999  7456000000.0  142000000000.0  3.9100000000000005e-07  1.96e-07  1.43e-07
549.999  7820000000.0  146400000000.0  4.13e-07  2.0600000000000002e-07  1.5000000000000002e-07
599.999  8168000000.0  150500000000.0  4.35e-07  2.15e-07  1.5700000000000002e-07
649.999  8502000000.0  154200000000.0  4.5700000000000003e-07  2.2400000000000002e-07  1.64e-07
699.999  8822000000.0  157700000000.0  4.78e-07  2.33e-07  1.71e-07
799.999  9432000000.0  163900000000.0  5.2e-07  2.5000000000000004e-07  1.84e-07
899.999  10000000000.0  169300000000.0  5.6e-07  2.67e-07  1.97e-07
999.999  10540000000.0  174100000000.0  5.99e-07  2.8300000000000003e-07  2.09e-07
1100.0  11060000000.0  178400000000.0  6.37e-07  2.98e-07  2.2e-07
1200.0  11550000000.0  182300000000.0  6.74e-07  3.13e-07  2.32e-07
1300.0  12020000000.0  185799999999.99997  7.110000000000001e-07  3.28e-07  2.43e-07
1400.0  12480000000.0  189000000000.0  7.47e-07  3.42e-07  2.53e-07
1500.0  12910000000.0  191900000000.0  7.830000000000001e-07  3.56e-07  2.6400000000000003e-07
1600.0  13340000000.0  194600000000.0  8.18e-07  3.7e-07  2.74e-07
1700.0  13750000000.0  197000000000.0  8.53e-07  3.8300000000000003e-07  2.85e-07
1800.0  14150000000.0  199300000000.0  8.87e-07  3.97e-07  2.9500000000000003e-07
2000.0  14910000000.000002  203400000000.0  9.55e-07  4.23e-07  3.1400000000000003e-07
2250.0  15820000000.0  207700000000.0  1.0390000000000001e-06  4.5500000000000004e-07  3.3800000000000004e-07
2500.0  16670000000.0  211400000000.0  1.1210000000000002e-06  4.86e-07  3.61e-07
2750.0  17490000000.0  214500000000.0  1.202e-06  5.16e-07  3.8400000000000005e-07
3000.0  18260000000.0  217200000000.0  1.2820000000000002e-06  5.46e-07  4.06e-07
3250.0  19010000000.0  219500000000.0  1.362e-06  5.75e-07  4.28e-07
3500.0  19730000000.0  221400000000.0  1.4400000000000002e-06  6.040000000000001e-07  4.49e-07
3750.0  20420000000.0  223200000000.0  1.5180000000000001e-06  6.33e-07  4.7000000000000005e-07
4000.0  21090000000.0  224600000000.0  1.596e-06  6.61e-07  4.91e-07
4500.0  22370000000.0  227000000000.0  1.7500000000000002e-06  7.170000000000001e-07  5.32e-07
5000.0  23580000000.0  228800000000.0  1.903e-06  7.71e-07  5.72e-07
5500.0  24730000000.0  230100000000.00003  2.0550000000000002e-06  8.25e-07  6.110000000000001e-07
6000.0  25830000000.0  231100000000.0  2.2070000000000002e-06  8.780000000000001e-07  6.5e-07
6500.0  26880000000.0  231700000000.00003  2.358e-06  9.310000000000001e-07  6.88e-07
7000.0  27900000000.0  232000000000.0  2.508e-06  9.830000000000002e-07  7.25e-07
8000.0  29830000000.0  232100000000.0  2.809e-06  1.0870000000000001e-06  7.990000000000001e-07
