energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  400099999.99999994  5853000000.0  3.1e-08  1.1000000000000001e-08  8e-09
1.3  416400000.00000006  6179000000.0  3.3000000000000004e-08  1.1000000000000001e-08  8e-09
1.4  432100000.0  6496000000.0  3.4e-08  1.2000000000000002e-08  8e-09
1.5  447300000.0  6805000000.0  3.5e-08  1.2000000000000002e-08  9.000000000000001e-09
1.6  462000000.0  7107000000.0  3.6000000000000005e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  476200000.0  7402000000.0  3.7e-08  1.3e-08  9.000000000000001e-09
1.8  490000000.0  7691000000.0  3.8e-08  1.3e-08  9.000000000000001e-09
2  516500000.0  8252000000.0  4e-08  1.4000000000000001e-08  1e-08
2.25  547800000.0  8924000000.0  4.2000000000000006e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.49999  577500000.0  9570000000.0  4.4000000000000004e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  605700000.0  10190000000.0  4.6e-08  1.6e-08  1.2000000000000002e-08
2.99999  632600000.0  10790000000.0  4.8000000000000006e-08  1.7e-08  1.2000000000000002e-08
3.24999  658400000.0  11370000000.0  4.9e-08  1.7e-08  1.3e-08
3.49999  683300000.0  11940000000.0  5.1e-08  1.8000000000000002e-08  1.3e-08
3.74999  707300000.0  12490000000.000002  5.2e-08  1.9e-08  1.4000000000000001e-08
3.99999  730500000.0  13020000000.0  5.4e-08  1.9e-08  1.4000000000000001e-08
4.49999  774799999.9999999  14050000000.0  5.6000000000000005e-08  2e-08  1.5000000000000002e-08
4.99999  816700000.0000001  15040000000.0  5.9000000000000006e-08  2.1000000000000003e-08  1.6e-08
5.49999  856500000.0  15990000000.0  6.1e-08  2.2000000000000002e-08  1.6e-08
5.99999  894600000.0  16900000000.0  6.4e-08  2.3e-08  1.7e-08
6.49999  931100000.0  17790000000.0  6.600000000000001e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.99999  966299999.9999999  18650000000.0  6.8e-08  2.5000000000000002e-08  1.8000000000000002e-08
7.99999  1033000000.0  20290000000.0  7.1e-08  2.6e-08  1.9e-08
8.99999  1096000000.0  21850000000.0  7.500000000000001e-08  2.8000000000000003e-08  2e-08
9.99999  1155000000.0  23330000000.0  7.800000000000001e-08  2.9e-08  2.1000000000000003e-08
10.9999  1211000000.0  24760000000.0  8.100000000000001e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  1265000000.0  26130000000.0  8.400000000000001e-08  3.1e-08  2.3e-08
12.9999  1317000000.0  27450000000.0  8.700000000000001e-08  3.2e-08  2.4000000000000003e-08
13.9999  1367000000.0  28720000000.0  8.9e-08  3.3000000000000004e-08  2.5000000000000002e-08
14.9999  1414999999.9999998  29960000000.0  9.2e-08  3.4e-08  2.6e-08
15.9999  1461000000.0  31160000000.0  9.400000000000001e-08  3.5e-08  2.6e-08
16.9999  1506000000.0  32330000000.0  9.600000000000001e-08  3.6000000000000005e-08  2.7e-08
17.9999  1550000000.0  33470000000.0  9.8e-08  3.7e-08  2.8000000000000003e-08
19.9999  1633000000.0  35660000000.0  1.0300000000000001e-07  3.9000000000000005e-08  2.9e-08
22.4999  1732000000.0  38270000000.0  1.08e-07  4.1e-08  3.0000000000000004e-08
24.9999  1826000000.0000002  40740000000.0  1.1200000000000001e-07  4.3e-08  3.2e-08
27.4999  1915000000.0  43110000000.0  1.16e-07  4.4000000000000004e-08  3.3000000000000004e-08
29.9999  2000000000.0  45370000000.0  1.21e-07  4.6e-08  3.4e-08
32.4999  2082000000.0  47539999999.99999  1.24e-07  4.8000000000000006e-08  3.5e-08
34.9999  2161000000.0  49630000000.0  1.28e-07  4.9e-08  3.6000000000000005e-08
37.4999  2237000000.0  51660000000.0  1.3200000000000002e-07  5.1e-08  3.7e-08
39.9999  2310000000.0  53610000000.0  1.35e-07  5.2e-08  3.8e-08
44.9999  2450000000.0  57360000000.0  1.42e-07  5.5e-08  4e-08
49.9999  2582999999.9999995  60890000000.00001  1.48e-07  5.7e-08  4.2000000000000006e-08
54.9999  2708999999.9999995  64260000000.0  1.54e-07  5.9000000000000006e-08  4.3e-08
59.9999  2829000000.0  67470000000.0  1.59e-07  6.2e-08  4.5000000000000006e-08
64.9999  2945000000.0  70540000000.0  1.65e-07  6.4e-08  4.7000000000000004e-08
69.9999  3056000000.0  73490000000.0  1.7000000000000001e-07  6.600000000000001e-08  4.8000000000000006e-08
79.9999  3267000000.0  79070000000.0  1.8000000000000002e-07  6.900000000000001e-08  5.1e-08
89.9999  3464999999.9999995  84290000000.0  1.89e-07  7.3e-08  5.3000000000000005e-08
99.9999  3652000000.0000005  89200000000.0  1.97e-07  7.6e-08  5.5e-08
110  3831000000.0  93840000000.0  2.0500000000000002e-07  7.9e-08  5.8e-08
120  4001000000.0  98250000000.0  2.1300000000000001e-07  8.2e-08  6.000000000000001e-08
130  4164000000.0  102500000000.0  2.2e-07  8.500000000000001e-08  6.2e-08
139.999  4321000000.0  106500000000.0  2.27e-07  8.800000000000001e-08  6.300000000000001e-08
149.999  4473000000.0  110300000000.0  2.34e-07  9.000000000000001e-08  6.5e-08
159.999  4620000000.0  114100000000.0  2.41e-07  9.300000000000001e-08  6.7e-08
169.999  4762000000.0  117600000000.0  2.4700000000000003e-07  9.5e-08  6.900000000000001e-08
179.999  4900000000.0  121100000000.0  2.54e-07  9.700000000000001e-08  7e-08
199.999  5165000000.0  127600000000.0  2.66e-07  1.02e-07  7.3e-08
224.999  5478000000.0  135300000000.0  2.8e-07  1.07e-07  7.7e-08
249.999  5775000000.0  142400000000.0  2.9300000000000004e-07  1.1200000000000001e-07  8.100000000000001e-08
274.999  6057000000.0  149100000000.0  3.06e-07  1.16e-07  8.400000000000001e-08
299.999  6326000000.000001  155500000000.0  3.1900000000000004e-07  1.21e-07  8.700000000000001e-08
324.999  6584000000.0  161400000000.0  3.3100000000000004e-07  1.2500000000000002e-07  9.000000000000001e-08
349.999  6833000000.0  167100000000.0  3.42e-07  1.29e-07  9.300000000000001e-08
374.999  7073000000.0  172500000000.0  3.53e-07  1.33e-07  9.600000000000001e-08
399.999  7305000000.0  177700000000.0  3.6400000000000003e-07  1.36e-07  9.9e-08
449.999  7748000000.0  187399999999.99997  3.85e-07  1.43e-07  1.04e-07
499.999  8167000000.0  196400000000.0  4.0500000000000004e-07  1.5000000000000002e-07  1.0900000000000001e-07
549.999  8565000000.0  204700000000.0  4.2400000000000004e-07  1.5600000000000002e-07  1.13e-07
599.999  8946000000.0  212600000000.00003  4.42e-07  1.6200000000000002e-07  1.1800000000000001e-07
649.999  9311000000.0  219899999999.99997  4.6000000000000004e-07  1.6800000000000002e-07  1.22e-07
699.999  9663000000.0  226800000000.0  4.77e-07  1.7400000000000002e-07  1.27e-07
799.999  10330000000.0  239600000000.0  5.1e-07  1.84e-07  1.35e-07
899.999  10960000000.0  251200000000.0  5.420000000000001e-07  1.9400000000000002e-07  1.42e-07
