energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  670700000.0  6353000000.0  2.5000000000000002e-08  1.1000000000000001e-08  8e-09
1.3  698100000.0  6695000000.0  2.6e-08  1.1000000000000001e-08  8e-09
1.4  724500000.0  7027000000.0  2.7e-08  1.2000000000000002e-08  8e-09
1.5  749900000.0  7351000000.0  2.8000000000000003e-08  1.2000000000000002e-08  9.000000000000001e-09
1.6  774500000.0  7665999999.999999  2.8000000000000003e-08  1.3e-08  9.000000000000001e-09
1.7  798300000.0  7973000000.0  2.9e-08  1.3e-08  9.000000000000001e-09
1.8  821500000.0  8274000000.0  3.0000000000000004e-08  1.3e-08  1e-08
2  865900000.0  8855000000.0  3.1e-08  1.4000000000000001e-08  1e-08
2.25  918400000.0  9551000000.0  3.3000000000000004e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.49999  968099999.9999999  10220000000.0  3.5e-08  1.6e-08  1.1000000000000001e-08
2.74999  1015000000.0000001  10850000000.0  3.6000000000000005e-08  1.6e-08  1.2000000000000002e-08
2.99999  1061000000.0  11470000000.0  3.8e-08  1.7e-08  1.2000000000000002e-08
3.24999  1104000000.0  12060000000.0  3.9000000000000005e-08  1.8000000000000002e-08  1.3e-08
3.49999  1145000000.0  12640000000.0  4e-08  1.8000000000000002e-08  1.3e-08
3.74999  1186000000.0  13200000000.0  4.1e-08  1.9e-08  1.4000000000000001e-08
3.99999  1225000000.0  13740000000.000002  4.2000000000000006e-08  2e-08  1.4000000000000001e-08
4.49999  1298999999.9999998  14780000000.0  4.5000000000000006e-08  2.1000000000000003e-08  1.5000000000000002e-08
4.99999  1369000000.0  15780000000.0  4.7000000000000004e-08  2.2000000000000002e-08  1.6e-08
5.49999  1436000000.0  16730000000.0  4.8000000000000006e-08  2.3e-08  1.7e-08
5.99999  1500000000.0  17640000000.0  5.0000000000000004e-08  2.3e-08  1.7e-08
6.49999  1561000000.0  18530000000.0  5.2e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.99999  1620000000.0  19380000000.0  5.4e-08  2.5000000000000002e-08  1.9e-08
7.99999  1732000000.0  21000000000.0  5.7e-08  2.7e-08  2e-08
8.99999  1837000000.0  22540000000.0  5.9000000000000006e-08  2.8000000000000003e-08  2.1000000000000003e-08
9.99999  1936000000.0  24000000000.0  6.2e-08  3.0000000000000004e-08  2.2000000000000002e-08
10.9999  2031000000.0  25390000000.0  6.5e-08  3.1e-08  2.3e-08
11.9999  2121000000.0  26720000000.0  6.7e-08  3.2e-08  2.4000000000000003e-08
12.9999  2208000000.0  28000000000.0  6.900000000000001e-08  3.3000000000000004e-08  2.5000000000000002e-08
13.9999  2291000000.0  29240000000.0  7.1e-08  3.4e-08  2.5000000000000002e-08
14.9999  2371000000.0  30430000000.0  7.3e-08  3.5e-08  2.6e-08
15.9999  2449000000.0  31580000000.0  7.500000000000001e-08  3.6000000000000005e-08  2.7e-08
16.9999  2525000000.0  32700000000.0  7.7e-08  3.7e-08  2.8000000000000003e-08
17.9999  2597999999.9999995  33790000000.0  7.9e-08  3.8e-08  2.8000000000000003e-08
19.9999  2738000000.0  35870000000.0  8.3e-08  4e-08  2.9e-08
22.4999  2904000000.0  38330000000.0  8.700000000000001e-08  4.2000000000000006e-08  3.1e-08
24.9999  3061000000.0  40660000000.0  9.100000000000001e-08  4.4000000000000004e-08  3.2e-08
27.4999  3211000000.0  42870000000.0  9.400000000000001e-08  4.6e-08  3.4e-08
29.9999  3353999999.9999995  44970000000.0  9.8e-08  4.8000000000000006e-08  3.5e-08
32.4999  3491000000.0  46980000000.00001  1.01e-07  5.0000000000000004e-08  3.6000000000000005e-08
34.9999  3622000000.0  48910000000.0  1.05e-07  5.1e-08  3.7e-08
37.4999  3749000000.0  50770000000.0  1.08e-07  5.3000000000000005e-08  3.8e-08
39.9999  3872000000.0  52560000000.0  1.11e-07  5.4e-08  3.9000000000000005e-08
44.9999  4107000000.0  55960000000.0  1.16e-07  5.7e-08  4.1e-08
49.9999  4330000000.0  59150000000.0  1.22e-07  6.000000000000001e-08  4.3e-08
54.9999  4541000000.0  62170000000.0  1.27e-07  6.2e-08  4.5000000000000006e-08
59.9999  4743000000.0  65020000000.0  1.3200000000000002e-07  6.5e-08  4.7000000000000004e-08
64.9999  4936000000.0  67750000000.0  1.37e-07  6.7e-08  4.8000000000000006e-08
69.9999  5123000000.0  70350000000.0  1.41e-07  6.900000000000001e-08  5.0000000000000004e-08
79.9999  5476000000.0  75230000000.0  1.5000000000000002e-07  7.3e-08  5.3000000000000005e-08
89.9999  5809000000.0  79750000000.0  1.58e-07  7.7e-08  5.6000000000000005e-08
99.9999  6123000000.0  83960000000.00002  1.66e-07  8.100000000000001e-08  5.8e-08
110  6422000000.0  87910000000.0  1.7400000000000002e-07  8.400000000000001e-08  6.1e-08
120  6707000000.0  91640000000.0  1.8100000000000002e-07  8.700000000000001e-08  6.300000000000001e-08
130  6981000000.000001  95170000000.0  1.8800000000000002e-07  9.000000000000001e-08  6.5e-08
139.999  7245000000.0  98520000000.0  1.95e-07  9.300000000000001e-08  6.7e-08
149.999  7499000000.0  101700000000.0  2.01e-07  9.600000000000001e-08  6.900000000000001e-08
159.999  7745000000.0  104800000000.0  2.0700000000000001e-07  9.9e-08  7.1e-08
169.999  7983000000.0  107700000000.0  2.1300000000000001e-07  1.02e-07  7.3e-08
179.999  8215000000.0  110500000000.0  2.1900000000000002e-07  1.04e-07  7.500000000000001e-08
199.999  8659000000.0  115800000000.0  2.3100000000000002e-07  1.0900000000000001e-07  7.9e-08
224.999  9184000000.0  121900000000.0  2.4500000000000004e-07  1.1500000000000001e-07  8.3e-08
249.999  9681000000.0  127500000000.0  2.58e-07  1.21e-07  8.700000000000001e-08
274.999  10149999999.999998  132800000000.0  2.7100000000000003e-07  1.2600000000000002e-07  9.100000000000001e-08
299.999  10610000000.0  137600000000.0  2.8300000000000003e-07  1.31e-07  9.5e-08
324.999  11040000000.0  142200000000.0  2.9500000000000003e-07  1.36e-07  9.9e-08
349.999  11450000000.0  146500000000.0  3.0700000000000004e-07  1.41e-07  1.02e-07
374.999  11860000000.0  150600000000.0  3.18e-07  1.4500000000000001e-07  1.0600000000000001e-07
399.999  12250000000.0  154500000000.0  3.29e-07  1.49e-07  1.0900000000000001e-07
449.999  12990000000.0  161600000000.0  3.5000000000000004e-07  1.58e-07  1.1500000000000001e-07
499.999  13690000000.0  168100000000.0  3.7100000000000003e-07  1.66e-07  1.21e-07
549.999  14360000000.0  174100000000.0  3.9e-07  1.7400000000000002e-07  1.27e-07
599.999  15000000000.0  179700000000.0  4.1000000000000004e-07  1.8100000000000002e-07  1.33e-07
649.999  15610000000.0  184800000000.0  4.28e-07  1.8800000000000002e-07  1.3800000000000002e-07
699.999  16200000000.000002  189600000000.0  4.47e-07  1.95e-07  1.4400000000000002e-07
799.999  17320000000.0  198299999999.99997  4.82e-07  2.08e-07  1.54e-07
899.999  18370000000.0  206000000000.0  5.16e-07  2.2e-07  1.6300000000000002e-07
999.999  19360000000.0  213000000000.0  5.490000000000001e-07  2.32e-07  1.73e-07
1100.0  20310000000.0  219300000000.0  5.81e-07  2.44e-07  1.8200000000000002e-07
1200.0  21210000000.0  225100000000.00003  6.12e-07  2.55e-07  1.9e-07
1300.0  22080000000.0  230300000000.0  6.420000000000001e-07  2.66e-07  1.9900000000000002e-07
1400.0  22910000000.0  235200000000.0  6.720000000000001e-07  2.7600000000000004e-07  2.0700000000000001e-07
1500.0  23710000000.0  239700000000.0  7.01e-07  2.86e-07  2.15e-07
1600.0  24490000000.0  243900000000.0  7.3e-07  2.96e-07  2.2300000000000002e-07
1700.0  25250000000.0  247800000000.0  7.580000000000001e-07  3.06e-07  2.3000000000000002e-07
1800.0  25980000000.0  251400000000.0  7.860000000000001e-07  3.16e-07  2.3800000000000001e-07
2000.0  27380000000.0  258100000000.0  8.410000000000001e-07  3.34e-07  2.5200000000000003e-07
2250.0  29040000000.0  265400000000.0  9.08e-07  3.5700000000000003e-07  2.7e-07
2500.0  30610000000.0  271700000000.00003  9.73e-07  3.78e-07  2.87e-07
2750.0  32110000000.0  277300000000.0  1.037e-06  4.0000000000000003e-07  3.03e-07
3000.0  33540000000.0  282200000000.0  1.1e-06  4.2e-07  3.1900000000000004e-07
3250.0  34910000000.0  286700000000.0  1.162e-06  4.4e-07  3.35e-07
3500.0  36220000000.0  290600000000.0  1.2220000000000001e-06  4.6000000000000004e-07  3.51e-07
3750.0  37490000000.0  294200000000.0  1.283e-06  4.79e-07  3.66e-07
4000.0  38720000000.0  297400000000.0  1.342e-06  4.98e-07  3.8e-07
4500.0  41070000000.0  303000000000.0  1.4590000000000001e-06  5.350000000000001e-07  4.09e-07
5000.0  43300000000.0  307600000000.0  1.574e-06  5.71e-07  4.37e-07
5500.0  45410000000.0  311500000000.0  1.6880000000000002e-06  6.06e-07  4.6500000000000005e-07
6000.0  47430000000.0  314700000000.0  1.8000000000000001e-06  6.410000000000001e-07  4.91e-07
6500.0  49360000000.0  317400000000.0  1.911e-06  6.74e-07  5.17e-07
7000.0  51230000000.0  319700000000.0  2.0210000000000002e-06  7.08e-07  5.43e-07
8000.0  54760000000.0  323300000000.0  2.239e-06  7.73e-07  5.930000000000001e-07
9000.0  58090000000.0  325700000000.0  2.454e-06  8.370000000000001e-07  6.420000000000001e-07
10000.0  61230000000.0  327400000000.0  2.667e-06  8.990000000000001e-07  6.900000000000001e-07
11000.0  64220000000.0  328400000000.00006  2.8780000000000002e-06  9.61e-07  7.37e-07
12000.0  67070000000.0  328900000000.0  3.089e-06  1.021e-06  7.830000000000001e-07
13000.0  69810000000.0  329000000000.0  3.298e-06  1.08e-06  8.280000000000001e-07
14000.0  72450000000.0  328800000000.0  3.507e-06  1.139e-06  8.720000000000001e-07
15000.0  74990000000.0  328300000000.0  3.7150000000000004e-06  1.1970000000000001e-06  9.160000000000001e-07
16000.0  77450000000.0  327600000000.0  3.923e-06  1.255e-06  9.600000000000001e-07
17000.0  79830000000.0  326700000000.0  4.13e-06  1.312e-06  1.003e-06
18000.0  82150000000.0  325700000000.0  4.337e-06  1.368e-06  1.0450000000000002e-06
20000.0  86590000000.0  323300000000.0  4.751e-06  1.48e-06  1.1290000000000001e-06
22500.0  91840000000.0  319900000000.0  5.269000000000001e-06  1.618e-06  1.233e-06
25000.0  96809999999.99998  316200000000.0  5.787000000000001e-06  1.7530000000000002e-06  1.3350000000000001e-06
27500.0  101500000000.0  312300000000.0  6.306e-06  1.886e-06  1.436e-06
30000.0  106100000000.0  308300000000.0  6.826e-06  2.018e-06  1.5350000000000001e-06
32500.0  110399999999.99998  304200000000.0  7.347e-06  2.147e-06  1.6340000000000002e-06
35000.0  114500000000.0  300200000000.0  7.870000000000001e-06  2.2760000000000003e-06  1.732e-06
37500.0  118600000000.0  296200000000.0  8.394000000000001e-06  2.402e-06  1.8290000000000002e-06
40000.0  122500000000.0  292200000000.0  8.920000000000001e-06  2.527e-06  1.9260000000000003e-06
45000.0  129900000000.0  284500000000.0  9.976e-06  2.775e-06  2.1170000000000002e-06
50000.0  136900000000.0  277200000000.0  1.1000000000000001e-05  3.017e-06  2.307e-06
55000.0  143600000000.0  270100000000.00003  1.2100000000000001e-05  3.254e-06  2.4960000000000003e-06
60000.0  150000000000.0  263500000000.0  1.3200000000000002e-05  3.4870000000000002e-06  2.6820000000000003e-06
65000.0  155800000000.0  257100000000.0  1.43e-05  3.7150000000000004e-06  2.8680000000000003e-06
70000.0  159800000000.0  251100000000.0  1.5300000000000003e-05  3.94e-06  3.0530000000000002e-06
80000.0  167000000000.0  239899999999.99997  1.7500000000000002e-05  4.386e-06  3.4200000000000003e-06
90000.0  173600000000.0  229800000000.0  1.97e-05  4.822000000000001e-06  3.785e-06
100000.0  179800000000.0  220700000000.0  2.2000000000000003e-05  5.248e-06  4.148e-06
