energy[eV]  elec[eV/m]    nuclear[eV/m]  range[A]   longitudinal[A]    lateral[A]
1.1  5409000.0  6404000.0  2183  4246  2988
1.2  5409000.0  6689000.000000001  2283  4405  3147
1.3  5630000.0  6960000.0  2378  4588  3278
1.4  5842000.0  7219000.0  2469  4764  3405
1.5  6047000.0  7467000.0  2557  4933  3527
1.6  6244999.999999999  7704000.0  2643  5098  3645
1.7  6438000.0  7931000.0  2726  5257  3760
1.8  6623999.999999999  8150000.0  2808  5411  3871
2  6983000.0  8566000.0  2966  5707  4085
2.25  7406000.0  9048000.0  3157  6058  4339
2.49999  7806999.999999999  9494000.0  3339  6391  4579
2.74999  8187999.999999999  9911000.0  3515  6709  4809
2.99999  8552000.0  10300000.000000002  3685  7013  5030
3.24999  8901000.0  10670000.0  3851  7306  5242
3.49999  9237000.0  11019999.999999998  4012  7589  5447
3.74999  9561000.0  11350000.0  4169  7863  5646
3.99999  9875000.000000002  11660000.0  4324  8129  5840
4.49999  10470000.0  12250000.0  4625  8640  6211
4.99999  11040000.0  12790000.0  4915  9127  6566
5.49999  11580000.0  13290000.000000002  5195  9595  6907
5.99999  12090000.0  13750000.0  5469  10000.0  7235
6.49999  12590000.0  14180000.0  5735  10500.0  7552
6.99999  13060000.0  14590000.0  5996  10900.0  7860
7.99999  13970000.0  15330000.0  6505  11700.0  8451
8.99999  14809999.999999998  16000000.0  6996  12500.0  9015
9.99999  15610000.000000002  16600000.0  7472  13200.0  9556
10.9999  16380000.0  17150000.0  7936  13899.999999999998  10100.0
11.9999  17100000.0  17660000.0  8389  14600.0  10600.0
12.9999  17800000.0  18130000.0  8833  15300.0  11100.000000000002
13.9999  18470000.0  18570000.0  9270  15900.0  11500.0
14.9999  19120000.0  18970000.0  9699  16600.0  12000.0
15.9999  19750000.000000004  19350000.0  10100.0  17200.0  12500.0
16.9999  20360000.0  19710000.0  10500.0  17800.0  12900.0
17.9999  20950000.0  20050000.0  11000.0  18400.0  13300.0
19.9999  22080000.0  20670000.0  11800.0  19500.0  14200.0
22.4999  23420000.0  21360000.0  12800.0  20900.0  15200.0
24.9999  24690000.0  21970000.0  13700.000000000002  22200.000000000004  16200.000000000002
27.4999  25890000.0  22510000.0  14700.0  23500.0  17100.0
29.9999  27039999.999999996  23000000.0  15600.0  24800.0  18100.0
32.4999  28149999.999999996  23450000.0  16500.0  26000.0  19000.0
34.9999  29210000.0  23850000.0  17400.0  27200.000000000004  19800.0
37.4999  30240000.000000004  24220000.0  18300.0  28300.0  20700.0
39.9999  31230000.0  24560000.0  19200.0  29500.0  21500.0
44.9999  33120000.0  25170000.0  21000.0  31700.0  23200.0
49.9999  34910000.0  25690000.0  22700.0  33800.0  24800.0
54.9999  36620000.0  26140000.0  24400.0  35900.0  26300.0
59.9999  38240000.0  26530000.0  26100.0  38000.0  27799.999999999996
64.9999  39810000.0  26870000.0  27799.999999999996  39900.0  29300.0
69.9999  41310000.0  27180000.0  29500.0  41800.0  30700.0
79.9999  44160000.0  27680000.0  32800.0  45500.0  33500.0
89.9999  46840000.0  28090000.0  36000.0  49100.0  36200.0
99.9999  49370000.00000001  28400000.0  39200.0  52500.0  38800.0
110  51780000.0  28660000.0  42400.0  55900.0  41400.0
120  54090000.0  28860000.0  45500.0  59200.0  43900.0
130  56299999.99999999  29020000.0  48700.0  62300.00000000001  46300.0
139.999  58420000.0  29140000.0  51800.0  65500.0  48600.0
149.999  60470000.0  29240000.0  54900.0  68500.0  51000.0
159.999  62450000.0  29300000.0  58000.0  71500.0  53300.0
169.999  64380000.0  29350000.0  61100.0  74400.0  55500.0
179.999  66240000.0  29380000.0  64200.0  77300.0  57699.99999999999
199.999  69830000.0  29390000.000000004  70300.0  82899.99999999999  62100.0
224.999  74060000.0  29340000.0  78000.0  89600.00000000001  67300.0
249.999  78070000.0  29230000.0  85600.0  96199.99999999999  72400.0
274.999  81880000.00000001  29080000.0  93300.0  102500.0  77300.0
299.999  85520000.0  28910000.0  100800.0  108699.99999999999  82200.0
324.999  89009999.99999999  28710000.0  108400.0  114600.00000000001  86900.0
349.999  92370000.0  28500000.0  116000.0  120500.0  91500.0
374.999  95610000.0  28279999.999999996  123500.0  126100.0  95900.0
399.999  98750000.0  28050000.000000004  131100.0  131700.0  100399.99999999999
449.999  104700000.0  27580000.0  146200.0  142300.0  109000.0
499.999  110400000.0  27110000.0  161200.0  152500.0  117300.0
549.999  115800000.0  26630000.0  176300.0  162300.0  125300.0
599.999  120900000.0  26160000.0  191200.0  171800.0  133100.0
649.999  125900000.0  25699999.999999996  206200.0  181000.0  140700.0
699.999  130600000.0  25260000.0  221100.0  189800.0  148000.0
799.999  139700000.0  24400000.0  250799.99999999997  206500.0  162300.0
899.999  148100000.0  23600000.0  280400.0  222300.0  175900.0
999.999  156100000.0  22860000.0  309800.0  237200.0  188900.0
1100.0  163800000.0  22160000.0  338900.0  251300.0  201400.0
1200.0  171000000.0  21510000.0  367900.0  264800.0  213400.0
1300.0  178000000.0  20900000.0  396700.0  277600.0  224899.99999999997
1400.0  184700000.0  20320000.0  425300.0  289800.0  236100.0
1500.0  191200000.00000003  19790000.0  453600.0  301400.0  246900.0
1600.0  197500000.0  19280000.0  481800.0  312600.0  257399.99999999997
1700.0  203600000.0  18810000.0  509700.0  323300.0  267500.0
1800.0  209500000.0  18360000.0  537400.0  333600.0  277400.0
2000.0  220800000.0  17540000.0  592300.0  352900.0  296300.0
2250.0  233300000.0  16620000.0  659900.0  375200.00000000006  318600.0
2500.0  245100000.0  15810000.0  726400.0  395800.0  339600.0
2750.0  256300000.0  15090000.0  791900.0  414799.99999999994  359500.0
3000.0  267100000.0  14440000.0  856400.0  432600.0  378300.0
3250.0  277400000.0  13850000.0  919800.0  449099.99999999994  396300.0
3500.0  287300000.0  13320000.0  982300.0  464700.0  413400.00000000006
3750.0  296900000.0  12830000.0  1043900.0  479200.0  429700.0
4000.0  306100000.0  12380000.0  1104500.0  493000.0  445400.0
4500.0  323800000.0  11590000.0  1223300.0  518200.0  474799.99999999994
5000.0  340600000.0  10910000.0  1338700.0  540900.0  502100.0
5500.0  356500000.0  10310000.0  1451200.0  561500.0  527400.0
6000.0  371700000.0  9787000.000000002  1560800.0000000002  580300.0  551100.0
6500.0  386200000.0  9321000.0  1667700.0  597600.0  573300.0
7000.0  400200000.0  8902000.0  1772300.0  613500.0  594200.0
8000.0  426700000.0  8184000.000000001  1974600.0  642099.9999999999  632700.0
9000.0  451400000.0  7586000.0  2168900.0  666900.0  667300.0
10000.0  474600000.0  7080000.0  2356000.0  688900.0  698800.0
11000.0  496600000.0  6645000.000000001  2536800.0  708400.0  727600.0
12000.0  517400000.0  6267000.0  2711800.0  726000.0  754200.0
13000.0  537200000.0  5934999.999999999  2881600.0000000005  741800.0000000001  778800.0
14000.0  556100000.0  5640000.000000001  3046800.0  756300.0  801800.0000000001
15000.0  574200000.0  5377000.0  3207700.0  769599.9999999999  823199.9999999999
16000.0  591400000.0  5140000.0  3364600.0  781800.0000000001  843400.0
17000.0  608000000.0  4925000.0  3518000.0  793199.9999999999  862400.0
18000.0  623900000.0  4730000.0  3668100.0  803700.0  880400.0000000001
20000.0  653799999.9999999  4387000.0  3959300.0  823199.9999999999  913600.0
22500.0  688000000.0  4029000.0  4308700.0  844599.9999999999  950900.0
25000.0  719100000.0  3731000.0  4644200.0  863300.0  984300.0000000001
27500.0  747500000.0  3478000.0  4967900.0  879800.0  1014700.0
30000.0  773400000.0000001  3261000.0  5281600.0  894599.9999999999  1042500.0
32500.0  796900000.0  3072000.0  5586600.0  908000.0  1068200.0
35000.0  818300000.0  2905000.0  5884100.0  920200.0  1092100.0
37500.0  837799999.9999999  2757000.0  6175200.0  931500.0  1114500.0
40000.0  855400000.0  2626000.0  6460599.999999999  941900.0  1135500.0
45000.0  885600000.0  2399000.0  7017500.0  962200.0  1174300.0
50000.0  909800000.0  2212000.0  7559400.000000001  980300.0  1209600.0
55000.0  928700000.0  2055000.0  8090000.0  996700.0  1242000.0
60000.0  943100000.0  1920000.0  8612400.0  1011800.0000000001  1272300.0
65000.0  953400000.0  1803000.0  9129000.0  1025800.0  1300800.0000000002
70000.0  960200000.0  1700999.9999999998  9641800.0  1039000.0  1327900.0
80000.0  965100000.0  1530000.0  10700000.0  1068300.0  1378800.0
90000.0  961000000.0  1393000.0  11700000.0  1095600.0  1426500.0
