energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  388000000.0  4262000000.0  2.1000000000000003e-08  1.7e-08  1.3e-08
1.3  403800000.0  4467000000.0  2.2000000000000002e-08  1.8000000000000002e-08  1.4000000000000001e-08
1.4  419100000.0  4665000000.0  2.3e-08  1.9e-08  1.4000000000000001e-08
1.5  433800000.0  4856000000.0  2.4000000000000003e-08  1.9e-08  1.5000000000000002e-08
1.6  448000000.0  5041000000.0  2.5000000000000002e-08  2e-08  1.5000000000000002e-08
1.7  461800000.0  5220000000.0  2.5000000000000002e-08  2e-08  1.6e-08
1.8  475200000.0  5395000000.0  2.6e-08  2.1000000000000003e-08  1.6e-08
2  500900000.0  5729000000.0  2.7e-08  2.2000000000000002e-08  1.7e-08
2.25  531299999.99999994  6124000000.000001  2.9e-08  2.3e-08  1.8000000000000002e-08
2.49999  560000000.0  6498000000.0  3.0000000000000004e-08  2.5000000000000002e-08  1.9e-08
2.74999  587300000.0  6852000000.0  3.1e-08  2.6e-08  2e-08
2.99999  613400000.0  7190000000.0  3.3000000000000004e-08  2.7e-08  2.1000000000000003e-08
3.24999  638500000.0  7514000000.0  3.4e-08  2.8000000000000003e-08  2.2000000000000002e-08
3.49999  662600000.0  7824000000.0  3.5e-08  2.9e-08  2.3e-08
3.74999  685800000.0  8123000000.0  3.6000000000000005e-08  3.0000000000000004e-08  2.3e-08
3.99999  708300000.0  8410000000.0  3.7e-08  3.1e-08  2.4000000000000003e-08
4.49999  751300000.0  8958000000.0  3.9000000000000005e-08  3.3000000000000004e-08  2.6e-08
4.99999  791900000.0  9472000000.0  4.1e-08  3.4e-08  2.7e-08
5.49999  830600000.0  9958000000.0  4.3e-08  3.6000000000000005e-08  2.8000000000000003e-08
5.99999  867499999.9999999  10420000000.0  4.5000000000000006e-08  3.8e-08  2.9e-08
6.49999  903000000.0  10860000000.0  4.6e-08  3.9000000000000005e-08  3.0000000000000004e-08
6.99999  937000000.0  11279999999.999998  4.8000000000000006e-08  4e-08  3.1e-08
7.99999  1002000000.0  12070000000.0  5.1e-08  4.3e-08  3.3000000000000004e-08
8.99999  1063000000.0  12800000000.0  5.4e-08  4.5000000000000006e-08  3.5e-08
9.99999  1120000000.0  13480000000.0  5.7e-08  4.8000000000000006e-08  3.7e-08
10.9999  1175000000.0  14120000000.0  5.9000000000000006e-08  5.0000000000000004e-08  3.9000000000000005e-08
11.9999  1227000000.0  14720000000.0  6.2e-08  5.2e-08  4e-08
12.9999  1277000000.0  15290000000.0  6.5e-08  5.4e-08  4.2000000000000006e-08
13.9999  1325000000.0  15830000000.0  6.7e-08  5.6000000000000005e-08  4.3e-08
14.9999  1372000000.0  16350000000.0  6.900000000000001e-08  5.8e-08  4.5000000000000006e-08
15.9999  1417000000.0  16850000000.0  7.200000000000001e-08  6.000000000000001e-08  4.6e-08
16.9999  1460000000.0  17320000000.0  7.4e-08  6.1e-08  4.7000000000000004e-08
