energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  776400000.0  6308000000.0  2.5000000000000002e-08  1.1000000000000001e-08  7.000000000000001e-09
1.3  808100000.0000001  6649000000.0  2.6e-08  1.1000000000000001e-08  8e-09
1.4  838600000.0  6981000000.000001  2.7e-08  1.1000000000000001e-08  8e-09
1.5  868000000.0  7304000000.000001  2.8000000000000003e-08  1.2000000000000002e-08  8e-09
1.6  896499999.9999999  7619000000.0  2.9e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  924100000.0000001  7926000000.0  3.0000000000000004e-08  1.3e-08  9.000000000000001e-09
1.8  950899999.9999999  8226000000.0  3.1e-08  1.3e-08  9.000000000000001e-09
2  1002000000.0  8808000000.0  3.2e-08  1.4000000000000001e-08  1e-08
2.25  1063000000.0  9503000000.0  3.4e-08  1.4000000000000001e-08  1e-08
2.49999  1121000000.0  10169999999.999998  3.5e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  1175000000.0  10810000000.0  3.7e-08  1.6e-08  1.2000000000000002e-08
2.99999  1228000000.0  11419999999.999998  3.8e-08  1.7e-08  1.2000000000000002e-08
3.24999  1278000000.0  12020000000.0  4e-08  1.7e-08  1.3e-08
3.49999  1326000000.0  12600000000.0  4.1e-08  1.8000000000000002e-08  1.3e-08
3.74999  1372000000.0  13160000000.0  4.2000000000000006e-08  1.8000000000000002e-08  1.3e-08
3.99999  1417000000.0  13700000000.000002  4.3e-08  1.9e-08  1.4000000000000001e-08
4.49999  1503000000.0  14750000000.0  4.6e-08  2e-08  1.5000000000000002e-08
4.99999  1585000000.0  15750000000.0  4.8000000000000006e-08  2.1000000000000003e-08  1.5000000000000002e-08
5.49999  1661999999.9999998  16700000000.0  5.0000000000000004e-08  2.2000000000000002e-08  1.6e-08
5.99999  1736000000.0  17620000000.0  5.1e-08  2.3e-08  1.7e-08
6.49999  1807000000.0  18510000000.0  5.3000000000000005e-08  2.4000000000000003e-08  1.7e-08
6.99999  1875000000.0  19370000000.0  5.5e-08  2.4000000000000003e-08  1.8000000000000002e-08
7.99999  2005000000.0  21010000000.0  5.8e-08  2.6e-08  1.9e-08
8.99999  2126000000.0  22550000000.0  6.1e-08  2.7e-08  2e-08
9.99999  2241000000.0  24030000000.0  6.300000000000001e-08  2.9e-08  2.1000000000000003e-08
10.9999  2351000000.0  25430000000.0  6.600000000000001e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  2455000000.0  26780000000.0  6.8e-08  3.1e-08  2.3e-08
12.9999  2555000000.0  28070000000.0  7.1e-08  3.2e-08  2.4000000000000003e-08
13.9999  2652000000.0  29320000000.0  7.3e-08  3.3000000000000004e-08  2.5000000000000002e-08
14.9999  2745000000.0  30520000000.0  7.500000000000001e-08  3.4e-08  2.5000000000000002e-08
15.9999  2834999999.9999995  31690000000.0  7.7e-08  3.5e-08  2.6e-08
16.9999  2922000000.0  32820000000.0  7.9e-08  3.6000000000000005e-08  2.7e-08
17.9999  3007000000.0  33920000000.0  8.100000000000001e-08  3.7e-08  2.7e-08
19.9999  3170000000.0  36040000000.0  8.400000000000001e-08  3.9000000000000005e-08  2.9e-08
22.4999  3362000000.0  38540000000.0  8.9e-08  4.1e-08  3.0000000000000004e-08
24.9999  3544000000.0  40900000000.0  9.2e-08  4.3e-08  3.1e-08
27.4999  3716999999.9999995  43140000000.0  9.600000000000001e-08  4.5000000000000006e-08  3.3000000000000004e-08
