energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  335700000.0  3562000000.0  2.2000000000000002e-08  2e-08  1.5000000000000002e-08
1.3  349400000.0  3729000000.0  2.3e-08  2.1000000000000003e-08  1.6e-08
1.4  362600000.0  3889000000.0  2.4000000000000003e-08  2.1000000000000003e-08  1.7e-08
1.5  375300000.0  4044000000.0  2.4000000000000003e-08  2.2000000000000002e-08  1.7e-08
1.6  387600000.0  4193000000.0  2.5000000000000002e-08  2.3e-08  1.8000000000000002e-08
1.7  399500000.0  4338000000.0  2.6e-08  2.4000000000000003e-08  1.8000000000000002e-08
1.8  411100000.0  4479000000.0  2.6e-08  2.4000000000000003e-08  1.9e-08
2  433399999.99999994  4748000000.0  2.8000000000000003e-08  2.6e-08  2e-08
2.25  459600000.0  5064999999.999999  2.9e-08  2.7e-08  2.1000000000000003e-08
2.49999  484500000.0  5363000000.0  3.1e-08  2.9e-08  2.2000000000000002e-08
2.74999  508100000.0  5646000000.0  3.2e-08  3.0000000000000004e-08  2.3e-08
2.99999  530700000.0  5914000000.0  3.3000000000000004e-08  3.1e-08  2.4000000000000003e-08
3.24999  552400000.0  6171000000.0  3.5e-08  3.2e-08  2.5000000000000002e-08
3.49999  573300000.0  6415999999.999999  3.6000000000000005e-08  3.4e-08  2.6e-08
3.74999  593400000.0  6652000000.0  3.7e-08  3.5e-08  2.7e-08
3.99999  612900000.0  6879000000.0  3.8e-08  3.6000000000000005e-08  2.8000000000000003e-08
4.49999  650000000.0  7308000000.0  4e-08  3.8e-08  3.0000000000000004e-08
4.99999  685200000.0  7710000000.0  4.2000000000000006e-08  4e-08  3.1e-08
5.49999  718599999.9999999  8089000000.0  4.4000000000000004e-08  4.2000000000000006e-08  3.2e-08
5.99999  750600000.0  8447000000.0  4.6e-08  4.4000000000000004e-08  3.4e-08
6.49999  781200000.0  8787000000.0  4.8000000000000006e-08  4.5000000000000006e-08  3.5e-08
6.99999  810700000.0  9111000000.0  5.0000000000000004e-08  4.7000000000000004e-08  3.6000000000000005e-08
7.99999  866700000.0  9717000000.0  5.3000000000000005e-08  5.0000000000000004e-08  3.9000000000000005e-08
8.99999  919300000.0  10280000000.0  5.7e-08  5.3000000000000005e-08  4.1e-08
9.99999  969000000.0  10790000000.0  6.000000000000001e-08  5.6000000000000005e-08  4.3e-08
