energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  651700000.0  5464000000.0  2.1000000000000003e-08  1.4000000000000001e-08  1e-08
1.3  678400000.0  5740000000.0  2.2000000000000002e-08  1.5000000000000002e-08  1e-08
1.4  704000000.0  6007000000.0  2.2000000000000002e-08  1.5000000000000002e-08  1.1000000000000001e-08
1.5  728700000.0  6266000000.0  2.3e-08  1.6e-08  1.1000000000000001e-08
1.6  752599999.9999999  6516000000.0  2.4000000000000003e-08  1.6e-08  1.1000000000000001e-08
1.7  775700000.0  6760000000.0  2.5000000000000002e-08  1.7e-08  1.2000000000000002e-08
1.8  798200000.0  6998000000.0  2.5000000000000002e-08  1.7e-08  1.2000000000000002e-08
2  841400000.0000001  7456000000.0  2.6e-08  1.8000000000000002e-08  1.3e-08
2.25  892400000.0  8000000000.0  2.8000000000000003e-08  1.9e-08  1.4000000000000001e-08
2.49999  940700000.0  8516000000.0  2.9e-08  2e-08  1.4000000000000001e-08
2.74999  986600000.0  9009000000.0  3.0000000000000004e-08  2.1000000000000003e-08  1.5000000000000002e-08
2.99999  1031000000.0  9480000000.0  3.2e-08  2.2000000000000002e-08  1.6e-08
3.24999  1073000000.0000001  9934000000.0  3.3000000000000004e-08  2.3e-08  1.6e-08
3.49999  1113000000.0  10370000000.0  3.4e-08  2.3e-08  1.7e-08
3.74999  1152000000.0  10790000000.0  3.5e-08  2.4000000000000003e-08  1.8000000000000002e-08
3.99999  1190000000.0  11200000000.000002  3.6000000000000005e-08  2.5000000000000002e-08  1.8000000000000002e-08
4.49999  1262000000.0  11980000000.0  3.8e-08  2.6e-08  1.9e-08
4.99999  1330000000.0  12720000000.0  3.9000000000000005e-08  2.8000000000000003e-08  2e-08
5.49999  1395000000.0000002  13420000000.0  4.1e-08  2.9e-08  2.1000000000000003e-08
5.99999  1457000000.0  14090000000.0  4.3e-08  3.0000000000000004e-08  2.2000000000000002e-08
6.49999  1517000000.0  14730000000.0  4.4000000000000004e-08  3.1e-08  2.3e-08
6.99999  1574000000.0000002  15340000000.0  4.6e-08  3.2e-08  2.3e-08
7.99999  1683000000.0  16500000000.0  4.8000000000000006e-08  3.4e-08  2.5000000000000002e-08
8.99999  1785000000.0  17590000000.0  5.1e-08  3.6000000000000005e-08  2.6e-08
9.99999  1881000000.0  18610000000.0  5.3000000000000005e-08  3.8e-08  2.7e-08
10.9999  1973000000.0  19580000000.0  5.6000000000000005e-08  4e-08  2.9e-08
11.9999  2061000000.0  20500000000.0  5.8e-08  4.1e-08  3.0000000000000004e-08
12.9999  2145000000.0  21370000000.0  6.000000000000001e-08  4.3e-08  3.1e-08
