energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  634100000.0  6256000000.0  2.7e-08  1.1000000000000001e-08  8e-09
1.3  660000000.0  6597000000.0  2.8000000000000003e-08  1.1000000000000001e-08  8e-09
1.4  684900000.0  6929000000.0  2.9e-08  1.2000000000000002e-08  8e-09
1.5  709000000.0  7252000000.0  3.0000000000000004e-08  1.2000000000000002e-08  8e-09
1.6  732199999.9999999  7567000000.0  3.0000000000000004e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  754700000.0  7875000000.0  3.1e-08  1.3e-08  9.000000000000001e-09
1.8  776600000.0000001  8176000000.0  3.2e-08  1.3e-08  9.000000000000001e-09
2  818600000.0  8759000000.0  3.4e-08  1.4000000000000001e-08  1e-08
2.25  868300000.0  9456000000.0  3.6000000000000005e-08  1.5000000000000002e-08  1e-08
2.49999  915300000.0  10120000000.0  3.7e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  959900000.0  10770000000.0  3.9000000000000005e-08  1.6e-08  1.2000000000000002e-08
2.99999  1003000000.0  11390000000.0  4e-08  1.7e-08  1.2000000000000002e-08
3.24999  1044000000.0000001  11980000000.0  4.2000000000000006e-08  1.7e-08  1.3e-08
3.49999  1083000000.0  12569999999.999998  4.3e-08  1.8000000000000002e-08  1.3e-08
3.74999  1121000000.0  13130000000.0  4.4000000000000004e-08  1.8000000000000002e-08  1.4000000000000001e-08
3.99999  1158000000.0  13680000000.000002  4.6e-08  1.9e-08  1.4000000000000001e-08
4.49999  1228000000.0  14730000000.0  4.8000000000000006e-08  2e-08  1.5000000000000002e-08
4.99999  1293999999.9999998  15740000000.0  5.0000000000000004e-08  2.1000000000000003e-08  1.6e-08
5.49999  1358000000.0  16710000000.0  5.2e-08  2.2000000000000002e-08  1.6e-08
5.99999  1418000000.0  17640000000.0  5.4e-08  2.3e-08  1.7e-08
6.49999  1476000000.0  18540000000.0  5.6000000000000005e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.99999  1532000000.0  19410000000.0  5.7e-08  2.5000000000000002e-08  1.8000000000000002e-08
7.99999  1637000000.0000002  21060000000.0  6.1e-08  2.6e-08  1.9e-08
8.99999  1737000000.0  22630000000.0  6.4e-08  2.7e-08  2e-08
9.99999  1831000000.0000002  24130000000.0  6.600000000000001e-08  2.9e-08  2.1000000000000003e-08
10.9999  1920000000.0  25560000000.0  6.900000000000001e-08  3.0000000000000004e-08  2.2000000000000002e-08
