energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  536600000.0  6108000000.0  2.8000000000000003e-08  1.1000000000000001e-08  8e-09
1.3  558500000.0  6444000000.0  3.0000000000000004e-08  1.1000000000000001e-08  8e-09
1.4  579600000.0  6771000000.0  3.1e-08  1.2000000000000002e-08  8e-09
1.5  599900000.0  7089000000.0  3.2e-08  1.2000000000000002e-08  9.000000000000001e-09
1.6  619600000.0  7400000000.0  3.3000000000000004e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  638700000.0  7703000000.0  3.4e-08  1.3e-08  9.000000000000001e-09
1.8  657200000.0  8000000000.0  3.4e-08  1.3e-08  9.000000000000001e-09
2  692700000.0  8575000000.0  3.6000000000000005e-08  1.4000000000000001e-08  1e-08
2.25  734800000.0  9265000000.0  3.8e-08  1.5000000000000002e-08  1e-08
2.49999  774500000.0  9925000000.0  4e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  812300000.0  10560000000.0  4.2000000000000006e-08  1.6e-08  1.2000000000000002e-08
2.99999  848400000.0  11170000000.0  4.3e-08  1.7e-08  1.2000000000000002e-08
3.24999  883100000.0  11770000000.0  4.5000000000000006e-08  1.7e-08  1.3e-08
3.49999  916400000.0  12340000000.0  4.6e-08  1.8000000000000002e-08  1.3e-08
3.74999  948600000.0  12900000000.0  4.7000000000000004e-08  1.8000000000000002e-08  1.4000000000000001e-08
3.99999  979700000.0  13450000000.0  4.9e-08  1.9e-08  1.4000000000000001e-08
4.49999  1039000000.0000001  14500000000.0  5.1e-08  2e-08  1.5000000000000002e-08
4.99999  1095000000.0  15500000000.0  5.3000000000000005e-08  2.1000000000000003e-08  1.6e-08
5.49999  1149000000.0  16460000000.0  5.6000000000000005e-08  2.2000000000000002e-08  1.6e-08
5.99999  1200000000.0  17390000000.0  5.8e-08  2.3e-08  1.7e-08
6.49999  1249000000.0  18280000000.0  6.000000000000001e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.99999  1296000000.0  19150000000.0  6.1e-08  2.5000000000000002e-08  1.8000000000000002e-08
7.99999  1385000000.0000002  20800000000.0  6.5e-08  2.6e-08  1.9e-08
8.99999  1470000000.0  22370000000.0  6.8e-08  2.7e-08  2e-08
9.99999  1549000000.0  23870000000.0  7.1e-08  2.9e-08  2.1000000000000003e-08
10.9999  1625000000.0  25299999999.999996  7.4e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  1697000000.0  26670000000.0  7.6e-08  3.1e-08  2.3e-08
12.9999  1766000000.0  27990000000.0  7.9e-08  3.2e-08  2.4000000000000003e-08
13.9999  1833000000.0  29270000000.0  8.100000000000001e-08  3.3000000000000004e-08  2.5000000000000002e-08
14.9999  1897000000.0  30510000000.0  8.3e-08  3.4e-08  2.5000000000000002e-08
15.9999  1959000000.0  31700000000.0  8.6e-08  3.5e-08  2.6e-08
16.9999  2020000000.0000002  32870000000.0  8.800000000000001e-08  3.6000000000000005e-08  2.7e-08
17.9999  2078000000.0000002  34000000000.0  9.000000000000001e-08  3.7e-08  2.7e-08
19.9999  2191000000.0  36180000000.0  9.400000000000001e-08  3.9000000000000005e-08  2.9e-08
22.4999  2323000000.0  38770000000.0  9.8e-08  4.1e-08  3.0000000000000004e-08
24.9999  2449000000.0  41220000000.0  1.0300000000000001e-07  4.3e-08  3.2e-08
27.4999  2569000000.0  43550000000.00001  1.07e-07  4.4000000000000004e-08  3.3000000000000004e-08
29.9999  2683000000.0  45780000000.0  1.1e-07  4.6e-08  3.4e-08
32.4999  2792000000.0  47920000000.0  1.14e-07  4.8000000000000006e-08  3.5e-08
34.9999  2898000000.0  49980000000.0  1.1800000000000001e-07  4.9e-08  3.6000000000000005e-08
37.4999  3000000000.0  51970000000.0  1.21e-07  5.1e-08  3.7e-08
39.9999  3098000000.0  53890000000.0  1.24e-07  5.2e-08  3.8e-08
44.9999  3286000000.0  57539999999.99999  1.31e-07  5.5e-08  4e-08
49.9999  3464000000.0  61000000000.0  1.36e-07  5.7e-08  4.2000000000000006e-08
54.9999  3633000000.0  64269999999.99999  1.42e-07  6.000000000000001e-08  4.4000000000000004e-08
59.9999  3794000000.0  67390000000.0  1.47e-07  6.2e-08  4.5000000000000006e-08
64.9999  3948999999.9999995  70370000000.0  1.52e-07  6.4e-08  4.7000000000000004e-08
69.9999  4098000000.0  73220000000.0  1.5700000000000002e-07  6.600000000000001e-08  4.8000000000000006e-08
79.9999  4381000000.0  78610000000.0  1.66e-07  7e-08  5.1e-08
89.9999  4647000000.0  83630000000.0  1.7500000000000002e-07  7.3e-08  5.3000000000000005e-08
