energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  672900000.0  6341000000.0  2.4000000000000003e-08  1.1000000000000001e-08  8e-09
1.3  700400000.0  6680000000.0  2.5000000000000002e-08  1.2000000000000002e-08  8e-09
1.4  726900000.0  7008000000.0  2.6e-08  1.2000000000000002e-08  9.000000000000001e-09
1.5  752400000.0  7327000000.0  2.6e-08  1.3e-08  9.000000000000001e-09
1.6  777000000.0  7638000000.0  2.7e-08  1.3e-08  9.000000000000001e-09
1.7  801000000.0  7941000000.0  2.8000000000000003e-08  1.3e-08  1e-08
1.8  824199999.9999999  8237000000.0  2.9e-08  1.4000000000000001e-08  1e-08
2  868800000.0  8810000000.0  3.0000000000000004e-08  1.4000000000000001e-08  1e-08
2.25  921500000.0  9495000000.0  3.2e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.49999  971300000.0  10149999999.999998  3.3000000000000004e-08  1.6e-08  1.2000000000000002e-08
2.74999  1019000000.0  10780000000.0  3.5e-08  1.7e-08  1.2000000000000002e-08
2.99999  1064000000.0  11379999999.999998  3.6000000000000005e-08  1.8000000000000002e-08  1.3e-08
3.24999  1107000000.0  11960000000.0  3.7e-08  1.8000000000000002e-08  1.3e-08
3.49999  1149000000.0  12520000000.0  3.9000000000000005e-08  1.9e-08  1.4000000000000001e-08
3.74999  1190000000.0  13070000000.0  4e-08  1.9e-08  1.4000000000000001e-08
3.99999  1229000000.0  13600000000.000002  4.1e-08  2e-08  1.5000000000000002e-08
4.49999  1303000000.0  14620000000.0  4.3e-08  2.1000000000000003e-08  1.6e-08
4.99999  1374000000.0  15590000000.0  4.5000000000000006e-08  2.2000000000000002e-08  1.6e-08
5.49999  1441000000.0  16520000000.0  4.7000000000000004e-08  2.3e-08  1.7e-08
5.99999  1505000000.0  17410000000.0  4.8000000000000006e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.49999  1566000000.0  18270000000.0  5.0000000000000004e-08  2.5000000000000002e-08  1.9e-08
6.99999  1625000000.0  19100000000.0  5.2e-08  2.6e-08  1.9e-08
7.99999  1738000000.0  20680000000.0  5.5e-08  2.8000000000000003e-08  2e-08
8.99999  1843000000.0  22170000000.0  5.7e-08  2.9e-08  2.1000000000000003e-08
9.99999  1943000000.0  23580000000.0  6.000000000000001e-08  3.0000000000000004e-08  2.2000000000000002e-08
10.9999  2037000000.0  24930000000.0  6.2e-08  3.2e-08  2.3e-08
11.9999  2128000000.0  26210000000.0  6.5e-08  3.3000000000000004e-08  2.4000000000000003e-08
12.9999  2215000000.0  27450000000.0  6.7e-08  3.4e-08  2.5000000000000002e-08
13.9999  2299000000.0  28640000000.0  6.900000000000001e-08  3.5e-08  2.6e-08
14.9999  2379000000.0  29790000000.0  7.1e-08  3.6000000000000005e-08  2.7e-08
15.9999  2457000000.0  30900000000.0  7.3e-08  3.8e-08  2.8000000000000003e-08
16.9999  2533000000.0000005  31970000000.0  7.500000000000001e-08  3.9000000000000005e-08  2.8000000000000003e-08
17.9999  2606000000.0  33020000000.0  7.6e-08  4e-08  2.9e-08
19.9999  2747000000.0  35020000000.0  8e-08  4.1e-08  3.0000000000000004e-08
22.4999  2914000000.0  37370000000.0  8.400000000000001e-08  4.4000000000000004e-08  3.2e-08
24.9999  3071999999.9999995  39600000000.0  8.800000000000001e-08  4.6e-08  3.3000000000000004e-08
27.4999  3221000000.0  41700000000.0  9.100000000000001e-08  4.8000000000000006e-08  3.5e-08
29.9999  3365000000.0  43710000000.00001  9.5e-08  4.9e-08  3.6000000000000005e-08
32.4999  3502000000.0  45620000000.0  9.8e-08  5.1e-08  3.7e-08
34.9999  3634000000.0  47450000000.0  1.02e-07  5.3000000000000005e-08  3.8e-08
37.4999  3762000000.0  49220000000.0  1.05e-07  5.4e-08  4e-08
39.9999  3885000000.0  50910000000.0  1.08e-07  5.6000000000000005e-08  4.1e-08
44.9999  4121000000.0  54130000000.0  1.13e-07  5.9000000000000006e-08  4.3e-08
49.9999  4344000000.0  57140000000.00001  1.1900000000000001e-07  6.2e-08  4.5000000000000006e-08
54.9999  4556000000.0  59980000000.0  1.24e-07  6.4e-08  4.7000000000000004e-08
59.9999  4758000000.0  62670000000.0  1.29e-07  6.7e-08  4.8000000000000006e-08
64.9999  4953000000.0  65220000000.0  1.34e-07  6.900000000000001e-08  5.0000000000000004e-08
69.9999  5140000000.0  67650000000.0  1.3800000000000002e-07  7.1e-08  5.2e-08
79.9999  5495000000.0  72220000000.0  1.47e-07  7.6e-08  5.5e-08
89.9999  5828000000.0  76420000000.0  1.55e-07  8e-08  5.8e-08
99.9999  6143000000.0  80340000000.0  1.6300000000000002e-07  8.400000000000001e-08  6.000000000000001e-08
110  6443000000.0  84000000000.0  1.71e-07  8.700000000000001e-08  6.300000000000001e-08
120  6729000000.000001  87449999999.99998  1.78e-07  9.100000000000001e-08  6.5e-08
130  7004000000.0  90700000000.0  1.85e-07  9.400000000000001e-08  6.8e-08
139.999  7269000000.0  93790000000.0  1.9200000000000003e-07  9.700000000000001e-08  7e-08
149.999  7524000000.0  96720000000.0  1.9900000000000002e-07  1.0000000000000001e-07  7.200000000000001e-08
159.999  7770000000.0  99520000000.0  2.0500000000000002e-07  1.0300000000000001e-07  7.4e-08
169.999  8010000000.0  102200000000.0  2.1100000000000002e-07  1.0600000000000001e-07  7.6e-08
179.999  8242000000.0  104800000000.0  2.1700000000000002e-07  1.0900000000000001e-07  7.800000000000001e-08
199.999  8688000000.0  109600000000.00002  2.2900000000000003e-07  1.14e-07  8.2e-08
224.999  9215000000.0  115100000000.0  2.43e-07  1.2000000000000002e-07  8.700000000000001e-08
249.999  9713000000.0  120200000000.0  2.5700000000000004e-07  1.2600000000000002e-07  9.100000000000001e-08
274.999  10190000000.0  124900000000.0  2.7e-07  1.3200000000000002e-07  9.600000000000001e-08
299.999  10640000000.0  129300000000.0  2.8300000000000003e-07  1.37e-07  1.0000000000000001e-07
324.999  11070000000.0  133400000000.0  2.9500000000000003e-07  1.42e-07  1.04e-07
349.999  11490000000.0  137300000000.0  3.0700000000000004e-07  1.48e-07  1.07e-07
374.999  11900000000.0  140900000000.0  3.1900000000000004e-07  1.52e-07  1.11e-07
399.999  12290000000.0  144300000000.0  3.3e-07  1.5700000000000002e-07  1.1500000000000001e-07
449.999  13030000000.0  150600000000.0  3.5200000000000003e-07  1.66e-07  1.21e-07
499.999  13740000000.000002  156400000000.0  3.7400000000000004e-07  1.7500000000000002e-07  1.28e-07
549.999  14410000000.0  161600000000.0  3.94e-07  1.83e-07  1.34e-07
599.999  15049999999.999998  166500000000.0  4.1400000000000003e-07  1.91e-07  1.4e-07
649.999  15660000000.0  171000000000.0  4.3400000000000005e-07  1.9900000000000002e-07  1.46e-07
699.999  16250000000.0  175100000000.00003  4.5300000000000005e-07  2.0600000000000002e-07  1.52e-07
799.999  17380000000.0  182600000000.00003  4.900000000000001e-07  2.21e-07  1.6300000000000002e-07
899.999  18430000000.0  189300000000.0  5.26e-07  2.3500000000000003e-07  1.7400000000000002e-07
999.999  19430000000.0  195200000000.0  5.61e-07  2.48e-07  1.84e-07
1100.0  20370000000.0  200500000000.0  5.95e-07  2.61e-07  1.9400000000000002e-07
1200.0  21280000000.0  205400000000.0  6.280000000000001e-07  2.73e-07  2.03e-07
1300.0  22150000000.0  209800000000.0  6.61e-07  2.85e-07  2.1300000000000001e-07
1400.0  22990000000.0  213800000000.0  6.92e-07  2.97e-07  2.22e-07
1500.0  23790000000.0  217600000000.00003  7.240000000000001e-07  3.08e-07  2.3000000000000002e-07
1600.0  24570000000.0  221000000000.0  7.550000000000001e-07  3.1900000000000004e-07  2.39e-07
1700.0  25330000000.0  224200000000.00003  7.85e-07  3.3e-07  2.48e-07
1800.0  26060000000.0  227200000000.0  8.15e-07  3.41e-07  2.56e-07
2000.0  27470000000.0  232600000000.00003  8.74e-07  3.6200000000000004e-07  2.72e-07
2250.0  29140000000.0  238400000000.0  9.46e-07  3.87e-07  2.92e-07
2500.0  30720000000.0  243400000000.0  1.017e-06  4.1200000000000004e-07  3.11e-07
2750.0  32210000000.0  247800000000.0  1.086e-06  4.3600000000000004e-07  3.29e-07
3000.0  33650000000.000004  251600000000.0  1.1550000000000002e-06  4.59e-07  3.47e-07
3250.0  35020000000.0  255000000000.0  1.2220000000000001e-06  4.82e-07  3.65e-07
3500.0  36340000000.0  257900000000.0  1.288e-06  5.040000000000001e-07  3.82e-07
3750.0  37620000000.0  260600000000.0  1.354e-06  5.27e-07  3.99e-07
4000.0  38850000000.0  262900000000.0  1.419e-06  5.48e-07  4.1500000000000005e-07
4500.0  41210000000.00001  266900000000.0  1.548e-06  5.91e-07  4.4800000000000004e-07
5000.0  43440000000.0  270100000000.00003  1.675e-06  6.32e-07  4.800000000000001e-07
5500.0  45560000000.0  272600000000.00003  1.8010000000000002e-06  6.730000000000001e-07  5.110000000000001e-07
6000.0  47580000000.0  274700000000.0  1.925e-06  7.13e-07  5.41e-07
6500.0  49530000000.0  276300000000.0  2.048e-06  7.520000000000001e-07  5.7e-07
7000.0  51400000000.0  277600000000.0  2.171e-06  7.91e-07  6.000000000000001e-07
8000.0  54950000000.0  279300000000.0  2.414e-06  8.67e-07  6.57e-07
9000.0  58280000000.0  280200000000.0  2.6540000000000003e-06  9.410000000000001e-07  7.13e-07
10000.0  61430000000.0  280500000000.0  2.894e-06  1.0140000000000002e-06  7.67e-07
11000.0  64429999999.99999  280300000000.0  3.1320000000000003e-06  1.086e-06  8.210000000000001e-07
12000.0  67290000000.0  279800000000.0  3.3690000000000003e-06  1.157e-06  8.73e-07
13000.0  70040000000.0  278900000000.0  3.6060000000000003e-06  1.227e-06  9.25e-07
14000.0  72690000000.0  277900000000.0  3.842000000000001e-06  1.2960000000000002e-06  9.76e-07
15000.0  75240000000.0  276700000000.0  4.079e-06  1.365e-06  1.027e-06
16000.0  77700000000.0  275300000000.0  4.315e-06  1.432e-06  1.077e-06
17000.0  80100000000.0  273800000000.0  4.551e-06  1.4990000000000002e-06  1.127e-06
18000.0  82420000000.00002  272300000000.0  4.787e-06  1.5660000000000001e-06  1.176e-06
20000.0  86880000000.0  269000000000.0  5.2600000000000005e-06  1.697e-06  1.2730000000000001e-06
22500.0  92150000000.0  264700000000.0  5.8530000000000005e-06  1.8590000000000001e-06  1.3940000000000001e-06
25000.0  97129999999.99998  260400000000.0  6.447e-06  2.018e-06  1.512e-06
27500.0  101900000000.0  256000000000.0  7.044000000000001e-06  2.175e-06  1.63e-06
30000.0  106400000000.0  251600000000.0  7.642e-06  2.329e-06  1.746e-06
32500.0  110700000000.0  247399999999.99997  8.242e-06  2.481e-06  1.861e-06
35000.0  114900000000.0  243200000000.0  8.845000000000001e-06  2.6300000000000002e-06  1.9760000000000002e-06
37500.0  119000000000.0  239200000000.00003  9.449e-06  2.7780000000000003e-06  2.0890000000000002e-06
40000.0  122899999999.99998  235200000000.0  1.0100000000000002e-05  2.9230000000000002e-06  2.2030000000000003e-06
45000.0  130300000000.0  227700000000.0  1.13e-05  3.21e-06  2.4270000000000002e-06
50000.0  137400000000.0  220700000000.0  1.25e-05  3.49e-06  2.65e-06
55000.0  144100000000.0  214100000000.0  1.3700000000000003e-05  3.762e-06  2.871e-06
60000.0  148700000000.0  207900000000.0  1.5000000000000002e-05  4.029e-06  3.09e-06
65000.0  153400000000.0  202100000000.0  1.62e-05  4.291e-06  3.3080000000000003e-06
70000.0  158200000000.0  196700000000.00003  1.7500000000000002e-05  4.549e-06  3.524e-06
80000.0  167800000000.0  186800000000.0  2e-05  5.054e-06  3.954000000000001e-06
90000.0  176900000000.0  178000000000.0  2.25e-05  5.538e-06  4.379e-06
100000.0  185200000000.0  170100000000.00003  2.51e-05  6.0040000000000005e-06  4.7980000000000005e-06
110000.0  193000000000.0  163000000000.0  2.76e-05  6.453000000000001e-06  5.213000000000001e-06
120000.0  200000000000.0  156600000000.0  3.0200000000000002e-05  6.886000000000001e-06  5.6220000000000006e-06
130000.0  206600000000.0  150700000000.0  3.27e-05  7.305e-06  6.026e-06
140000.0  212600000000.00003  145300000000.0  3.5300000000000004e-05  7.711000000000001e-06  6.425e-06
150000.0  218299999999.99997  140400000000.0  3.7900000000000006e-05  8.104e-06  6.818000000000001e-06
160000.0  223700000000.0  135900000000.0  4.0400000000000006e-05  8.487e-06  7.206e-06
170000.0  228700000000.0  131600000000.0  4.3e-05  8.858e-06  7.5890000000000005e-06
180000.0  233600000000.0  127700000000.0  4.56e-05  9.22e-06  7.967e-06
200000.0  242800000000.0  120600000000.0  5.0700000000000006e-05  9.926000000000001e-06  8.710000000000001e-06
225000.0  253700000000.0  113000000000.0  5.7100000000000006e-05  1.0800000000000002e-05  9.611e-06
250000.0  264200000000.00003  106400000000.0  6.340000000000001e-05  1.15e-05  1.0500000000000001e-05
275000.0  274500000000.0  100600000000.0  6.97e-05  1.23e-05  1.13e-05
300000.0  284700000000.0  95520000000.0  7.6e-05  1.3000000000000001e-05  1.2100000000000001e-05
325000.0  294800000000.0  91000000000.0  8.210000000000002e-05  1.3600000000000002e-05  1.2900000000000002e-05
350000.0  304800000000.0  86950000000.0  8.820000000000002e-05  1.4200000000000001e-05  1.3700000000000003e-05
375000.0  314800000000.0  83290000000.0  9.43e-05  1.48e-05  1.4400000000000001e-05
