energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  467399999.99999994  6028000000.0  2.9e-08  1.1000000000000001e-08  8e-09
1.3  486500000.0  6361000000.0  3.1e-08  1.1000000000000001e-08  8e-09
1.4  504800000.0  6685000000.0  3.2e-08  1.2000000000000002e-08  8e-09
1.5  522500000.0  7000999999.999999  3.3000000000000004e-08  1.2000000000000002e-08  9.000000000000001e-09
1.6  539700000.0  7308000000.0  3.4e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  556300000.0  7609000000.0  3.5e-08  1.3e-08  9.000000000000001e-09
1.8  572400000.0  7903000000.0  3.6000000000000005e-08  1.3e-08  9.000000000000001e-09
2  603400000.0  8474000000.0  3.7e-08  1.4000000000000001e-08  1e-08
2.25  640000000.0  9158000000.0  3.9000000000000005e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.49999  674600000.0000001  9814000000.0  4.1e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  707499999.9999999  10440000000.0  4.3e-08  1.6e-08  1.2000000000000002e-08
2.99999  738999999.9999999  11050000000.0  4.5000000000000006e-08  1.7e-08  1.2000000000000002e-08
3.24999  769200000.0  11640000000.0  4.6e-08  1.7e-08  1.3e-08
3.49999  798200000.0  12210000000.0  4.8000000000000006e-08  1.8000000000000002e-08  1.3e-08
3.74999  826200000.0  12770000000.0  4.9e-08  1.9e-08  1.4000000000000001e-08
3.99999  853300000.0  13310000000.0  5.0000000000000004e-08  1.9e-08  1.4000000000000001e-08
4.49999  905099999.9999999  14360000000.0  5.3000000000000005e-08  2e-08  1.5000000000000002e-08
4.99999  954000000.0  15350000000.0  5.5e-08  2.1000000000000003e-08  1.6e-08
5.49999  1001000000.0  16310000000.0  5.8e-08  2.2000000000000002e-08  1.6e-08
5.99999  1045000000.0  17230000000.0  6.000000000000001e-08  2.3e-08  1.7e-08
6.49999  1088000000.0  18130000000.0  6.2e-08  2.4000000000000003e-08  1.8000000000000002e-08
6.99999  1129000000.0  18990000000.0  6.300000000000001e-08  2.5000000000000002e-08  1.8000000000000002e-08
7.99999  1207000000.0  20640000000.0  6.7e-08  2.6e-08  1.9e-08
8.99999  1280000000.0  22200000000.000004  7e-08  2.8000000000000003e-08  2e-08
9.99999  1349000000.0  23700000000.0  7.3e-08  2.9e-08  2.1000000000000003e-08
10.9999  1414999999.9999998  25120000000.0  7.6e-08  3.0000000000000004e-08  2.2000000000000002e-08
11.9999  1477999999.9999998  26490000000.0  7.9e-08  3.1e-08  2.3e-08
12.9999  1538000000.0  27820000000.0  8.100000000000001e-08  3.2e-08  2.4000000000000003e-08
13.9999  1596000000.0  29089999999.999996  8.400000000000001e-08  3.3000000000000004e-08  2.5000000000000002e-08
14.9999  1652000000.0000002  30330000000.0  8.6e-08  3.4e-08  2.6e-08
15.9999  1707000000.0  31530000000.0  8.800000000000001e-08  3.5e-08  2.6e-08
16.9999  1759000000.0  32690000000.0  9.100000000000001e-08  3.6000000000000005e-08  2.7e-08
17.9999  1810000000.0  33830000000.0  9.300000000000001e-08  3.7e-08  2.8000000000000003e-08
19.9999  1908000000.0  36010000000.0  9.700000000000001e-08  3.9000000000000005e-08  2.9e-08
22.4999  2024000000.0  38600000000.0  1.01e-07  4.1e-08  3.0000000000000004e-08
24.9999  2133000000.0  41060000000.0  1.0600000000000001e-07  4.3e-08  3.2e-08
27.4999  2237000000.0  43400000000.0  1.1e-07  4.5000000000000006e-08  3.3000000000000004e-08
29.9999  2337000000.0  45640000000.0  1.14e-07  4.6e-08  3.4e-08
32.4999  2432000000.0  47779999999.99999  1.1800000000000001e-07  4.8000000000000006e-08  3.5e-08
34.9999  2524000000.0  49850000000.0  1.21e-07  4.9e-08  3.6000000000000005e-08
37.4999  2613000000.0  51849999999.99999  1.2500000000000002e-07  5.1e-08  3.7e-08
39.9999  2698000000.0  53780000000.0  1.28e-07  5.2e-08  3.8e-08
44.9999  2862000000.0  57460000000.00001  1.34e-07  5.5e-08  4e-08
49.9999  3017000000.0  60940000000.0  1.4e-07  5.7e-08  4.2000000000000006e-08
54.9999  3164000000.0  64230000000.0  1.46e-07  6.000000000000001e-08  4.4000000000000004e-08
59.9999  3305000000.0  67380000000.00001  1.5100000000000002e-07  6.2e-08  4.5000000000000006e-08
64.9999  3439999999.9999995  70380000000.0  1.5700000000000002e-07  6.4e-08  4.7000000000000004e-08
69.9999  3570000000.0  73260000000.0  1.6200000000000002e-07  6.600000000000001e-08  4.8000000000000006e-08
79.9999  3816000000.0  78710000000.0  1.71e-07  7e-08  5.1e-08
89.9999  4048000000.0  83780000000.0  1.8000000000000002e-07  7.4e-08  5.3000000000000005e-08
99.9999  4267000000.0  88539999999.99998  1.8800000000000002e-07  7.7e-08  5.6000000000000005e-08
110  4475000000.0  93040000000.0  1.96e-07  8e-08  5.8e-08
120  4674000000.0  97300000000.0  2.03e-07  8.3e-08  6.000000000000001e-08
130  4865000000.0  101400000000.0  2.1100000000000002e-07  8.6e-08  6.2e-08
139.999  5048000000.0  105200000000.0  2.1800000000000002e-07  8.9e-08  6.4e-08
149.999  5225000000.0  108900000000.0  2.2400000000000002e-07  9.100000000000001e-08  6.600000000000001e-08
159.999  5397000000.0  112500000000.0  2.3100000000000002e-07  9.400000000000001e-08  6.8e-08
169.999  5563000000.0  115900000000.0  2.3700000000000002e-07  9.600000000000001e-08  7e-08
179.999  5724000000.0  119200000000.0  2.43e-07  9.9e-08  7.1e-08
199.999  6034000000.0  125500000000.0  2.55e-07  1.0300000000000001e-07  7.500000000000001e-08
224.999  6400000000.0  132800000000.0  2.6900000000000004e-07  1.08e-07  7.800000000000001e-08
249.999  6746000000.0  139600000000.0  2.8300000000000003e-07  1.13e-07  8.2e-08
274.999  7075000000.0  145900000000.0  2.96e-07  1.1800000000000001e-07  8.500000000000001e-08
299.999  7390000000.0  151900000000.0  3.08e-07  1.23e-07  8.9e-08
324.999  7692000000.0  157600000000.0  3.2e-07  1.27e-07  9.2e-08
349.999  7982000000.0  162900000000.0  3.3100000000000004e-07  1.31e-07  9.5e-08
374.999  8262000000.0  168000000000.0  3.42e-07  1.35e-07  9.8e-08
399.999  8532999999.999999  172800000000.0  3.53e-07  1.3900000000000001e-07  1.01e-07
449.999  9051000000.0  181900000000.0  3.7400000000000004e-07  1.46e-07  1.0600000000000001e-07
499.999  9540000000.0  190200000000.0  3.94e-07  1.53e-07  1.11e-07
549.999  10009999999.999998  198000000000.0  4.13e-07  1.6e-07  1.16e-07
599.999  10450000000.0  205200000000.0  4.32e-07  1.66e-07  1.21e-07
