energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
1.2  644300000.0  5947000000.0  2.9e-08  1e-08  7.000000000000001e-09
1.3  670600000.0  6277000000.0  3.1e-08  1.1000000000000001e-08  8e-09
1.4  696000000.0  6597000000.0  3.2e-08  1.1000000000000001e-08  8e-09
1.5  720400000.0000001  6909999999.999999  3.3000000000000004e-08  1.2000000000000002e-08  8e-09
1.6  743999999.9999999  7214000000.0  3.4e-08  1.2000000000000002e-08  9.000000000000001e-09
1.7  766900000.0  7512000000.0  3.5e-08  1.2000000000000002e-08  9.000000000000001e-09
1.8  789200000.0  7804000000.0  3.6000000000000005e-08  1.3e-08  9.000000000000001e-09
2  831800000.0  8370000000.0  3.7e-08  1.3e-08  1e-08
2.25  882300000.0  9048000000.0  4e-08  1.4000000000000001e-08  1e-08
2.49999  930000000.0  9698000000.0  4.1e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.74999  975400000.0  10320000000.0  4.3e-08  1.5000000000000002e-08  1.1000000000000001e-08
2.99999  1019000000.0  10930000000.0  4.5000000000000006e-08  1.6e-08  1.2000000000000002e-08
3.24999  1060000000.0  11510000000.0  4.6e-08  1.7e-08  1.2000000000000002e-08
3.49999  1100000000.0  12080000000.0  4.8000000000000006e-08  1.7e-08  1.3e-08
3.74999  1139000000.0  12629999999.999998  4.9e-08  1.8000000000000002e-08  1.3e-08
3.99999  1176000000.0  13170000000.0  5.1e-08  1.8000000000000002e-08  1.4000000000000001e-08
4.49999  1248000000.0  14210000000.0  5.3000000000000005e-08  1.9e-08  1.4000000000000001e-08
4.99999  1315000000.0  15200000000.0  5.6000000000000005e-08  2e-08  1.5000000000000002e-08
5.49999  1379000000.0  16150000000.0  5.8e-08  2.1000000000000003e-08  1.6e-08
5.99999  1441000000.0  17070000000.0  6.000000000000001e-08  2.2000000000000002e-08  1.6e-08
6.49999  1500000000.0  17960000000.0  6.2e-08  2.3e-08  1.7e-08
6.99999  1556000000.0  18820000000.0  6.4e-08  2.4000000000000003e-08  1.8000000000000002e-08
7.99999  1664000000.0  20460000000.0  6.7e-08  2.5000000000000002e-08  1.9e-08
8.99999  1765000000.0  22020000000.0  7.1e-08  2.7e-08  2e-08
9.99999  1860000000.0  23500000000.0  7.4e-08  2.8000000000000003e-08  2.1000000000000003e-08
10.9999  1951000000.0  24930000000.0  7.7e-08  2.9e-08  2.2000000000000002e-08
11.9999  2038000000.0  26300000000.0  7.9e-08  3.0000000000000004e-08  2.2000000000000002e-08
12.9999  2121000000.0  27620000000.0  8.2e-08  3.1e-08  2.3e-08
13.9999  2201000000.0  28889999999.999996  8.400000000000001e-08  3.2e-08  2.4000000000000003e-08
14.9999  2278000000.0  30120000000.0  8.700000000000001e-08  3.3000000000000004e-08  2.5000000000000002e-08
15.9999  2353000000.0  31320000000.0  8.9e-08  3.4e-08  2.5000000000000002e-08
16.9999  2425000000.0  32490000000.0  9.100000000000001e-08  3.5e-08  2.6e-08
17.9999  2496000000.0  33620000000.0  9.300000000000001e-08  3.6000000000000005e-08  2.7e-08
19.9999  2631000000.0  35800000000.0  9.700000000000001e-08  3.8e-08  2.8000000000000003e-08
22.4999  2790000000.0000005  38390000000.0  1.02e-07  4e-08  2.9e-08
24.9999  2940999999.9999995  40850000000.0  1.07e-07  4.1e-08  3.1e-08
27.4999  3085000000.0  43200000000.0  1.11e-07  4.3e-08  3.2e-08
29.9999  3222000000.0  45439999999.99999  1.1500000000000001e-07  4.5000000000000006e-08  3.3000000000000004e-08
32.4999  3353000000.0  47590000000.0  1.1800000000000001e-07  4.6e-08  3.4e-08
34.9999  3479999999.9999995  49670000000.0  1.22e-07  4.8000000000000006e-08  3.5e-08
37.4999  3602000000.0  51670000000.0  1.2600000000000002e-07  4.9e-08  3.6000000000000005e-08
39.9999  3720000000.0  53610000000.0  1.29e-07  5.1e-08  3.7e-08
44.9999  3946000000.0  57300000000.00001  1.35e-07  5.3000000000000005e-08  3.9000000000000005e-08
49.9999  4159000000.0  60800000000.0  1.41e-07  5.6000000000000005e-08  4.1e-08
54.9999  4362000000.0  64120000000.0  1.47e-07  5.8e-08  4.2000000000000006e-08
59.9999  4556000000.0  67280000000.0  1.52e-07  6.000000000000001e-08  4.4000000000000004e-08
64.9999  4742000000.0  70300000000.0  1.58e-07  6.2e-08  4.5000000000000006e-08
69.9999  4921000000.0  73210000000.0  1.6200000000000002e-07  6.4e-08  4.7000000000000004e-08
79.9999  5261000000.0  78690000000.0  1.72e-07  6.8e-08  4.9e-08
89.9999  5580000000.000001  83810000000.0  1.8100000000000002e-07  7.1e-08  5.2e-08
99.9999  5881999999.999999  88630000000.0  1.89e-07  7.4e-08  5.4e-08
110  6169000000.0  93170000000.0  1.97e-07  7.7e-08  5.6000000000000005e-08
120  6443000000.0  97480000000.0  2.04e-07  8e-08  5.8e-08
130  6706000000.0  101600000000.0  2.1200000000000002e-07  8.3e-08  6.000000000000001e-08
139.999  6959999999.999999  105500000000.0  2.1900000000000002e-07  8.6e-08  6.2e-08
149.999  7204000000.0  109300000000.0  2.2500000000000002e-07  8.800000000000001e-08  6.4e-08
159.999  7440000000.0  112899999999.99998  2.32e-07  9.100000000000001e-08  6.600000000000001e-08
169.999  7669000000.0  116400000000.0  2.3800000000000001e-07  9.300000000000001e-08  6.7e-08
179.999  7892000000.0  119700000000.0  2.44e-07  9.5e-08  6.900000000000001e-08
199.999  8318000000.0  126100000000.0  2.56e-07  1.0000000000000001e-07  7.200000000000001e-08
224.999  8823000000.0  133500000000.0  2.7e-07  1.05e-07  7.6e-08
249.999  9300000000.0  140400000000.0  2.8300000000000003e-07  1.1e-07  7.9e-08
274.999  9754000000.0  146900000000.0  2.96e-07  1.14e-07  8.2e-08
299.999  10190000000.0  153000000000.0  3.08e-07  1.1900000000000001e-07  8.6e-08
324.999  10600000000.0  158800000000.0  3.2e-07  1.23e-07  8.9e-08
349.999  11000000000.0  164200000000.00003  3.3100000000000004e-07  1.27e-07  9.2e-08
374.999  11390000000.0  169400000000.0  3.42e-07  1.3e-07  9.400000000000001e-08
399.999  11760000000.0  174400000000.0  3.53e-07  1.34e-07  9.700000000000001e-08
449.999  12480000000.0  183700000000.0  3.7400000000000004e-07  1.41e-07  1.02e-07
499.999  13150000000.0  192300000000.0  3.9300000000000004e-07  1.48e-07  1.07e-07
549.999  13790000000.0  200200000000.0  4.1200000000000004e-07  1.54e-07  1.1200000000000001e-07
599.999  14410000000.0  207700000000.0  4.3e-07  1.6e-07  1.17e-07
649.999  15000000000.0  214600000000.0  4.4800000000000004e-07  1.66e-07  1.21e-07
699.999  15560000000.0  221200000000.0  4.6500000000000005e-07  1.71e-07  1.2500000000000002e-07
799.999  16640000000.0  233299999999.99997  4.98e-07  1.8200000000000002e-07  1.33e-07
899.999  17650000000.0  244300000000.0  5.29e-07  1.9200000000000003e-07  1.41e-07
999.999  18600000000.0  254300000000.0  5.590000000000001e-07  2.01e-07  1.48e-07
1100.0  19510000000.0  263500000000.0  5.88e-07  2.1e-07  1.55e-07
1200.0  20380000000.0  272000000000.0  6.170000000000001e-07  2.1900000000000002e-07  1.6200000000000002e-07
1300.0  21210000000.0  279900000000.0  6.44e-07  2.27e-07  1.6900000000000002e-07
1400.0  22010000000.0  287200000000.0  6.71e-07  2.3500000000000003e-07  1.7500000000000002e-07
1500.0  22780000000.0  294100000000.0  6.970000000000001e-07  2.43e-07  1.8100000000000002e-07
1600.0  23530000000.000004  300700000000.0  7.22e-07  2.51e-07  1.8700000000000002e-07
1700.0  24250000000.0  306800000000.0  7.47e-07  2.58e-07  1.9300000000000002e-07
