       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   2.03822197e-02   1.40709459e-02  -2.96180816e-02  -8.06109955e-15   1.04940970e-13   4.43079206e-14
  8.00000000e-08   2.78869112e-02   1.92614480e-02  -2.94046965e-02  -3.99815646e-14   1.30175965e-13   4.73534980e-14
  1.60000000e-07   3.52649900e-02   2.43573722e-02  -2.60186778e-02  -7.61790816e-14   1.50023080e-13   3.71930290e-14
  2.40000000e-07   4.68685962e-02   3.23870426e-02  -2.17225289e-02  -1.20846890e-13   1.81794782e-13   1.03059499e-14
  3.20000000e-07   1.15672202e-02   7.91011055e-03  -6.83038827e-04  -2.83084753e-14   4.10192419e-14  -4.36817097e-15
  4.00000000e-07  -1.28226925e-02  -8.87025986e-03  -7.49733093e-03   2.61454043e-14  -4.13367048e-14   4.18986870e-15
  4.80000000e-07  -3.55168301e-02  -2.45751912e-02  -1.36566510e-02   8.20705802e-14  -1.15279731e-13  -5.99454535e-15
  5.60000000e-07  -3.16012134e-02  -2.17504326e-02  -1.72713141e-02   7.63193231e-14  -9.18697522e-14  -2.39458538e-14
  6.40000000e-07  -2.58880415e-02  -1.78275125e-02  -1.82266196e-02   6.59342681e-14  -6.38832052e-14  -3.11648813e-14
  7.20000000e-07  -1.97963803e-02  -1.36225114e-02  -1.70066510e-02   5.29562078e-14  -3.90926665e-14  -3.03293654e-14
  8.00000000e-07  -1.75359971e-02  -1.20903511e-02  -1.56117531e-02   4.78352850e-14  -2.89289616e-14  -3.13275589e-14
  8.80000000e-07  -1.55905147e-02  -1.07630176e-02  -1.52899155e-02   4.35522209e-14  -1.90774828e-14  -3.09792593e-14
  9.60000000e-07  -1.34181850e-02  -9.27008195e-03  -1.37550493e-02   3.76916317e-14  -1.18930058e-14  -2.87533794e-14
  1.04000000e-06  -1.22838294e-02  -8.49745418e-03  -1.29643435e-02   3.44056849e-14  -7.27210551e-15  -2.78332011e-14
  1.12000000e-06  -1.09496379e-02  -7.57555720e-03  -1.18874223e-02   3.04321464e-14  -3.35587062e-15  -2.58927784e-14
  1.20000000e-06  -1.01222983e-02  -7.01599530e-03  -1.10434633e-02   2.76577455e-14  -9.27742104e-16  -2.47613369e-14
  1.28000000e-06  -9.31473265e-03  -6.46117998e-03  -1.03084362e-02   2.50211146e-14   1.26108626e-15  -2.33995820e-14
  1.36000000e-06  -8.71403959e-03  -6.05617649e-03  -9.62589161e-03   2.28583811e-14   2.66689222e-15  -2.23709155e-14
  1.44000000e-06  -8.15430925e-03  -5.67160644e-03  -9.02340769e-03   2.08664404e-14   3.87596378e-15  -2.12928813e-14
  1.52000000e-06  -7.70477865e-03  -5.36778155e-03  -8.48507361e-03   1.91743930e-14   4.73146800e-15  -2.04042945e-14
  1.60000000e-06  -7.28412177e-03  -5.08046085e-03  -7.98616004e-03   1.76060735e-14   5.42146182e-15  -1.95072859e-14
  1.68000000e-06  -6.93838746e-03  -4.84478421e-03  -7.56271275e-03   1.62657961e-14   5.96826343e-15  -1.87463611e-14
  1.76000000e-06  -6.60652312e-03  -4.61834545e-03  -7.14065186e-03   1.49943844e-14   6.34564469e-15  -1.79769479e-14
  1.84000000e-06  -6.27106858e-03  -4.38932933e-03  -6.71797561e-03   1.37701858e-14   6.59002331e-15  -1.71598661e-14
  1.92000000e-06  -6.05647981e-03  -4.24666337e-03  -6.43973716e-03   1.28669463e-14   6.89843087e-15  -1.66503246e-14
  2.00000000e-06  -5.82500900e-03  -4.08893456e-03  -6.12941619e-03   1.19498247e-14   7.05602038e-15  -1.60634290e-14
  2.08000000e-06  -5.56465691e-03  -3.91145455e-03  -5.82976054e-03   1.10410039e-14   7.21493638e-15  -1.53797560e-14
  2.16000000e-06  -5.39872729e-03  -3.80132259e-03  -5.58554478e-03   1.03285795e-14   7.29299961e-15  -1.49464790e-14
  2.24000000e-06  -5.19139858e-03  -3.66099141e-03  -5.33024635e-03   9.58660439e-15   7.34861386e-15  -1.43841563e-14
  2.32000000e-06  -5.03697270e-03  -3.55560465e-03  -5.13178183e-03   8.96959646e-15   7.43056503e-15  -1.39522229e-14
  2.40000000e-06  -4.87636634e-03  -3.44804015e-03  -4.91639432e-03   8.36582853e-15   7.42181250e-15  -1.35028942e-14
  2.48000000e-06  -4.70888980e-03  -3.33429971e-03  -4.71833771e-03   7.78799981e-15   7.43313131e-15  -1.30251636e-14
  2.56000000e-06  -4.56567364e-03  -3.23913324e-03  -4.55191336e-03   7.28077408e-15   7.46490018e-15  -1.26147930e-14
  2.64000000e-06  -4.43511714e-03  -3.15131760e-03  -4.38164244e-03   6.80484778e-15   7.42900637e-15  -1.22309057e-14
  2.72000000e-06  -4.30431761e-03  -3.06253544e-03  -4.22650971e-03   6.35542337e-15   7.40992449e-15  -1.18416662e-14
  2.80000000e-06  -4.18452279e-03  -2.98137128e-03  -4.08636154e-03   5.94336203e-15   7.39350289e-15  -1.14803623e-14
  2.88000000e-06  -4.06875416e-03  -2.90432301e-03  -3.95091388e-03   5.55679122e-15   7.36016973e-15  -1.11330009e-14
  2.96000000e-06  -3.95579750e-03  -2.82770336e-03  -3.82273827e-03   5.19064888e-15   7.32252809e-15  -1.07878411e-14
  3.04000000e-06  -3.85131819e-03  -2.75691788e-03  -3.70291100e-03   4.85158342e-15   7.27836891e-15  -1.04649712e-14
  3.12000000e-06  -3.73929847e-03  -2.68037831e-03  -3.59000384e-03   4.52221832e-15   7.24653609e-15  -1.01207085e-14
  3.20000000e-06  -3.65089281e-03  -2.62139789e-03  -3.48424706e-03   4.23184755e-15   7.18929676e-15  -9.84316800e-15
  3.28000000e-06  -3.56049947e-03  -2.56089653e-03  -3.38529201e-03   3.95416192e-15   7.14085359e-15  -9.56070510e-15
  3.36000000e-06  -3.46627061e-03  -2.49718907e-03  -3.29330149e-03   3.68635394e-15   7.10499679e-15  -9.26742380e-15
  3.44000000e-06  -3.37729501e-03  -2.43799837e-03  -3.20085154e-03   3.43568793e-15   7.04627172e-15  -8.99202299e-15
  3.52000000e-06  -3.29736780e-03  -2.38473399e-03  -3.11839806e-03   3.20477160e-15   6.99764413e-15  -8.74001008e-15
  3.60000000e-06  -3.21532755e-03  -2.32925850e-03  -3.03739038e-03   2.98172433e-15   6.94405902e-15  -8.48153370e-15
  3.68000000e-06  -3.13754609e-03  -2.27601594e-03  -2.95334874e-03   2.77094281e-15   6.86348842e-15  -8.23315225e-15
  3.76000000e-06  -3.06249559e-03  -2.22752503e-03  -2.88291224e-03   2.57632198e-15   6.81607315e-15  -8.00334744e-15
  3.84000000e-06  -2.98358423e-03  -2.17525843e-03  -2.81636646e-03   2.38651328e-15   6.77609282e-15  -7.76181534e-15
  3.92000000e-06  -2.91986376e-03  -2.13068987e-03  -2.75837243e-03   2.21288017e-15   6.74120841e-15  -7.54964517e-15
  4.00000000e-06  -2.84951848e-03  -2.08474221e-03  -2.69114202e-03   2.04510404e-15   6.67214295e-15  -7.33415764e-15
  4.08000000e-06  -2.77970286e-03  -2.03777331e-03  -2.63280267e-03   1.88409223e-15   6.62528823e-15  -7.11715023e-15
  4.16000000e-06  -2.71710881e-03  -1.99487656e-03  -2.57761699e-03   1.73382110e-15   6.57508148e-15  -6.91625502e-15
  4.24000000e-06  -2.65407213e-03  -1.95215108e-03  -2.52604231e-03   1.59009714e-15   6.53084346e-15  -6.71779154e-15
  4.32000000e-06  -2.58822708e-03  -1.90807865e-03  -2.47475762e-03   1.45140849e-15   6.48330760e-15  -6.51669294e-15
  4.40000000e-06  -2.53302446e-03  -1.87221940e-03  -2.42803022e-03   1.32523076e-15   6.43647691e-15  -6.34561249e-15
  4.48000000e-06  -2.47607388e-03  -1.83295911e-03  -2.38122050e-03   1.20169108e-15   6.38514242e-15  -6.16456177e-15
  4.56000000e-06  -2.41821179e-03  -1.79311381e-03  -2.34023404e-03   1.08225424e-15   6.34954608e-15  -5.98340955e-15
  4.64000000e-06  -2.36423433e-03  -1.75640718e-03  -2.30102916e-03   9.69932645e-16   6.31199769e-15  -5.81460952e-15
  4.72000000e-06  -2.30969395e-03  -1.71953790e-03  -2.25695705e-03   8.63074351e-16   6.25279510e-15  -5.64714149e-15
  4.80000000e-06  -2.25474687e-03  -1.68234489e-03  -2.21441628e-03   7.60663946e-16   6.19464866e-15  -5.48074013e-15
