     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   6.416941e+00   3.996880e+00   1.301899e+06  -1.090236e+06  -1.665930e+06   0.000000e+00   0.000000e+00   0.000000e+00   2.378840e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.042411e-01   6.329814e+00   3.863615e+00   1.304127e+06  -1.087964e+06  -1.665672e+06   2.785303e+10   2.734792e+10   3.944545e+09   2.378840e+06   2.098359e-20   0.000000e+00   0.000000e+00
       16000   1.599900e-07   3.086603e-01   6.242862e+00   3.730375e+00   1.306352e+06  -1.085857e+06  -1.665304e+06   2.772616e+10   2.537035e+10   5.207179e+09   2.378840e+06   1.962377e-20   0.000000e+00   0.000000e+00
       24000   2.399900e-07   4.132570e-01   6.156073e+00   3.597169e+00   1.308560e+06  -1.083899e+06  -1.664846e+06   2.745723e+10   2.362562e+10   6.199758e+09   2.378840e+06   1.841045e-20   0.000000e+00   0.000000e+00
       32000   3.199900e-07   5.180294e-01   6.069435e+00   3.464002e+00   1.310746e+06  -1.082078e+06  -1.664310e+06   2.723846e+10   2.182037e+10   7.265078e+09   2.378840e+06   1.732444e-20   0.000000e+00   0.000000e+00
       40000   3.999900e-07   6.229762e-01   5.982936e+00   3.330882e+00   1.312926e+06  -1.080410e+06  -1.663676e+06   2.729193e+10   1.984888e+10   8.647927e+09   2.378840e+06   1.654425e-20   0.000000e+00   0.000000e+00
       48000   4.799900e-07   7.280975e-01   5.896565e+00   3.197817e+00   1.315106e+06  -1.078896e+06  -1.662937e+06   2.724392e+10   1.785884e+10   9.958771e+09   2.378840e+06   1.581811e-20   0.000000e+00   0.000000e+00
       56000   5.599900e-07   8.333931e-01   5.810309e+00   3.064815e+00   1.317280e+06  -1.077538e+06  -1.662096e+06   2.709275e+10   1.612113e+10   1.102078e+10   2.378840e+06   1.520490e-20   0.000000e+00   0.000000e+00
       64000   6.399900e-07   9.388620e-01   5.724155e+00   2.931884e+00   1.319441e+06  -1.076317e+06  -1.661173e+06   2.691322e+10   1.441143e+10   1.203916e+10   2.378840e+06   1.468124e-20   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.044503e+00   5.638094e+00   2.799029e+00   1.321582e+06  -1.075228e+06  -1.660176e+06   2.661859e+10   1.280298e+10   1.289773e+10   2.378840e+06   1.416135e-20   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.150315e+00   5.552115e+00   2.666257e+00   1.323704e+06  -1.074271e+06  -1.659104e+06   2.645679e+10   1.108899e+10   1.392822e+10   2.378840e+06   1.386287e-20   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.256295e+00   5.466207e+00   2.533575e+00   1.325814e+06  -1.073453e+06  -1.657949e+06   2.628380e+10   9.377726e+09   1.494670e+10   2.378840e+06   1.366193e-20   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.362445e+00   5.380359e+00   2.400988e+00   1.327910e+06  -1.072771e+06  -1.656712e+06   2.610183e+10   7.716192e+09   1.592502e+10   2.378840e+06   1.355653e-20   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.468760e+00   5.294561e+00   2.268503e+00   1.329987e+06  -1.072215e+06  -1.655406e+06   2.582572e+10   6.208323e+09   1.672775e+10   2.378840e+06   1.343214e-20   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.575242e+00   5.208801e+00   2.136125e+00   1.332048e+06  -1.071786e+06  -1.654026e+06   2.568626e+10   4.535473e+09   1.774716e+10   2.378840e+06   1.356828e-20   0.000000e+00   0.000000e+00
      120000   1.199990e-06   1.681888e+00   5.123071e+00   2.003860e+00   1.334092e+06  -1.071485e+06  -1.652572e+06   2.542512e+10   2.987606e+09   1.858815e+10   2.378840e+06   1.364415e-20   0.000000e+00   0.000000e+00
      128000   1.279990e-06   1.788696e+00   5.037360e+00   1.871715e+00   1.336115e+06  -1.071312e+06  -1.651050e+06   2.515950e+10   1.424698e+09   1.943591e+10   2.378840e+06   1.380641e-20   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.895665e+00   4.951658e+00   1.739694e+00   1.338111e+06  -1.071252e+06  -1.649471e+06   2.475120e+10   5.358170e+07   2.004427e+10   2.378840e+06   1.382840e-20   0.000000e+00   0.000000e+00
      144000   1.439990e-06   2.002793e+00   4.865957e+00   1.607801e+00   1.340082e+06  -1.071310e+06  -1.647833e+06   2.444377e+10  -1.416301e+09   2.079940e+10   2.378840e+06   1.406998e-20   0.000000e+00   0.000000e+00
      152000   1.519990e-06   2.110078e+00   4.780246e+00   1.476042e+00   1.342022e+06  -1.071479e+06  -1.646144e+06   2.412984e+10  -2.910707e+09   2.156648e+10   2.378840e+06   1.439325e-20   0.000000e+00   0.000000e+00
      160000   1.599990e-06   2.217516e+00   4.694517e+00   1.344420e+00   1.343940e+06  -1.071771e+06  -1.644388e+06   2.381843e+10  -4.390189e+09   2.232794e+10   2.378840e+06   1.479255e-20   0.000000e+00   0.000000e+00
      168000   1.679990e-06   2.325108e+00   4.608759e+00   1.212942e+00   1.345836e+06  -1.072180e+06  -1.642569e+06   2.354436e+10  -5.814559e+09   2.308645e+10   2.378840e+06   1.528337e-20   0.000000e+00   0.000000e+00
      176000   1.759990e-06   2.432849e+00   4.522965e+00   1.081611e+00   1.347705e+06  -1.072697e+06  -1.640698e+06   2.309281e+10  -7.080341e+09   2.359808e+10   2.378840e+06   1.554443e-20   0.000000e+00   0.000000e+00
      184000   1.839990e-06   2.540739e+00   4.437125e+00   9.504306e-01   1.349525e+06  -1.073312e+06  -1.638800e+06   2.254183e+10  -8.368056e+09   2.404337e+10   2.378840e+06   1.576199e-20   0.000000e+00   0.000000e+00
      192000   1.919990e-06   2.648773e+00   4.351232e+00   8.194043e-01   1.351313e+06  -1.074037e+06  -1.636849e+06   2.215230e+10  -9.750431e+09   2.468584e+10   2.378840e+06   1.629287e-20   0.000000e+00   0.000000e+00
      200000   1.999990e-06   2.756948e+00   4.265276e+00   6.885363e-01   1.353072e+06  -1.074876e+06  -1.634845e+06   2.169600e+10  -1.107837e+10   2.524038e+10   2.378840e+06   1.677463e-20   0.000000e+00   0.000000e+00
      208000   2.079990e-06   2.865263e+00   4.179249e+00   5.578299e-01   1.354786e+06  -1.075808e+06  -1.632811e+06   2.107936e+10  -1.219310e+10   2.552374e+10   2.378840e+06   1.696479e-20   0.000000e+00   0.000000e+00
      216000   2.159990e-06   2.973713e+00   4.093144e+00   4.272872e-01   1.356453e+06  -1.076835e+06  -1.630749e+06   2.066635e+10  -1.353216e+10   2.612593e+10   2.378840e+06   1.762334e-20   0.000000e+00   0.000000e+00
      224000   2.239990e-06   3.082294e+00   4.006953e+00   2.969114e-01   1.358085e+06  -1.077965e+06  -1.628642e+06   2.015430e+10  -1.480937e+10   2.660819e+10   2.378840e+06   1.817853e-20   0.000000e+00   0.000000e+00
      232000   2.319990e-06   3.191005e+00   3.920667e+00   1.667054e-01   1.359672e+06  -1.079197e+06  -1.626501e+06   1.950922e+10  -1.597852e+10   2.691058e+10   2.378840e+06   1.854105e-20   0.000000e+00   0.000000e+00
      240000   2.399990e-06   3.299841e+00   3.834279e+00   3.667186e-02   1.361207e+06  -1.080523e+06  -1.624335e+06   1.887631e+10  -1.715638e+10   2.723109e+10   2.378840e+06   1.897846e-20   0.000000e+00   0.000000e+00
