     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.754177e+01   1.000000e-01   2.330162e+01  -6.235000e+04   1.321080e+05  -1.989113e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.753651e+01   1.104361e-01   2.330004e+01  -6.907608e+04   1.287382e+05  -1.976620e+04  -8.295951e+10  -4.425947e+10   1.646538e+09   1.474304e+05   6.849365e-25   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.753072e+01   1.205890e-01   2.329846e+01  -7.562067e+04   1.250281e+05  -1.962683e+04  -8.058699e+10  -4.845288e+10   1.833262e+09   1.474304e+05   6.850462e-25   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.752442e+01   1.304319e-01   2.329690e+01  -8.196430e+04   1.209892e+05  -1.947286e+04  -7.796966e+10  -5.249543e+10   2.016049e+09   1.474304e+05   6.845661e-25   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.751761e+01   1.399388e-01   2.329535e+01  -8.809038e+04   1.166326e+05  -1.930427e+04  -7.514970e+10  -5.639448e+10   2.198479e+09   1.474305e+05   6.840664e-25   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.751033e+01   1.490849e-01   2.329381e+01  -9.398303e+04   1.119702e+05  -1.912115e+04  -7.213511e+10  -6.014012e+10   2.378911e+09   1.474305e+05   6.835492e-25   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.750258e+01   1.578462e-01   2.329229e+01  -9.962701e+04   1.070145e+05  -1.892374e+04  -6.893439e+10  -6.372290e+10   2.555711e+09   1.474305e+05   6.830168e-25   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.749440e+01   1.662000e-01   2.329078e+01  -1.049999e+05   1.017872e+05  -1.871276e+04  -6.541471e+10  -6.697854e+10   2.719577e+09   1.474305e+05   6.794169e-25   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.748579e+01   1.741252e-01   2.328929e+01  -1.100928e+05   9.629909e+04  -1.848862e+04  -6.188304e+10  -7.019271e+10   2.882686e+09   1.474306e+05   6.788155e-25   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.747679e+01   1.816012e-01   2.328782e+01  -1.148969e+05   9.056127e+04  -1.825175e+04  -5.819552e+10  -7.322069e+10   3.037563e+09   1.474306e+05   6.782254e-25   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.746742e+01   1.886087e-01   2.328637e+01  -1.194002e+05   8.458890e+04  -1.800287e+04  -5.436195e+10  -7.605535e+10   3.182785e+09   1.474306e+05   6.776489e-25   0.000000e+00   0.000000e+00
