       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.80351277e-04   2.52288266e-04  -4.61727273e-03  -5.16898504e-16  -1.34165918e-15  -9.34985218e-17
  8.00000000e-08   2.28718281e-04   3.15966358e-04  -4.57889501e-03  -4.66426193e-16  -1.34699648e-15  -1.16247647e-16
  1.60000000e-07   2.76735341e-04   3.79239001e-04  -4.53186740e-03  -4.15691711e-16  -1.34782752e-15  -1.38173802e-16
  2.40000000e-07   3.17864198e-04   4.32714607e-04  -4.48697760e-03  -3.65733993e-16  -1.34751399e-15  -1.55860535e-16
  3.20000000e-07   3.55089598e-04   4.78081166e-04  -4.44606237e-03  -3.16682290e-16  -1.34665369e-15  -1.70096658e-16
  4.00000000e-07   3.92234263e-04   5.22067943e-04  -4.38936034e-03  -2.67489678e-16  -1.33921893e-15  -1.83188853e-16
  4.80000000e-07   4.18350523e-04   5.53434566e-04  -4.34514061e-03  -2.19969427e-16  -1.33403965e-15  -1.91093466e-16
  5.60000000e-07   4.41764651e-04   5.78362519e-04  -4.31586457e-03  -1.73866572e-16  -1.33190689e-15  -1.96283529e-16
  6.40000000e-07   4.61893160e-04   5.99283660e-04  -4.25561211e-03  -1.27614012e-16  -1.31864997e-15  -1.99545775e-16
  7.20000000e-07   4.77436997e-04   6.13072624e-04  -4.22232974e-03  -8.33523338e-17  -1.31230199e-15  -1.99968256e-16
  8.00000000e-07   4.87662895e-04   6.19339883e-04  -4.18246830e-03  -3.98275063e-17  -1.30251669e-15  -1.97520428e-16
  8.80000000e-07   4.96772778e-04   6.23656822e-04  -4.13531609e-03   2.51524653e-18  -1.28907900e-15  -1.94106905e-16
  9.60000000e-07   4.96479368e-04   6.17521085e-04  -4.09140422e-03   4.36090848e-17  -1.27536745e-15  -1.87201079e-16
  1.04000000e-06   4.94472475e-04   6.09766982e-04  -4.04669311e-03   8.33196262e-17  -1.26014479e-15  -1.79701155e-16
  1.12000000e-06   4.87882516e-04   5.92452090e-04  -4.01190408e-03   1.21985831e-16  -1.24680918e-15  -1.69286189e-16
  1.20000000e-06   4.73596269e-04   5.74250695e-04  -3.95645293e-03   1.58488263e-16  -1.22592043e-15  -1.58962135e-16
  1.28000000e-06   4.54633969e-04   5.46726839e-04  -3.91687585e-03   1.94079312e-16  -1.20887620e-15  -1.46210918e-16
  1.36000000e-06   4.32919980e-04   5.16038996e-04  -3.86650052e-03   2.27589057e-16  -1.18750526e-15  -1.33006880e-16
  1.44000000e-06   3.98790475e-04   4.70820725e-04  -3.83053511e-03   2.60418554e-16  -1.16956607e-15  -1.16642582e-16
  1.52000000e-06   3.66506301e-04   4.27496460e-04  -3.78391183e-03   2.91056907e-16  -1.14751727e-15  -1.01451989e-16
  1.60000000e-06   3.28330792e-04   3.79831688e-04  -3.72679146e-03   3.19150219e-16  -1.12154204e-15  -8.61895186e-17
  1.68000000e-06   2.79201130e-04   3.19216071e-04  -3.68036784e-03   3.46361794e-16  -1.09807914e-15  -6.89659066e-17
  1.76000000e-06   2.29804534e-04   2.62596349e-04  -3.60924162e-03   3.69395963e-16  -1.06678534e-15  -5.40958705e-17
  1.84000000e-06   1.69234705e-04   1.90606968e-04  -3.53043354e-03   3.89319312e-16  -1.03290929e-15  -3.71040463e-17
