       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   3.95296154e-05   3.85900762e-05  -1.15797191e-03   2.23235382e-17   5.77516153e-18   9.54517799e-19
  8.00000000e-10   3.95351692e-05   3.85958980e-05  -1.15793389e-03   2.23223832e-17   5.77686532e-18   9.54702606e-19
  1.60000000e-09   3.95407247e-05   3.86017212e-05  -1.15789587e-03   2.23212281e-17   5.77856887e-18   9.54887457e-19
  2.40000000e-09   3.95462817e-05   3.86075459e-05  -1.15785785e-03   2.23200730e-17   5.78027220e-18   9.55072352e-19
  3.20000000e-09   3.95518403e-05   3.86133721e-05  -1.15781984e-03   2.23189179e-17   5.78197529e-18   9.55257292e-19
  4.00000000e-09   3.95574005e-05   3.86191998e-05  -1.15778182e-03   2.23177628e-17   5.78367816e-18   9.55442275e-19
  4.80000000e-09   3.95629622e-05   3.86250291e-05  -1.15774382e-03   2.23166076e-17   5.78538079e-18   9.55627304e-19
  5.60000000e-09   3.95685255e-05   3.86308598e-05  -1.15770581e-03   2.23154523e-17   5.78708319e-18   9.55812376e-19
  6.40000000e-09   3.95740904e-05   3.86366920e-05  -1.15766781e-03   2.23142971e-17   5.78878535e-18   9.55997492e-19
  7.20000000e-09   3.95796569e-05   3.86425258e-05  -1.15762982e-03   2.23131418e-17   5.79048729e-18   9.56182653e-19
  8.00000000e-09   3.95852249e-05   3.86483610e-05  -1.15759183e-03   2.23119865e-17   5.79218899e-18   9.56367858e-19
  8.80000000e-09   3.95907945e-05   3.86541978e-05  -1.15755384e-03   2.23108312e-17   5.79389046e-18   9.56553108e-19
  9.60000000e-09   3.95963657e-05   3.86600360e-05  -1.15751585e-03   2.23096758e-17   5.79559170e-18   9.56738401e-19
  1.04000000e-08   3.96019384e-05   3.86658758e-05  -1.15747787e-03   2.23085204e-17   5.79729271e-18   9.56923739e-19
  1.12000000e-08   3.96075128e-05   3.86717171e-05  -1.15743989e-03   2.23073650e-17   5.79899349e-18   9.57109121e-19
