     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.740609e+01   7.886805e+00   1.034852e+05   9.444521e+04  -4.589795e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-10   1.000828e-01   1.740616e+01   7.886768e+00   1.034081e+05   9.452911e+04  -4.589901e+04  -9.641862e+10   1.048355e+11  -1.317439e+09   1.474304e+05   1.571311e-28   0.000000e+00   0.000000e+00
       16000   1.599900e-09   1.001655e-01   1.740624e+01   7.886732e+00   1.033310e+05   9.461294e+04  -4.590006e+04  -9.650414e+10   1.047558e+11  -1.320644e+09   1.474304e+05   1.571296e-28   0.000000e+00   0.000000e+00
       24000   2.399900e-09   1.002481e-01   1.740632e+01   7.886695e+00   1.032537e+05   9.469671e+04  -4.590112e+04  -9.658960e+10   1.046760e+11  -1.323851e+09   1.474304e+05   1.571281e-28   0.000000e+00   0.000000e+00
       32000   3.199900e-09   1.003307e-01   1.740639e+01   7.886658e+00   1.031764e+05   9.478042e+04  -4.590218e+04  -9.667500e+10   1.045962e+11  -1.327058e+09   1.474304e+05   1.571266e-28   0.000000e+00   0.000000e+00
       40000   3.999900e-09   1.004132e-01   1.740647e+01   7.886621e+00   1.030991e+05   9.486407e+04  -4.590324e+04  -9.676033e+10   1.045162e+11  -1.330266e+09   1.474304e+05   1.571251e-28   0.000000e+00   0.000000e+00
       48000   4.799900e-09   1.004956e-01   1.740654e+01   7.886585e+00   1.030216e+05   9.494765e+04  -4.590431e+04  -9.684559e+10   1.044363e+11  -1.333475e+09   1.474304e+05   1.571236e-28   0.000000e+00   0.000000e+00
       56000   5.599900e-09   1.005780e-01   1.740662e+01   7.886548e+00   1.029441e+05   9.503117e+04  -4.590538e+04  -9.693079e+10   1.043562e+11  -1.336685e+09   1.474304e+05   1.571220e-28   0.000000e+00   0.000000e+00
       64000   6.399900e-09   1.006603e-01   1.740670e+01   7.886511e+00   1.028665e+05   9.511462e+04  -4.590645e+04  -9.701592e+10   1.042761e+11  -1.339895e+09   1.474304e+05   1.571205e-28   0.000000e+00   0.000000e+00
       72000   7.199900e-09   1.007426e-01   1.740677e+01   7.886475e+00   1.027889e+05   9.519801e+04  -4.590752e+04  -9.710099e+10   1.041959e+11  -1.343107e+09   1.474304e+05   1.571190e-28   0.000000e+00   0.000000e+00
       80000   7.999900e-09   1.008248e-01   1.740685e+01   7.886438e+00   1.027112e+05   9.528133e+04  -4.590860e+04  -9.718599e+10   1.041157e+11  -1.346319e+09   1.474304e+05   1.571175e-28   0.000000e+00   0.000000e+00
       88000   8.799900e-09   1.009069e-01   1.740692e+01   7.886401e+00   1.026334e+05   9.536459e+04  -4.590968e+04  -9.727093e+10   1.040354e+11  -1.349533e+09   1.474304e+05   1.571160e-28   0.000000e+00   0.000000e+00
       96000   9.599900e-09   1.009890e-01   1.740700e+01   7.886364e+00   1.025555e+05   9.544779e+04  -4.591076e+04  -9.735580e+10   1.039550e+11  -1.352747e+09   1.474304e+05   1.571145e-28   0.000000e+00   0.000000e+00
      104000   1.039990e-08   1.010710e-01   1.740708e+01   7.886328e+00   1.024776e+05   9.553092e+04  -4.591184e+04  -9.744061e+10   1.038745e+11  -1.355962e+09   1.474304e+05   1.571131e-28   0.000000e+00   0.000000e+00
