     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   4.259403e+00   6.280693e+00  -8.377949e+04  -9.937687e+04  -6.957692e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-10   9.993298e-02   4.259323e+00   6.280637e+00  -8.376509e+04  -9.938908e+04  -6.957683e+04   1.801135e+10  -1.526117e+10   1.160020e+08   1.474304e+05   4.316339e-30   0.000000e+00   0.000000e+00
       16000   1.599900e-09   9.986598e-02   4.259244e+00   6.280582e+00  -8.375068e+04  -9.940129e+04  -6.957673e+04   1.801270e+10  -1.525789e+10   1.161034e+08   1.474304e+05   4.315941e-30   0.000000e+00   0.000000e+00
       24000   2.399900e-09   9.979898e-02   4.259164e+00   6.280526e+00  -8.373627e+04  -9.941349e+04  -6.957664e+04   1.801405e+10  -1.525461e+10   1.162047e+08   1.474304e+05   4.315543e-30   0.000000e+00   0.000000e+00
       32000   3.199900e-09   9.973200e-02   4.259085e+00   6.280470e+00  -8.372185e+04  -9.942570e+04  -6.957655e+04   1.801540e+10  -1.525133e+10   1.163058e+08   1.474304e+05   4.315145e-30   0.000000e+00   0.000000e+00
       40000   3.999900e-09   9.966503e-02   4.259005e+00   6.280415e+00  -8.370744e+04  -9.943790e+04  -6.957646e+04   1.801674e+10  -1.524806e+10   1.164069e+08   1.474304e+05   4.314747e-30   0.000000e+00   0.000000e+00
       48000   4.799900e-09   9.959807e-02   4.258926e+00   6.280359e+00  -8.369303e+04  -9.945009e+04  -6.957636e+04   1.801809e+10  -1.524478e+10   1.165078e+08   1.474304e+05   4.314349e-30   0.000000e+00   0.000000e+00
       56000   5.599900e-09   9.953112e-02   4.258846e+00   6.280303e+00  -8.367861e+04  -9.946229e+04  -6.957627e+04   1.801944e+10  -1.524150e+10   1.166087e+08   1.474304e+05   4.313952e-30   0.000000e+00   0.000000e+00
       64000   6.399900e-09   9.946418e-02   4.258767e+00   6.280248e+00  -8.366420e+04  -9.947448e+04  -6.957618e+04   1.802078e+10  -1.523823e+10   1.167094e+08   1.474304e+05   4.313554e-30   0.000000e+00   0.000000e+00
       72000   7.199900e-09   9.939725e-02   4.258687e+00   6.280192e+00  -8.364978e+04  -9.948667e+04  -6.957608e+04   1.802213e+10  -1.523495e+10   1.168100e+08   1.474304e+05   4.313156e-30   0.000000e+00   0.000000e+00
       80000   7.999900e-09   9.933034e-02   4.258607e+00   6.280136e+00  -8.363536e+04  -9.949886e+04  -6.957599e+04   1.802347e+10  -1.523167e+10   1.169106e+08   1.474304e+05   4.312759e-30   0.000000e+00   0.000000e+00
       88000   8.799900e-09   9.926344e-02   4.258528e+00   6.280081e+00  -8.362094e+04  -9.951104e+04  -6.957590e+04   1.802482e+10  -1.522839e+10   1.170110e+08   1.474304e+05   4.312361e-30   0.000000e+00   0.000000e+00
       96000   9.599900e-09   9.919655e-02   4.258448e+00   6.280025e+00  -8.360652e+04  -9.952322e+04  -6.957580e+04   1.802616e+10  -1.522512e+10   1.171113e+08   1.474304e+05   4.311964e-30   0.000000e+00   0.000000e+00
      104000   1.039990e-08   9.912967e-02   4.258369e+00   6.279969e+00  -8.359210e+04  -9.953540e+04  -6.957571e+04   1.802750e+10  -1.522184e+10   1.172115e+08   1.474304e+05   4.311566e-30   0.000000e+00   0.000000e+00
      112000   1.119990e-08   9.906280e-02   4.258289e+00   6.279914e+00  -8.357768e+04  -9.954758e+04  -6.957561e+04   1.802885e+10  -1.521856e+10   1.173116e+08   1.474304e+05   4.311168e-30   0.000000e+00   0.000000e+00
      120000   1.199990e-08   9.899594e-02   4.258209e+00   6.279858e+00  -8.356325e+04  -9.955975e+04  -6.957552e+04   1.803019e+10  -1.521529e+10   1.174116e+08   1.474304e+05   4.310771e-30   0.000000e+00   0.000000e+00
      128000   1.279990e-08   9.892910e-02   4.258130e+00   6.279802e+00  -8.354883e+04  -9.957192e+04  -6.957543e+04   1.803153e+10  -1.521201e+10   1.175115e+08   1.474304e+05   4.310374e-30   0.000000e+00   0.000000e+00
      136000   1.359990e-08   9.886227e-02   4.258050e+00   6.279747e+00  -8.353440e+04  -9.958409e+04  -6.957533e+04   1.803287e+10  -1.520873e+10   1.176113e+08   1.474304e+05   4.309976e-30   0.000000e+00   0.000000e+00
      144000   1.439990e-08   9.879544e-02   4.257970e+00   6.279691e+00  -8.351998e+04  -9.959626e+04  -6.957524e+04   1.803421e+10  -1.520546e+10   1.177109e+08   1.474304e+05   4.309579e-30   0.000000e+00   0.000000e+00
