       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.07521705e-04   8.94835386e-05  -2.03233847e-03   1.65562124e-17   2.68017950e-17   2.05599201e-18
  8.00000000e-10   1.07559817e-04   8.95157055e-05  -2.03229368e-03   1.65522550e-17   2.68030931e-17   2.05661974e-18
  1.60000000e-09   1.07597933e-04   8.95478752e-05  -2.03224890e-03   1.65482976e-17   2.68043905e-17   2.05724743e-18
  2.40000000e-09   1.07636052e-04   8.95800476e-05  -2.03220412e-03   1.65443402e-17   2.68056872e-17   2.05787507e-18
  3.20000000e-09   1.07674174e-04   8.96122227e-05  -2.03215935e-03   1.65403829e-17   2.68069832e-17   2.05850266e-18
  4.00000000e-09   1.07712300e-04   8.96444005e-05  -2.03211457e-03   1.65364256e-17   2.68082784e-17   2.05913020e-18
  4.80000000e-09   1.07750429e-04   8.96765811e-05  -2.03206981e-03   1.65324684e-17   2.68095730e-17   2.05975769e-18
  5.60000000e-09   1.07788562e-04   8.97087645e-05  -2.03202504e-03   1.65285113e-17   2.68108668e-17   2.06038513e-18
  6.40000000e-09   1.07826698e-04   8.97409505e-05  -2.03198028e-03   1.65245541e-17   2.68121599e-17   2.06101253e-18
  7.20000000e-09   1.07864837e-04   8.97731393e-05  -2.03193553e-03   1.65205970e-17   2.68134523e-17   2.06163987e-18
  8.00000000e-09   1.07902980e-04   8.98053308e-05  -2.03189078e-03   1.65166400e-17   2.68147440e-17   2.06226716e-18
  8.80000000e-09   1.07941126e-04   8.98375251e-05  -2.03184603e-03   1.65126830e-17   2.68160350e-17   2.06289440e-18
  9.60000000e-09   1.07979275e-04   8.98697221e-05  -2.03180129e-03   1.65087261e-17   2.68173252e-17   2.06352160e-18
  1.04000000e-08   1.08017428e-04   8.99019218e-05  -2.03175655e-03   1.65047692e-17   2.68186148e-17   2.06414874e-18
  1.12000000e-08   1.08055584e-04   8.99341243e-05  -2.03171182e-03   1.65008123e-17   2.68199036e-17   2.06477583e-18
  1.20000000e-08   1.08093743e-04   8.99663294e-05  -2.03166709e-03   1.64968555e-17   2.68211917e-17   2.06540287e-18
  1.28000000e-08   1.08131906e-04   8.99985373e-05  -2.03162236e-03   1.64928988e-17   2.68224791e-17   2.06602987e-18
  1.36000000e-08   1.08170072e-04   9.00307480e-05  -2.03157764e-03   1.64889421e-17   2.68237658e-17   2.06665681e-18
  1.44000000e-08   1.08208242e-04   9.00629614e-05  -2.03153292e-03   1.64849854e-17   2.68250518e-17   2.06728370e-18
  1.52000000e-08   1.08246415e-04   9.00951774e-05  -2.03148821e-03   1.64810288e-17   2.68263371e-17   2.06791054e-18
  1.60000000e-08   1.08284591e-04   9.01273963e-05  -2.03144350e-03   1.64770722e-17   2.68276217e-17   2.06853733e-18
  1.68000000e-08   1.08322771e-04   9.01596178e-05  -2.03139879e-03   1.64731157e-17   2.68289055e-17   2.06916408e-18
  1.76000000e-08   1.08360954e-04   9.01918421e-05  -2.03135409e-03   1.64691592e-17   2.68301886e-17   2.06979077e-18
  1.84000000e-08   1.08399140e-04   9.02240691e-05  -2.03130939e-03   1.64652028e-17   2.68314711e-17   2.07041741e-18
  1.92000000e-08   1.08437330e-04   9.02562988e-05  -2.03126470e-03   1.64612464e-17   2.68327528e-17   2.07104400e-18
  2.00000000e-08   1.08475523e-04   9.02885312e-05  -2.03122001e-03   1.64572901e-17   2.68340338e-17   2.07167054e-18
  2.08000000e-08   1.08513719e-04   9.03207664e-05  -2.03117532e-03   1.64533338e-17   2.68353141e-17   2.07229702e-18
  2.16000000e-08   1.08551919e-04   9.03530043e-05  -2.03113064e-03   1.64493776e-17   2.68365936e-17   2.07292346e-18
  2.24000000e-08   1.08590122e-04   9.03852449e-05  -2.03108597e-03   1.64454214e-17   2.68378725e-17   2.07354985e-18
  2.32000000e-08   1.08628329e-04   9.04174882e-05  -2.03104129e-03   1.64414652e-17   2.68391506e-17   2.07417618e-18
  2.40000000e-08   1.08666539e-04   9.04497343e-05  -2.03099662e-03   1.64375091e-17   2.68404281e-17   2.07480247e-18
  2.48000000e-08   1.08704752e-04   9.04819831e-05  -2.03095196e-03   1.64335531e-17   2.68417048e-17   2.07542870e-18
