     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0  6.953080e-310   1.000000e-01   4.190561e+00   1.704905e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.503660e-01   4.107479e+00   1.712286e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       16000   1.599900e-07   2.007321e-01   4.024397e+00   1.719666e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       24000   2.399900e-07   2.510981e-01   3.941314e+00   1.727047e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       32000   3.199900e-07   3.014642e-01   3.858232e+00   1.734427e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       40000   3.999900e-07   3.518302e-01   3.775150e+00   1.741808e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       48000   4.799900e-07   4.021963e-01   3.692068e+00   1.749188e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       56000   5.599900e-07   4.525623e-01   3.608985e+00   1.756568e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       64000   6.399900e-07   5.029284e-01   3.525903e+00   1.763949e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       72000   7.199900e-07   5.532944e-01   3.442821e+00   1.771329e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       80000   7.999900e-07   6.036605e-01   3.359739e+00   1.778710e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       88000   8.799900e-07   6.540265e-01   3.276657e+00   1.786090e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
       96000   9.599900e-07   7.043926e-01   3.193574e+00   1.793471e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      104000   1.039990e-06   7.547586e-01   3.110492e+00   1.800851e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      112000   1.119990e-06   8.051247e-01   3.027410e+00   1.808232e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      120000   1.199990e-06   8.554907e-01   2.944328e+00   1.815612e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      128000   1.279990e-06   9.058568e-01   2.861246e+00   1.822993e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      136000   1.359990e-06   9.562228e-01   2.778163e+00   1.830373e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      144000   1.439990e-06   1.006589e+00   2.695081e+00   1.837754e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      152000   1.519990e-06   1.056955e+00   2.611999e+00   1.845134e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      160000   1.599990e-06   1.107321e+00   2.528917e+00   1.852515e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      168000   1.679990e-06   1.157687e+00   2.445834e+00   1.859895e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      176000   1.759990e-06   1.208053e+00   2.362752e+00   1.867276e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      184000   1.839990e-06   1.258419e+00   2.279670e+00   1.874656e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      192000   1.919990e-06   1.308785e+00   2.196588e+00   1.882036e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      200000   1.999990e-06   1.359151e+00   2.113506e+00   1.889417e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      208000   2.079990e-06   1.409517e+00   2.030423e+00   1.896797e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      216000   2.159990e-06   1.459883e+00   1.947341e+00   1.904178e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      224000   2.239990e-06   1.510249e+00   1.864259e+00   1.911558e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      232000   2.319990e-06   1.560615e+00   1.781177e+00   1.918939e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      240000   2.399990e-06   1.610981e+00   1.698095e+00   1.926319e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      248000   2.479990e-06   1.661347e+00   1.615012e+00   1.933700e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      256000   2.559990e-06   1.711714e+00   1.531930e+00   1.941080e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      264000   2.639990e-06   1.762080e+00   1.448848e+00   1.948461e+01   6.295756e+05  -1.038528e+06   9.225588e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.525130e+06   0.000000e+00  1.060435e-314  7.380804e-315
      272000   2.719990e-06   1.812446e+00   1.365766e+00   1.955841e+01   6.295754e+05  -1.038528e+06   9.225591e+05  -7.130585e+06   6.979513e+06   1.272293e+07   1.525130e+06   1.464322e-27  1.060435e-314  7.380804e-315
      280000   2.799990e-06   1.862812e+00   1.282683e+00   1.963222e+01   6.295742e+05  -1.038526e+06   9.225613e+05  -4.539451e+07   4.425449e+07   8.079535e+07   1.525130e+06   5.907488e-26  1.060435e-314  7.380804e-315
      288000   2.879990e-06   1.913177e+00   1.199602e+00   1.970602e+01   6.295695e+05  -1.038522e+06   9.225697e+05  -3.230964e+07   3.135337e+07   5.734235e+07   1.525130e+06   2.977205e-26  1.060435e-314  7.380804e-315
      296000   2.959990e-06   1.963543e+00   1.116520e+00   1.977983e+01   6.295655e+05  -1.038518e+06   9.225768e+05  -6.738369e+07   6.504443e+07   1.192012e+08   1.525130e+06   1.287401e-25  1.060435e-314  7.380804e-315
      304000   3.039990e-06   2.013908e+00   1.033439e+00   1.985363e+01   6.295576e+05  -1.038510e+06   9.225908e+05  -6.008890e+07   5.765085e+07   1.058979e+08   1.525130e+06   1.017110e-25  1.060435e-314  7.380804e-315
      312000   3.119990e-06   2.064272e+00   9.503582e-01   1.992744e+01   6.295542e+05  -1.038507e+06   9.225967e+05   1.923517e+06  -1.852886e+06  -3.398228e+06   1.525130e+06   1.041377e-28  1.060435e-314  7.380804e-315
      320000   3.199990e-06   2.114636e+00   8.672776e-01   2.000125e+01   6.295548e+05  -1.038508e+06   9.225957e+05  -1.712670e+01  -1.990190e+01  -1.071550e+01   1.525130e+06   4.506162e-39  1.060435e-314  7.380804e-315
      328000   3.279990e-06   2.165001e+00   7.841970e-01   2.007506e+01   6.295548e+05  -1.038508e+06   9.225957e+05  -5.281174e+01  -2.586738e+00   3.312560e+01   1.525130e+06   2.181506e-38  1.060435e-314  7.380804e-315
      336000   3.359990e-06   2.215365e+00   7.011164e-01   2.014887e+01   6.295548e+05  -1.038508e+06   9.225957e+05  -1.062763e+01  -5.523042e+00   1.035072e+00   1.525130e+06   8.097818e-40  1.060435e-314  7.380804e-315
      344000   3.439990e-06   2.265730e+00   6.180358e-01   2.022267e+01   6.295548e+05  -1.038508e+06   9.225957e+05  -2.152400e+01  -1.304808e+01  -1.601969e-20   1.525130e+06   3.548800e-39  1.060435e-314  7.380804e-315
      352000   3.519990e-06   2.316094e+00   5.349552e-01   2.029648e+01   6.295548e+05  -1.038508e+06   9.225957e+05  -1.615295e+01  -9.792097e+00  -1.804664e-21   1.525130e+06   1.999129e-39  1.060435e-314  7.380804e-315
      360000   3.599990e-06   2.366458e+00   4.518746e-01   2.037029e+01   6.295548e+05  -1.038508e+06   9.225957e+05  -2.124628e+01  -1.287973e+01   1.511252e-20   1.525130e+06   3.458559e-39  1.060435e-314  7.380804e-315
      368000   3.679990e-06   2.416823e+00   3.687940e-01   2.044410e+01   6.295548e+05  -1.038508e+06   9.225957e+05  -2.203245e+01  -1.335631e+01   3.289559e-20   1.525130e+06   3.719588e-39  1.060435e-314  7.380804e-315
      376000   3.759990e-06   2.467187e+00   2.857134e-01   2.051790e+01   6.295547e+05  -1.038508e+06   9.225957e+05  -9.937040e+06  -6.023942e+06   2.101568e-14   1.525130e+06   7.564687e-28  1.060435e-314  7.380804e-315
      384000   3.839990e-06   2.517552e+00   2.026327e-01   2.059171e+01   6.295544e+05  -1.038508e+06   9.225957e+05   1.540436e+07   9.338287e+06  -9.411361e-15   1.525130e+06   1.817623e-27  1.060435e-314  7.380804e-315
      392000   3.919990e-06   2.567916e+00   1.195522e-01   2.066552e+01   6.295590e+05  -1.038505e+06   9.225957e+05   1.124640e+08   6.817756e+07   1.207787e-13   1.525130e+06   9.688993e-26  1.060435e-314  7.380804e-315
      400000   3.999990e-06   2.618281e+00   3.647196e-02   2.073933e+01   6.295664e+05  -1.038501e+06   9.225957e+05   9.676931e+07   5.866411e+07   4.388349e-14   1.525130e+06   7.173547e-26  1.060435e-314  7.380804e-315
