     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.723080e+01   1.093603e+01   1.153100e+05   9.186096e+04  -9.430682e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-10   1.000922e-01   1.723088e+01   1.093603e+01   1.152111e+05   9.198495e+04  -9.438833e+02  -1.236929e+11   1.549149e+11  -1.020847e+09   1.474304e+05   3.043651e-28   0.000000e+00   0.000000e+00
       16000   1.599900e-09   1.001843e-01   1.723095e+01   1.093603e+01   1.151121e+05   9.210883e+04  -9.447015e+02  -1.238598e+11   1.547820e+11  -1.024655e+09   1.474304e+05   3.043665e-28   0.000000e+00   0.000000e+00
       24000   2.399900e-09   1.002764e-01   1.723102e+01   1.093603e+01   1.150129e+05   9.223260e+04  -9.455228e+02  -1.240265e+11   1.546490e+11  -1.028464e+09   1.474304e+05   3.043678e-28   0.000000e+00   0.000000e+00
       32000   3.199900e-09   1.003684e-01   1.723110e+01   1.093603e+01   1.149136e+05   9.235626e+04  -9.463471e+02  -1.241931e+11   1.545158e+11  -1.032275e+09   1.474304e+05   3.043692e-28   0.000000e+00   0.000000e+00
       40000   3.999900e-09   1.004602e-01   1.723117e+01   1.093603e+01   1.148142e+05   9.247982e+04  -9.471744e+02  -1.243595e+11   1.543824e+11  -1.036087e+09   1.474304e+05   3.043705e-28   0.000000e+00   0.000000e+00
       48000   4.799900e-09   1.005521e-01   1.723125e+01   1.093603e+01   1.147146e+05   9.260328e+04  -9.480048e+02  -1.245258e+11   1.542489e+11  -1.039900e+09   1.474304e+05   3.043719e-28   0.000000e+00   0.000000e+00
       56000   5.599900e-09   1.006438e-01   1.723132e+01   1.093603e+01   1.146150e+05   9.272662e+04  -9.488383e+02  -1.246920e+11   1.541151e+11  -1.043715e+09   1.474304e+05   3.043732e-28   0.000000e+00   0.000000e+00
       64000   6.399900e-09   1.007354e-01   1.723139e+01   1.093603e+01   1.145151e+05   9.284986e+04  -9.496747e+02  -1.248580e+11   1.539812e+11  -1.047531e+09   1.474304e+05   3.043746e-28   0.000000e+00   0.000000e+00
       72000   7.199900e-09   1.008270e-01   1.723147e+01   1.093603e+01   1.144152e+05   9.297299e+04  -9.505143e+02  -1.250238e+11   1.538471e+11  -1.051349e+09   1.474304e+05   3.043760e-28   0.000000e+00   0.000000e+00
       80000   7.999900e-09   1.009185e-01   1.723154e+01   1.093603e+01   1.143151e+05   9.309602e+04  -9.513569e+02  -1.251896e+11   1.537129e+11  -1.055168e+09   1.474304e+05   3.043774e-28   0.000000e+00   0.000000e+00
       88000   8.799900e-09   1.010099e-01   1.723162e+01   1.093602e+01   1.142149e+05   9.321893e+04  -9.522026e+02  -1.253551e+11   1.535784e+11  -1.058988e+09   1.474304e+05   3.043788e-28   0.000000e+00   0.000000e+00
       96000   9.599900e-09   1.011013e-01   1.723169e+01   1.093602e+01   1.141145e+05   9.334174e+04  -9.530513e+02  -1.255206e+11   1.534438e+11  -1.062810e+09   1.474304e+05   3.043801e-28   0.000000e+00   0.000000e+00
      104000   1.039990e-08   1.011925e-01   1.723177e+01   1.093602e+01   1.140140e+05   9.346444e+04  -9.539031e+02  -1.256859e+11   1.533090e+11  -1.066633e+09   1.474304e+05   3.043815e-28   0.000000e+00   0.000000e+00
      112000   1.119990e-08   1.012837e-01   1.723184e+01   1.093602e+01   1.139134e+05   9.358704e+04  -9.547579e+02  -1.258510e+11   1.531740e+11  -1.070457e+09   1.474304e+05   3.043829e-28   0.000000e+00   0.000000e+00
      120000   1.199990e-08   1.013748e-01   1.723192e+01   1.093602e+01   1.138127e+05   9.370952e+04  -9.556158e+02  -1.260160e+11   1.530389e+11  -1.074283e+09   1.474304e+05   3.043843e-28   0.000000e+00   0.000000e+00
      128000   1.279990e-08   1.014658e-01   1.723199e+01   1.093602e+01   1.137118e+05   9.383190e+04  -9.564768e+02  -1.261809e+11   1.529035e+11  -1.078110e+09   1.474304e+05   3.043858e-28   0.000000e+00   0.000000e+00
      136000   1.359990e-08   1.015567e-01   1.723207e+01   1.093602e+01   1.136108e+05   9.395417e+04  -9.573408e+02  -1.263456e+11   1.527680e+11  -1.081938e+09   1.474304e+05   3.043872e-28   0.000000e+00   0.000000e+00
      144000   1.439990e-08   1.016476e-01   1.723214e+01   1.093602e+01   1.135097e+05   9.407633e+04  -9.582079e+02  -1.265102e+11   1.526323e+11  -1.085767e+09   1.474304e+05   3.043886e-28   0.000000e+00   0.000000e+00
      152000   1.519990e-08   1.017383e-01   1.723222e+01   1.093602e+01   1.134084e+05   9.419838e+04  -9.590780e+02  -1.266746e+11   1.524965e+11  -1.089598e+09   1.474304e+05   3.043900e-28   0.000000e+00   0.000000e+00
