       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   2.36271117e-04   5.11871002e-05  -1.83795761e-02  -3.94224725e-16   1.66064868e-16  -4.60530409e-18
  8.00000000e-10   2.36322194e-04   5.11968095e-05  -1.83796419e-02  -3.94459661e-16   1.65510182e-16  -4.61086129e-18
  1.60000000e-09   2.36373094e-04   5.12064790e-05  -1.83797079e-02  -3.94693821e-16   1.64955162e-16  -4.61640780e-18
  2.40000000e-09   2.36423817e-04   5.12161088e-05  -1.83797740e-02  -3.94927203e-16   1.64399809e-16  -4.62194358e-18
  3.20000000e-09   2.36474362e-04   5.12256987e-05  -1.83798402e-02  -3.95159807e-16   1.63844124e-16  -4.62746861e-18
  4.00000000e-09   2.36524730e-04   5.12352489e-05  -1.83799067e-02  -3.95391634e-16   1.63288109e-16  -4.63298287e-18
  4.80000000e-09   2.36574921e-04   5.12447593e-05  -1.83799732e-02  -3.95622682e-16   1.62731764e-16  -4.63848632e-18
  5.60000000e-09   2.36624933e-04   5.12542299e-05  -1.83800400e-02  -3.95852950e-16   1.62175090e-16  -4.64397894e-18
  6.40000000e-09   2.36674768e-04   5.12636606e-05  -1.83801068e-02  -3.96082440e-16   1.61618090e-16  -4.64946070e-18
  7.20000000e-09   2.36724424e-04   5.12730515e-05  -1.83801739e-02  -3.96311149e-16   1.61060763e-16  -4.65493158e-18
  8.00000000e-09   2.36773903e-04   5.12824025e-05  -1.83802411e-02  -3.96539078e-16   1.60503111e-16  -4.66039154e-18
  8.80000000e-09   2.36823204e-04   5.12917135e-05  -1.83803084e-02  -3.96766226e-16   1.59945134e-16  -4.66584057e-18
  9.60000000e-09   2.36872326e-04   5.13009847e-05  -1.83803759e-02  -3.96992592e-16   1.59386835e-16  -4.67127863e-18
  1.04000000e-08   2.36921270e-04   5.13102159e-05  -1.83804436e-02  -3.97218177e-16   1.58828214e-16  -4.67670569e-18
  1.12000000e-08   2.36970035e-04   5.13194071e-05  -1.83805114e-02  -3.97442980e-16   1.58269272e-16  -4.68212174e-18
  1.20000000e-08   2.37018623e-04   5.13285584e-05  -1.83805793e-02  -3.97666999e-16   1.57710010e-16  -4.68752673e-18
  1.28000000e-08   2.37067031e-04   5.13376697e-05  -1.83806474e-02  -3.97890236e-16   1.57150429e-16  -4.69292066e-18
  1.36000000e-08   2.37115261e-04   5.13467409e-05  -1.83807157e-02  -3.98112689e-16   1.56590531e-16  -4.69830348e-18
  1.44000000e-08   2.37163311e-04   5.13557721e-05  -1.83807841e-02  -3.98334358e-16   1.56030316e-16  -4.70367518e-18
  1.52000000e-08   2.37211183e-04   5.13647633e-05  -1.83808527e-02  -3.98555242e-16   1.55469786e-16  -4.70903572e-18
