       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00  -8.43460307e-01  -4.53756118e-01  -4.76443341e+00   6.30507196e-15  -1.08015994e-14  -8.74786342e-17
  8.00000000e-08  -8.32889587e-01  -4.47937363e-01  -4.71544259e+00  -1.54994614e-15  -1.32387591e-14   1.53136608e-15
  1.60000000e-07  -8.22339833e-01  -4.42131173e-01  -4.66641977e+00  -1.29607009e-14  -5.51469899e-15   2.80650297e-15
  2.40000000e-07  -8.11561819e-01  -4.36202619e-01  -4.61745601e+00  -7.97039144e-15   1.31073745e-14   1.62642432e-16
  3.20000000e-07  -7.97274747e-01  -4.29257528e-01  -4.57578165e+00   1.52106522e-14   5.15306630e-15  -3.13368568e-15
  4.00000000e-07  -7.89828045e-01  -4.25201219e-01  -4.53485974e+00  -3.57323061e-15  -1.69587544e-14   2.21244346e-15
  4.80000000e-07  -7.82207649e-01  -4.21055913e-01  -4.49389919e+00  -8.71003293e-15   1.64607191e-14  -2.62197066e-17
  5.60000000e-07  -7.74279355e-01  -4.16738517e-01  -4.45313881e+00   1.50265629e-14  -1.28499614e-14  -1.41017018e-15
  6.40000000e-07  -7.66957544e-01  -4.12754089e-01  -4.41207593e+00  -1.67711665e-14   1.26294925e-14   1.73385456e-15
  7.20000000e-07  -7.58926351e-01  -4.08380910e-01  -4.37133695e+00   1.39005780e-14  -1.74908191e-14  -7.79303527e-16
  8.00000000e-07  -7.51410959e-01  -4.04293423e-01  -4.33029069e+00  -2.43712974e-15   2.34962537e-14  -1.77080372e-15
  8.80000000e-07  -7.43990486e-01  -4.00148125e-01  -4.28836596e+00  -1.76371867e-14  -1.71802037e-14   4.66297083e-15
  9.60000000e-07  -7.35770855e-01  -3.95674440e-01  -4.24746254e+00   2.34570623e-14  -1.18955122e-14  -2.95524034e-15
  1.04000000e-06  -7.18048115e-01  -3.86032509e-01  -4.22099012e+00   1.00389992e-14   2.54974390e-14  -4.03965049e-15
  1.12000000e-06  -7.12790825e-01  -3.83148225e-01  -4.18606132e+00  -2.44727221e-14   1.57908467e-14   2.72181796e-15
  1.20000000e-06  -7.07182165e-01  -3.80073250e-01  -4.15126152e+00  -2.57688001e-14  -1.59468236e-14   5.84983548e-15
  1.28000000e-06  -7.01318795e-01  -3.76863541e-01  -4.11649812e+00  -5.21954882e-15  -3.18729040e-14   3.80719308e-15
  1.36000000e-06  -6.95462377e-01  -3.73659355e-01  -4.08168841e+00   1.34930534e-14  -3.14453566e-14   5.79647551e-16
  1.44000000e-06  -6.89702591e-01  -3.70507292e-01  -4.04682397e+00   2.32396678e-14  -2.74189706e-14  -1.45040421e-15
  1.52000000e-06  -6.84032763e-01  -3.67402804e-01  -4.01191844e+00   2.52626339e-14  -2.80194013e-14  -1.74132718e-15
  1.60000000e-06  -6.78466416e-01  -3.64352906e-01  -3.97696811e+00   1.88782939e-14  -3.48161021e-14  -3.09130956e-17
  1.68000000e-06  -6.56943833e-01  -3.52712421e-01  -3.95378670e+00  -3.70845427e-17  -4.09499566e-14   3.65925678e-15
  1.76000000e-06  -6.52962434e-01  -3.50522378e-01  -3.92357368e+00  -2.75316337e-14  -3.23216450e-14   7.46935953e-15
  1.84000000e-06  -6.48866376e-01  -3.48273733e-01  -3.89332175e+00  -4.44322801e-14   3.82013210e-15   7.06341852e-15
  1.92000000e-06  -6.44258767e-01  -3.45752284e-01  -3.86317262e+00  -1.50662096e-14   4.47609257e-14  -1.49350166e-15
  2.00000000e-06  -6.39339639e-01  -3.43058039e-01  -3.83318136e+00   4.28932127e-14   2.27250855e-14  -9.18802194e-15
  2.08000000e-06  -6.35339646e-01  -3.40849770e-01  -3.80298423e+00   2.10025621e-14  -4.71210692e-14   7.14556008e-16
  2.16000000e-06  -6.31916138e-01  -3.38960830e-01  -3.77239876e+00  -5.27056596e-14  -5.71442663e-15   9.34220530e-15
  2.24000000e-06  -6.26741132e-01  -3.36137722e-01  -3.74222140e+00   2.24493918e-14   5.07552582e-14  -8.31877935e-15
  2.32000000e-06  -6.22521541e-01  -3.33807644e-01  -3.71201963e+00   2.13029767e-14  -5.43976837e-14   1.31917426e-15
  2.40000000e-06  -6.00288703e-01  -3.21938476e-01  -3.69719598e+00  -5.02414334e-14   3.47075002e-14   5.13515792e-15
  2.48000000e-06  -5.95886103e-01  -3.19459120e-01  -3.67158810e+00   6.22341921e-14  -1.08906984e-14  -9.15281244e-15
  2.56000000e-06  -5.94039719e-01  -3.18354522e-01  -3.64520045e+00  -6.54124621e-14  -3.91143679e-15   1.10015415e-14
  2.64000000e-06  -5.89359602e-01  -3.15732393e-01  -3.61946287e+00   6.78547801e-14   6.11686120e-15  -1.15824251e-14
  2.72000000e-06  -5.87677773e-01  -3.14714548e-01  -3.59293097e+00  -7.07038601e-14   5.96065867e-15   1.10425670e-14
  2.80000000e-06  -5.82928976e-01  -3.12049099e-01  -3.56716928e+00   6.64575719e-14  -3.28489508e-14  -7.98660131e-15
  2.88000000e-06  -5.80885066e-01  -3.10848876e-01  -3.54040678e+00  -3.98394090e-14   6.62995577e-14   7.15447376e-16
  2.96000000e-06  -5.77470489e-01  -3.08884016e-01  -3.51435202e+00  -1.82074751e-14  -7.74869217e-14   9.80230522e-15
  3.04000000e-06  -5.52354968e-01  -2.95662988e-01  -3.49847625e+00   7.71721563e-14   2.88493852e-14  -1.46224001e-14
  3.12000000e-06  -5.51086502e-01  -2.95015778e-01  -3.47484304e+00  -6.18635479e-14   6.06133034e-14   4.66504103e-15
  3.20000000e-06  -5.48231108e-01  -2.93506018e-01  -3.45179256e+00  -4.27939756e-14  -7.78796412e-14   1.34188632e-14
  3.28000000e-06  -5.44168165e-01  -2.91365022e-01  -3.42865013e+00   8.38019101e-14  -3.91254343e-14  -9.97551435e-15
  3.36000000e-06  -5.41807851e-01  -2.90141759e-01  -3.40485381e+00   4.74779460e-14   8.24309253e-14  -1.45793565e-14
  3.44000000e-06  -5.40361637e-01  -2.89396452e-01  -3.38095170e+00  -6.80498732e-14   7.23933926e-14   4.67949599e-15
  3.52000000e-06  -5.38005282e-01  -2.88156554e-01  -3.35731232e+00  -9.69290365e-14  -2.89687222e-14   1.80191340e-14
  3.60000000e-06  -5.34624185e-01  -2.86371280e-01  -3.33373893e+00  -3.57620555e-14  -9.88519500e-14   1.42265547e-14
  3.68000000e-06  -5.31017513e-01  -2.84471347e-01  -3.30996027e+00   4.09794914e-14  -1.01421499e-13   2.14222594e-15
  3.76000000e-06  -5.08208751e-01  -2.72298803e-01  -3.30056747e+00   9.45997556e-14  -6.08287258e-14  -9.54770195e-15
  3.84000000e-06  -5.05858565e-01  -2.70957169e-01  -3.27934052e+00   1.14523638e-13  -1.30743598e-14  -1.65857042e-14
  3.92000000e-06  -5.03688471e-01  -2.69710376e-01  -3.25795814e+00   1.16440885e-13   2.16232584e-14  -1.97921353e-14
  4.00000000e-06  -5.01542556e-01  -2.68473886e-01  -3.23645484e+00   1.15909502e-13   3.77818171e-14  -2.10962248e-14
  4.08000000e-06  -4.99324807e-01  -2.67196360e-01  -3.21491773e+00   1.21483228e-13   3.53714813e-14  -2.18079362e-14
  4.16000000e-06  -4.82119144e-01  -2.57782626e-01  -3.19887323e+00   1.30759231e-13   1.28091201e-14  -2.07396456e-14
  4.24000000e-06  -4.77219476e-01  -2.55042458e-01  -3.17829314e+00   1.31445586e-13  -3.40650583e-14  -1.70029494e-14
  4.32000000e-06  -4.71862792e-01  -2.52176078e-01  -3.15929762e+00   1.01527794e-13  -9.72083539e-14  -7.40467336e-15
  4.40000000e-06  -4.68500029e-01  -2.50344277e-01  -3.14066169e+00   2.31563048e-14  -1.42746189e-13   7.92411424e-15
  4.48000000e-06  -4.65394947e-01  -2.48658439e-01  -3.12163003e+00  -8.78008446e-14  -1.18163777e-13   2.25025032e-14
  4.56000000e-06  -4.61771698e-01  -2.46705465e-01  -3.10239467e+00  -1.51331812e-13   4.26169433e-15   2.21858829e-14
  4.64000000e-06  -4.56671936e-01  -2.43961649e-01  -3.08341096e+00  -6.85666202e-14   1.41385149e-13  -1.03135878e-15
  4.72000000e-06  -4.50572374e-01  -2.40661782e-01  -3.06484103e+00   1.13540807e-13   1.11726380e-13  -2.54651448e-14
  4.80000000e-06  -4.46066471e-01  -2.38195980e-01  -3.04582604e+00   1.33104912e-13  -9.75800540e-14  -1.18622868e-14
  4.88000000e-06  -4.43951932e-01  -2.37033459e-01  -3.02542470e+00  -9.55972385e-14  -1.37914795e-13   2.48332076e-14
  4.96000000e-06  -4.36614964e-01  -2.33224678e-01  -3.00605003e+00  -1.26262889e-13   1.19192811e-13   9.09151931e-15
  5.04000000e-06  -4.30218986e-01  -2.29806971e-01  -2.98876134e+00   1.51566112e-13   8.93088898e-14  -2.86842658e-14
  5.12000000e-06  -4.27643614e-01  -2.28410305e-01  -2.97033814e+00   1.92406310e-14  -1.81226576e-13   1.11656932e-14
  5.20000000e-06  -4.25368160e-01  -2.27233016e-01  -2.95066622e+00  -1.64939948e-13   8.60932985e-14   1.71476400e-14
  5.28000000e-06  -4.18077330e-01  -2.23337706e-01  -2.93282832e+00   1.75973628e-13   6.83477459e-14  -3.02899466e-14
  5.36000000e-06  -4.16672201e-01  -2.22571176e-01  -2.91308724e+00  -9.23108328e-14  -1.70311731e-13   2.62161185e-14
  5.44000000e-06  -4.11577306e-01  -2.19896873e-01  -2.89321519e+00  -9.26594521e-15   1.98984583e-13  -1.38055527e-14
  5.52000000e-06  -4.02870946e-01  -2.15182583e-01  -2.88096234e+00   9.01939716e-14  -1.83560038e-13   1.09768609e-15
  5.60000000e-06  -4.01236145e-01  -2.14357584e-01  -2.86190850e+00  -1.40771181e-13   1.54132612e-13   8.19138409e-15
  5.68000000e-06  -3.94817804e-01  -2.10909017e-01  -2.84512700e+00   1.64766898e-13  -1.34960836e-13  -1.28600402e-14
  5.76000000e-06  -3.94062639e-01  -2.10547835e-01  -2.82525502e+00  -1.68353415e-13   1.37347217e-13   1.32461077e-14
