     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0  8.094772e-319   1.000000e-01   9.449685e+00   5.884431e+00   1.246004e+05  -2.285635e+04  -7.541903e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.017797e-01   9.456170e+00   5.878337e+00  -1.168491e+05   3.745617e+04  -8.183599e+04  -1.351939e+12  -4.557060e+12  -1.581628e+11   1.474917e+05   1.753284e-21  1.482197e-323  1.482197e-323
       16000   1.599900e-07   9.985273e-02   9.450162e+00   5.871801e+00   1.182640e+05  -4.406423e+04  -7.644513e+04   1.752241e+12   4.411929e+12   1.647342e+11   1.475530e+05   1.750322e-21  1.482197e-323  1.482197e-323
       24000   2.399900e-07   1.027511e-01   9.456269e+00   5.865711e+00  -1.082967e+05   5.870248e+04  -8.133720e+04  -2.157985e+12  -4.222497e+12  -1.769620e+11   1.476140e+05   1.748284e-21  1.482197e-323  1.482197e-323
       32000   3.199900e-07   9.971179e-02   9.450759e+00   5.859127e+00   1.074869e+05  -6.506313e+04  -7.759665e+04   2.548114e+12   3.991622e+12   1.798639e+11   1.476749e+05   1.745111e-21  1.482197e-323  1.482197e-323
       40000   3.999900e-07   1.037083e-01   9.456246e+00   5.853035e+00  -9.509726e+04   7.919861e+04  -8.068399e+04  -2.932470e+12  -3.712366e+12  -1.904778e+11   1.477356e+05   1.743360e-21  1.482197e-323  1.482197e-323
       48000   4.799900e-07   9.960704e-02   9.451484e+00   5.846412e+00   9.191565e+04  -8.471651e+04  -7.885652e+04   3.289845e+12   3.390944e+12   1.888961e+11   1.477962e+05   1.740116e-21  1.482197e-323  1.482197e-323
       56000   5.599900e-07   1.046179e-01   9.456096e+00   5.840310e+00  -7.703075e+04   9.769433e+04  -7.989780e+04  -3.628088e+12  -3.019401e+12  -1.968416e+11   1.478566e+05   1.738522e-21  1.482197e-323  1.482197e-323
       64000   6.399900e-07   9.957417e-02   9.452340e+00   5.833660e+00   7.148791e+04  -1.016754e+05  -8.019349e+04   3.926673e+12   2.608640e+12   1.901952e+11   1.479169e+05   1.735371e-21  1.482197e-323  1.482197e-323
       72000   7.199900e-07   1.054419e-01   9.455819e+00   5.827538e+00  -5.421998e+04   1.127550e+05  -7.901696e+04  -4.190924e+12  -2.149433e+12  -1.942606e+11   1.479770e+05   1.733793e-21  1.482197e-323  1.482197e-323
       80000   7.999900e-07   9.965305e-02   9.453319e+00   5.820875e+00   4.653308e+04  -1.144446e+05  -8.156015e+04   4.402694e+12   1.658272e+12   1.823070e+11   1.480370e+05   1.730918e-21  1.482197e-323  1.482197e-323
       88000   8.799900e-07   1.061391e-01   9.455430e+00   5.814721e+00  -2.722831e+04   1.228495e+05  -7.809776e+04  -4.563856e+12  -1.124951e+12  -1.812462e+11   1.480967e+05   1.729216e-21  1.482197e-323  1.482197e-323
       96000   9.599900e-07   9.988485e-02   9.454400e+00   5.808061e+00   1.786131e+04  -1.214922e+05  -8.289127e+04   4.661048e+12   5.714374e+11   1.641487e+11   1.481564e+05   1.726834e-21  1.482197e-323  1.482197e-323
      104000   1.039990e-06   1.066692e-01   9.454957e+00   5.801861e+00   2.864510e+03   1.264838e+05  -7.721150e+04  -4.691661e+12   1.222305e+10  -1.568893e+11   1.482159e+05   1.724901e-21  1.482197e-323  1.482197e-323
      112000   1.119990e-06   1.003104e-01   9.455546e+00   5.795219e+00  -1.305855e+04  -1.213856e+05  -8.414632e+04   4.649133e+12  -5.965231e+11   1.364111e+11   1.482754e+05   1.722560e-21  1.482197e-323  1.482197e-323
      120000   1.199990e-06   1.069990e-01   9.454451e+00   5.788958e+00   3.422930e+04   1.224238e+05  -7.644555e+04  -4.529823e+12   1.192354e+12  -1.216506e+11   1.483346e+05   1.721342e-21  1.482197e-323  1.482197e-323
      128000   1.279990e-06   1.009542e-01   9.456706e+00   5.782352e+00  -4.432011e+04  -1.131368e+05  -8.518517e+04   4.330999e+12  -1.771678e+12   9.711200e+10   1.483938e+05   1.718795e-21  1.482197e-323  1.482197e-323
      136000   1.359990e-06   1.071049e-01   9.453962e+00   5.776016e+00   6.487977e+04   1.098303e+05  -7.593516e+04  -4.047187e+12   2.340333e+12  -7.585137e+10   1.484528e+05   1.716769e-21  1.482197e-323  1.482197e-323
      144000   1.439990e-06   1.018345e-01   9.457820e+00   5.769460e+00  -7.363964e+04  -9.615417e+04  -8.594934e+04   3.686444e+12  -2.869101e+12   4.874273e+10   1.485117e+05   1.715095e-21  1.482197e-323  1.482197e-323
      152000   1.519990e-06   1.069791e-01   9.453560e+00   5.763035e+00   9.220837e+04   8.849398e+04  -7.575998e+04  -3.238988e+12   3.358380e+12  -2.221556e+10   1.485703e+05   1.712223e-21  1.482197e-323  1.482197e-323
      160000   1.599990e-06   1.029479e-01   9.458812e+00   5.756540e+00  -9.821767e+04  -7.062560e+04  -8.634739e+04   2.724338e+12  -3.784307e+12  -6.098322e+09   1.486289e+05   1.711433e-21  1.482197e-323  1.482197e-323
      168000   1.679990e-06   1.066381e-01   9.453323e+00   5.750019e+00   1.133177e+05   5.908102e+04  -7.600302e+04  -2.132285e+12   4.138972e+12   3.542350e+10   1.486873e+05   1.707731e-21  1.482197e-323  1.482197e-323
      176000   1.759990e-06   1.042645e-01   9.459603e+00   5.743589e+00  -1.151243e+05  -3.772389e+04  -8.630504e+04   1.490328e+12  -4.408736e+12  -6.343680e+10   1.487456e+05   1.707738e-21  1.482197e-323  1.482197e-323
      184000   1.839990e-06   1.061264e-01   9.453329e+00   5.736970e+00   1.253524e+05   2.331785e+04  -7.671782e+04  -7.934302e+11   4.577193e+12   9.197467e+10   1.488038e+05   1.703284e-21  1.482197e-323  1.482197e-323
      192000   1.919990e-06   1.057242e-01   9.460120e+00   5.730604e+00  -1.216609e+05   2.602953e+02  -8.578110e+04   7.147656e+10  -4.643335e+12  -1.179786e+11   1.488618e+05   1.703894e-21  1.482197e-323  1.482197e-323
      200000   1.999990e-06   1.055196e-01   9.453643e+00   5.723893e+00   1.259070e+05  -1.593915e+04  -7.791294e+04   6.698105e+11   4.585873e+12   1.414907e+11   1.489196e+05   1.698842e-21  1.482197e-323  1.482197e-323
      208000   2.079990e-06   1.072367e-01   9.460306e+00   5.717580e+00  -1.158111e+05   3.992027e+04  -8.478448e+04  -1.404195e+12  -4.415371e+12  -1.634299e+11   1.489773e+05   1.699770e-21  1.482197e-323  1.482197e-323
      216000   2.159990e-06   1.049219e-01   9.454308e+00   5.710792e+00   1.135011e+05  -5.479470e+04  -7.953893e+04   2.112093e+12   4.112964e+12   1.778022e+11   1.490349e+05   1.694360e-21  1.482197e-323  1.482197e-323
      224000   2.239990e-06   1.086858e-01   9.460138e+00   5.704511e+00  -9.673421e+04   7.692395e+04  -8.338899e+04  -2.775241e+12  -3.696566e+12  -1.931645e+11   1.490923e+05   1.695258e-21  1.482197e-323  1.482197e-323
      232000   2.319990e-06   1.044576e-01   9.455328e+00   5.697671e+00   8.800013e+04  -8.863945e+04  -8.151462e+04   3.361064e+12   3.156137e+12   1.938648e+11   1.491496e+05   1.687974e-21  1.482197e-323  1.482197e-323
      240000   2.399990e-06   1.099428e-01   9.459628e+00   5.691390e+00  -6.507324e+04   1.064965e+05  -8.177161e+04  -3.864215e+12  -2.512506e+12  -1.996908e+11   1.492067e+05   1.688407e-21  1.482197e-323  1.482197e-323
      248000   2.479990e-06   1.042548e-01   9.456664e+00   5.684530e+00   5.098642e+04  -1.126649e+05  -8.358608e+04   4.243884e+12   1.778616e+12   1.887949e+11   1.492636e+05   1.683740e-21  1.482197e-323  1.482197e-323
      256000   2.559990e-06   1.108727e-01   9.458849e+00   5.678218e+00  -2.356124e+04   1.238152e+05  -8.007034e+04  -4.495853e+12  -9.718054e+11  -1.824429e+11   1.493204e+05   1.683488e-21  1.482197e-323  1.482197e-323
      264000   2.639990e-06   1.044430e-01   9.458214e+00   5.671377e+00   6.346462e+03  -1.222791e+05  -8.556326e+04   4.591724e+12   1.254771e+11   1.587916e+11   1.493771e+05   1.679560e-21  1.482197e-323  1.482197e-323
      272000   2.719990e-06   1.113715e-01   9.457933e+00   5.664997e+00   2.292838e+04   1.250064e+05  -7.860082e+04  -4.529867e+12   7.452108e+11  -1.388954e+11   1.494336e+05   1.678398e-21  1.482197e-323  1.482197e-323
      280000   2.799990e-06   1.051035e-01   9.459823e+00   5.658211e+00  -4.023667e+04  -1.145780e+05  -8.717890e+04   4.300704e+12  -1.592264e+12   1.053231e+11   1.494900e+05   1.675537e-21  1.482197e-323  1.482197e-323
      288000   2.879990e-06   1.113868e-01   9.457055e+00   5.651729e+00   6.794414e+04   1.082524e+05  -7.764725e+04  -3.903350e+12   2.399482e+12  -7.302326e+10   1.495463e+05   1.673333e-21  1.482197e-323  1.482197e-323
      296000   2.959990e-06   1.062548e-01   9.461303e+00   5.645027e+00  -8.176742e+04  -8.899670e+04  -8.817346e+04   3.353576e+12  -3.116919e+12   3.371387e+10   1.496024e+05   1.671704e-21  1.482197e-323  1.482197e-323
      304000   3.039990e-06   1.109398e-01   9.456414e+00   5.638418e+00   1.041875e+05   7.445545e+04  -7.745310e+04  -2.653944e+12   3.723260e+12   6.458122e+09   1.496584e+05   1.668431e-21  1.482197e-323  1.482197e-323
      312000   3.119990e-06   1.078336e-01   9.462454e+00   5.631819e+00  -1.109416e+05  -4.797536e+04  -8.834408e+04   1.843482e+12  -4.181393e+12  -4.668032e+10   1.497142e+05   1.667963e-21  1.482197e-323  1.482197e-323
