       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.39393693e-04   4.48572586e-05  -4.41238797e-03  -1.04265996e-16   5.53739840e-17  -2.73096954e-18
  8.00000000e-08   1.43780138e-04   4.61302001e-05  -4.40891071e-03  -1.05971114e-16   5.17041886e-17  -2.91487348e-18
  1.60000000e-07   1.47886351e-04   4.73112259e-05  -4.40552606e-03  -1.07552338e-16   4.79896316e-17  -3.09499348e-18
  2.40000000e-07   1.52047110e-04   4.84719790e-05  -4.40180589e-03  -1.08996568e-16   4.42248143e-17  -3.27796119e-18
  3.20000000e-07   1.55584346e-04   4.95039673e-05  -4.39846555e-03  -1.10322408e-16   4.04326534e-17  -3.44730741e-18
  4.00000000e-07   1.58829021e-04   5.04397413e-05  -4.39521065e-03  -1.11521413e-16   3.66086300e-17  -3.60990821e-18
  4.80000000e-07   1.61777800e-04   5.12783686e-05  -4.39203815e-03  -1.12592886e-16   3.27569507e-17  -3.76483668e-18
  5.60000000e-07   1.64427684e-04   5.20190279e-05  -4.38894490e-03  -1.13536252e-16   2.88818353e-17  -3.91121290e-18
  6.40000000e-07   1.67492291e-04   5.26824790e-05  -4.38610756e-03  -1.14355306e-16   2.49770788e-17  -4.06688104e-18
  7.20000000e-07   1.69771929e-04   5.32834265e-05  -4.38309930e-03  -1.15038211e-16   2.10633607e-17  -4.19975221e-18
  8.00000000e-07   1.71742658e-04   5.37853195e-05  -4.38015856e-03  -1.15591803e-16   1.71391491e-17  -4.32180905e-18
  8.80000000e-07   1.72622515e-04   5.37745278e-05  -4.37710582e-03  -1.16018357e-16   1.32206029e-17  -4.41306420e-18
  9.60000000e-07   1.73844126e-04   5.40559971e-05  -4.37427732e-03  -1.16313729e-16   9.29030780e-18  -4.50777584e-18
  1.04000000e-06   1.74755456e-04   5.42409647e-05  -4.37150701e-03  -1.16480049e-16   5.36225299e-18  -4.58987487e-18
  1.12000000e-06   1.75356030e-04   5.43294065e-05  -4.36879140e-03  -1.16517644e-16   1.44066492e-18  -4.65890888e-18
  1.20000000e-06   1.75645716e-04   5.43214044e-05  -4.36612697e-03  -1.16426971e-16  -2.47024527e-18  -4.71449550e-18
  1.28000000e-06   1.75624722e-04   5.42171464e-05  -4.36351015e-03  -1.16208615e-16  -6.36628579e-18  -4.75632388e-18
  1.36000000e-06   1.75293600e-04   5.40169253e-05  -4.36093739e-03  -1.15863286e-16  -1.02432883e-17  -4.78415569e-18
  1.44000000e-06   1.75426018e-04   5.38617680e-05  -4.35833814e-03  -1.15387527e-16  -1.41095593e-17  -4.81879549e-18
  1.52000000e-06   1.74596977e-04   5.35139298e-05  -4.35577928e-03  -1.14788067e-16  -1.79376456e-17  -4.82153984e-18
  1.60000000e-06   1.73532422e-04   5.28612445e-05  -4.35305515e-03  -1.14062732e-16  -2.17344822e-17  -4.81098752e-18
  1.68000000e-06   1.72059228e-04   5.23226111e-05  -4.35043004e-03  -1.13213026e-16  -2.54939281e-17  -4.78418331e-18
  1.76000000e-06   1.70274485e-04   5.16909822e-05  -4.34783261e-03  -1.12241983e-16  -2.92133292e-17  -4.74305553e-18
  1.84000000e-06   1.68180765e-04   5.09672702e-05  -4.34525937e-03  -1.11151116e-16  -3.28887636e-17  -4.68780539e-18
  1.92000000e-06   1.65780970e-04   5.01524854e-05  -4.34270685e-03  -1.09942065e-16  -3.65163659e-17  -4.61870657e-18
  2.00000000e-06   1.63078325e-04   4.92477344e-05  -4.34017157e-03  -1.08616588e-16  -4.00923319e-17  -4.53610358e-18
  2.08000000e-06   1.60642329e-04   4.85857644e-05  -4.33779957e-03  -1.07174439e-16  -4.36237639e-17  -4.45761614e-18
  2.16000000e-06   1.57303505e-04   4.75359121e-05  -4.33522216e-03  -1.05619317e-16  -4.70839862e-17  -4.34867424e-18
  2.24000000e-06   1.53670585e-04   4.63972324e-05  -4.33265388e-03  -1.03953956e-16  -5.04813520e-17  -4.22763063e-18
  2.32000000e-06   1.49748033e-04   4.51711443e-05  -4.33009136e-03  -1.02180599e-16  -5.38123596e-17  -4.09508900e-18
  2.40000000e-06   1.45540614e-04   4.38591573e-05  -4.32753126e-03  -1.00301599e-16  -5.70735902e-17  -3.95171169e-18
  2.48000000e-06   1.40502071e-04   4.23487380e-05  -4.32569071e-03  -9.83378348e-17  -6.02624736e-17  -3.78406832e-18
  2.56000000e-06   1.35070345e-04   4.12305868e-05  -4.32185566e-03  -9.62201780e-17  -6.33460446e-17  -3.61147814e-18
  2.64000000e-06   1.29962944e-04   3.96235762e-05  -4.31921244e-03  -9.40399430e-17  -6.63749842e-17  -3.43852549e-18
  2.72000000e-06   1.26890257e-04   3.81349559e-05  -4.31737774e-03  -9.17783923e-17  -6.93731106e-17  -3.31018622e-18
  2.80000000e-06   1.21181432e-04   3.63766557e-05  -4.31465843e-03  -8.94078051e-17  -7.22327417e-17  -3.12009667e-18
  2.88000000e-06   1.15216830e-04   3.45430551e-05  -4.31192391e-03  -8.69482425e-17  -7.50037384e-17  -2.92416086e-18
  2.96000000e-06   1.09003299e-04   3.26362628e-05  -4.30917104e-03  -8.44027796e-17  -7.76833993e-17  -2.72337234e-18
  3.04000000e-06   1.02547930e-04   3.06584596e-05  -4.30639672e-03  -8.17745789e-17  -8.02691366e-17  -2.51875119e-18
  3.12000000e-06   9.58580544e-05   2.86118958e-05  -4.30359787e-03  -7.90668867e-17  -8.27584793e-17  -2.31133931e-18
  3.20000000e-06   8.89412315e-05   2.64988884e-05  -4.30077147e-03  -7.62830292e-17  -8.51490755e-17  -2.10219550e-18
  3.28000000e-06   8.18052399e-05   2.43218181e-05  -4.29791453e-03  -7.34264091e-17  -8.74386956e-17  -1.89239060e-18
  3.36000000e-06   7.44580681e-05   2.20831268e-05  -4.29502411e-03  -7.05005011e-17  -8.96252344e-17  -1.68300255e-18
