     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   9.120899e+00   1.786145e+00   5.015638e+04  -2.770365e+04  -1.358402e+05   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.040198e-01   9.118689e+00   1.775279e+00   5.033841e+04  -2.753640e+04  -1.358069e+05   2.272832e+09   2.078085e+09   4.210955e+08   1.474304e+05   7.482607e-28   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.080541e-01   9.116493e+00   1.764416e+00   5.052004e+04  -2.737117e+04  -1.357728e+05   2.268000e+09   2.052797e+09   4.300704e+08   1.474304e+05   7.390629e-28   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.121030e-01   9.114310e+00   1.753555e+00   5.070129e+04  -2.720796e+04  -1.357381e+05   2.263444e+09   2.027326e+09   4.390813e+08   1.474304e+05   7.300216e-28   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.161663e-01   9.112140e+00   1.742698e+00   5.088220e+04  -2.704680e+04  -1.357026e+05   2.259163e+09   2.001672e+09   4.481290e+08   1.474304e+05   7.211388e-28   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.202441e-01   9.109982e+00   1.731843e+00   5.106277e+04  -2.688770e+04  -1.356664e+05   2.255154e+09   1.975838e+09   4.572144e+08   1.474304e+05   7.124164e-28   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.243364e-01   9.107838e+00   1.720991e+00   5.124303e+04  -2.673067e+04  -1.356294e+05   2.251417e+09   1.949826e+09   4.663383e+08   1.474304e+05   7.038562e-28   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.284430e-01   9.105705e+00   1.710142e+00   5.142300e+04  -2.657573e+04  -1.355917e+05   2.247949e+09   1.923639e+09   4.755017e+08   1.474304e+05   6.954603e-28   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.325640e-01   9.103586e+00   1.699297e+00   5.160269e+04  -2.642288e+04  -1.355533e+05   2.241873e+09   1.898800e+09   4.833137e+08   1.474304e+05   6.865742e-28   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.366994e-01   9.101478e+00   1.688454e+00   5.178186e+04  -2.627195e+04  -1.355143e+05   2.237311e+09   1.874575e+09   4.914854e+08   1.474304e+05   6.785292e-28   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.408491e-01   9.099382e+00   1.677614e+00   5.196070e+04  -2.612292e+04  -1.354747e+05   2.234225e+09   1.851671e+09   4.998774e+08   1.474304e+05   6.714950e-28   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.450131e-01   9.097298e+00   1.666778e+00   5.213927e+04  -2.597579e+04  -1.354344e+05   2.230044e+09   1.826684e+09   5.081663e+08   1.474304e+05   6.635782e-28   0.000000e+00   0.000000e+00
       96000   9.599900e-07   1.491914e-01   9.095226e+00   1.655945e+00   5.231751e+04  -2.583066e+04  -1.353934e+05   2.226113e+09   1.801524e+09   5.164954e+08   1.474304e+05   6.558128e-28   0.000000e+00   0.000000e+00
      104000   1.039990e-06   1.533839e-01   9.093165e+00   1.645115e+00   5.249545e+04  -2.568755e+04  -1.353517e+05   2.222432e+09   1.776193e+09   5.248655e+08   1.474304e+05   6.482006e-28   0.000000e+00   0.000000e+00
      112000   1.119990e-06   1.575907e-01   9.091116e+00   1.634289e+00   5.267311e+04  -2.554647e+04  -1.353094e+05   2.218999e+09   1.750692e+09   5.332775e+08   1.474304e+05   6.407434e-28   0.000000e+00   0.000000e+00
      120000   1.199990e-06   1.618116e-01   9.089078e+00   1.623466e+00   5.285050e+04  -2.540744e+04  -1.352664e+05   2.215811e+09   1.725024e+09   5.417323e+08   1.474304e+05   6.334429e-28   0.000000e+00   0.000000e+00
      128000   1.279990e-06   1.660467e-01   9.087050e+00   1.612646e+00   5.302764e+04  -2.527047e+04  -1.352227e+05   2.212867e+09   1.699190e+09   5.502308e+08   1.474304e+05   6.263009e-28   0.000000e+00   0.000000e+00
      136000   1.359990e-06   1.702960e-01   9.085034e+00   1.601830e+00   5.320456e+04  -2.513557e+04  -1.351784e+05   2.210165e+09   1.673193e+09   5.587738e+08   1.474304e+05   6.193191e-28   0.000000e+00   0.000000e+00
      144000   1.439990e-06   1.745594e-01   9.083029e+00   1.591017e+00   5.338071e+04  -2.500223e+04  -1.351336e+05   2.198808e+09   1.655879e+09   5.622078e+08   1.474304e+05   6.112752e-28   0.000000e+00   0.000000e+00
