       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.49516471e-04   1.08302755e-04  -2.92301866e-03   8.18266242e-16   7.60509037e-15   3.23636840e-16
  8.00000000e-08   3.56874227e-04   2.58390435e-04  -2.72219423e-03   1.15465305e-15   6.45596903e-15   7.64172717e-16
  1.60000000e-07   5.60370547e-04   4.03056248e-04  -2.51928376e-03   1.49398730e-15   5.31561823e-15   1.18274871e-15
  2.40000000e-07   7.72416826e-04   5.59180584e-04  -2.31660884e-03   1.88283063e-15   4.15464023e-15   1.63062669e-15
  3.20000000e-07   9.79010681e-04   7.11927437e-04  -2.10851479e-03   2.27413677e-15   2.99868600e-15   2.06839955e-15
  4.00000000e-07   1.19209096e-03   8.67028884e-04  -1.89695378e-03   2.68177348e-15   1.81845882e-15   2.51644206e-15
  4.80000000e-07   1.39855412e-03   1.02164432e-03  -1.67860393e-03   3.09391948e-15   6.42837008e-16   2.96899377e-15
  5.60000000e-07   1.61562336e-03   1.18480252e-03  -1.45911362e-03   3.53366051e-15  -5.62126936e-16   3.45624562e-15
  6.40000000e-07   1.81970261e-03   1.33818356e-03  -1.23620029e-03   3.94439283e-15  -1.73474255e-15   3.92834237e-15
  7.20000000e-07   2.03327668e-03   1.50429055e-03  -1.01150981e-03   4.38705470e-15  -2.93490943e-15   4.45387621e-15
  8.00000000e-07   2.24296045e-03   1.66738365e-03  -7.82601549e-04   4.81222904e-15  -4.13079365e-15   4.99107322e-15
  8.80000000e-07   2.45313426e-03   1.83562222e-03  -5.48729970e-04   5.23888109e-15  -5.33716308e-15   5.56678825e-15
  9.60000000e-07   2.66527756e-03   2.00538945e-03  -3.15543568e-04   5.65289925e-15  -6.54146752e-15   6.17460089e-15
