     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.480091e+01   1.072913e+01   2.194736e+06   9.022743e+05  -6.429892e+04   0.000000e+00   0.000000e+00   0.000000e+00   2.373836e+06   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   2.740332e-01   1.487671e+01   1.072400e+01   2.155451e+06   9.924773e+05  -6.417424e+04  -5.152023e+11   1.119001e+12   1.161790e+09   2.373836e+06   7.618773e-19   0.000000e+00   0.000000e+00
       16000   1.599900e-07   4.447695e-01   1.495967e+01   1.071886e+01   2.112316e+06   1.081251e+06  -6.416720e+04  -5.631835e+11   1.100159e+12  -1.386982e+09   2.373837e+06   7.668617e-19   0.000000e+00   0.000000e+00
       24000   2.399900e-07   6.119015e-01   1.504967e+01   1.071372e+01   2.065348e+06   1.168455e+06  -6.442939e+04  -6.109594e+11   1.079635e+12  -5.487307e+09   2.373837e+06   7.725788e-19   0.000000e+00   0.000000e+00
       32000   3.199900e-07   7.751235e-01   1.514658e+01   1.070854e+01   2.014567e+06   1.253948e+06  -6.508768e+04  -6.584640e+11   1.057304e+12  -1.123674e+10   2.373837e+06   7.789442e-19   0.000000e+00   0.000000e+00
       40000   3.999900e-07   9.341313e-01   1.525025e+01   1.070329e+01   1.960000e+06   1.337578e+06  -6.626886e+04  -7.056710e+11   1.033137e+12  -1.855780e+10   2.373837e+06   7.860199e-19   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.088623e+00   1.536054e+01   1.069792e+01   1.901668e+06   1.419199e+06  -6.810251e+04  -7.525315e+11   1.007051e+12  -2.754301e+10   2.373838e+06   7.938147e-19   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.238299e+00   1.547727e+01   1.069238e+01   1.839613e+06   1.498643e+06  -7.070636e+04  -7.987648e+11   9.787275e+11  -3.776636e+10   2.373838e+06   8.019201e-19   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.382863e+00   1.560026e+01   1.068659e+01   1.773873e+06   1.575746e+06  -7.419271e+04  -8.447100e+11   9.485953e+11  -4.959018e+10   2.373838e+06   8.111919e-19   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.522021e+00   1.572932e+01   1.068048e+01   1.704491e+06   1.650342e+06  -7.868760e+04  -8.897974e+11   9.160013e+11  -6.293525e+10   2.373838e+06   8.206961e-19   0.000000e+00   0.000000e+00
