       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   1.32641856e-03   8.20349576e-04  -1.96762924e-02   6.20621000e-17  -4.47746227e-16  -1.44838316e-17
  8.00000000e-08   1.25540418e-03   7.77095933e-04  -1.97485471e-02   1.30417022e-16  -4.36356696e-16  -8.87989070e-18
  1.60000000e-07   1.18544771e-03   7.33810600e-04  -1.98215260e-02   1.96603568e-16  -4.14621343e-16  -3.59156445e-18
  2.40000000e-07   1.12042922e-03   6.93637312e-04  -1.98920182e-02   2.59043602e-16  -3.82679836e-16   1.24668136e-18
  3.20000000e-07   1.06193966e-03   6.57560419e-04  -1.99600700e-02   3.16139721e-16  -3.41118083e-16   5.58192211e-18
  4.00000000e-07   1.01143433e-03   6.26479001e-04  -2.00257727e-02   3.66388992e-16  -2.90777715e-16   9.40848944e-18
  4.80000000e-07   9.69800161e-04   6.01902048e-04  -2.00887135e-02   4.08399824e-16  -2.32743768e-16   1.27423423e-17
  5.60000000e-07   9.39010099e-04   5.83074762e-04  -2.01500189e-02   4.41029030e-16  -1.68311667e-16   1.56819916e-17
  6.40000000e-07   9.19367817e-04   5.71224226e-04  -2.02095473e-02   4.63278197e-16  -9.89725329e-17   1.82778739e-17
  7.20000000e-07   9.11444735e-04   5.66698334e-04  -2.02675775e-02   4.74412768e-16  -2.63678159e-17   2.05973517e-17
  8.00000000e-07   9.15531514e-04   5.69669395e-04  -2.03244323e-02   4.73964860e-16   4.77469945e-17   2.26884451e-17
  8.80000000e-07   9.48567030e-04   5.90520490e-04  -2.03787638e-02   4.61483680e-16   1.21874522e-16   2.50121946e-17
  9.60000000e-07   9.78911321e-04   6.09849110e-04  -2.04397368e-02   4.37640163e-16   1.93564552e-16   2.67349861e-17
  1.04000000e-06   1.02127311e-03   6.36645438e-04  -2.05005920e-02   4.02498528e-16   2.61310047e-16   2.81661510e-17
  1.12000000e-06   1.07469994e-03   6.70306510e-04  -2.05617896e-02   3.56741623e-16   3.23331201e-16   2.91862344e-17
  1.20000000e-06   1.13765457e-03   7.12278677e-04  -2.06242482e-02   3.01294393e-16   3.77953610e-16   2.96727055e-17
  1.28000000e-06   1.20910827e-03   7.57493444e-04  -2.06875166e-02   2.37460832e-16   4.23648091e-16   2.93909859e-17
  1.36000000e-06   1.28714387e-03   8.06797749e-04  -2.07525041e-02   1.66680821e-16   4.59085424e-16   2.81860580e-17
  1.44000000e-06   1.36983080e-03   8.58973356e-04  -2.08195937e-02   9.06379683e-17   4.83154580e-16   2.58975078e-17
  1.52000000e-06   1.45509146e-03   9.12710903e-04  -2.08891099e-02   1.11931277e-17   4.95000501e-16   2.24078183e-17
  1.60000000e-06   1.60046206e-03   9.99735369e-04  -2.09431858e-02  -7.04372873e-17   4.94930736e-16   1.82430486e-17
  1.68000000e-06   1.70218983e-03   1.06395371e-03  -2.10159583e-02  -1.50947440e-16   4.81148847e-16   1.21326328e-17
  1.76000000e-06   1.79528082e-03   1.12197502e-03  -2.10919136e-02  -2.28552248e-16   4.54240822e-16   4.70945349e-18
  1.84000000e-06   1.88183884e-03   1.17578776e-03  -2.11714678e-02  -3.01193901e-16   4.14709891e-16  -3.74029671e-18
  1.92000000e-06   1.95970874e-03   1.22404794e-03  -2.12546843e-02  -3.66800020e-16   3.63298083e-16  -1.28972480e-17
  2.00000000e-06   2.02955255e-03   1.26344776e-03  -2.13405519e-02  -4.23355832e-16   3.01143597e-16  -2.24335203e-17
  2.08000000e-06   2.08486878e-03   1.29677459e-03  -2.14306485e-02  -4.69196826e-16   2.29580042e-16  -3.17536004e-17
  2.16000000e-06   2.12640644e-03   1.32148410e-03  -2.15239409e-02  -5.02723307e-16   1.50377447e-16  -4.04327755e-17
  2.24000000e-06   2.15313086e-03   1.33695877e-03  -2.16200632e-02  -5.22674832e-16   6.55583756e-17  -4.79988635e-17
  2.32000000e-06   2.16440727e-03   1.34283086e-03  -2.17185673e-02  -5.28129839e-16  -2.26087189e-17  -5.40297033e-17
  2.40000000e-06   2.19860089e-03   1.36314857e-03  -2.18142609e-02  -5.19061430e-16  -1.10902086e-16  -5.92449569e-17
