     timestep     time              x             y              z              vx             vy             vz             ax             ay             az         v_magnitude      ELoss        Electronic      Nuclear
           0   0.000000e+00   1.000000e-01   1.008776e+01   1.737112e+01   1.128363e+05  -1.344921e+04   9.392973e+04   0.000000e+00   0.000000e+00   0.000000e+00   1.474304e+05   0.000000e+00   0.000000e+00   0.000000e+00
        8000   7.999000e-08   1.090469e-01   1.008744e+01   1.737867e+01   1.128335e+05   5.457943e+03   9.473420e+04  -1.892685e+10   2.364091e+11   8.928548e+09   1.474305e+05   4.362397e-24   0.000000e+00   0.000000e+00
       16000   1.599900e-07   1.179728e-01   1.008863e+01   1.738628e+01   1.098121e+05   2.421674e+04   9.534497e+04  -5.649765e+10   2.315648e+11   6.260920e+09   1.474307e+05   4.403163e-24   0.000000e+00   0.000000e+00
       24000   2.399900e-07   1.265377e-01   1.009130e+01   1.739392e+01   1.038233e+05   4.234989e+04   9.572388e+04  -9.295226e+10   2.207876e+11   3.142941e+09   1.474308e+05   4.445281e-24   0.000000e+00   0.000000e+00
       32000   3.199900e-07   1.345087e-01   1.009537e+01   1.740159e+01   9.499305e+04   5.939128e+04   9.583785e+04  -1.274265e+11   2.043920e+11  -3.535793e+08   1.474310e+05   4.493044e-24   0.000000e+00   0.000000e+00
       40000   3.999900e-07   1.416659e-01   1.010076e+01   1.740925e+01   8.351620e+04   7.490247e+04   9.565881e+04  -1.589236e+11   1.825242e+11  -4.163039e+09   1.474311e+05   4.537614e-24   0.000000e+00   0.000000e+00
       48000   4.799900e-07   1.478080e-01   1.010731e+01   1.741688e+01   6.966587e+04   8.846244e+04   9.516855e+04  -1.866312e+11   1.556990e+11  -8.102393e+09   1.474313e+05   4.580215e-24   0.000000e+00   0.000000e+00
       56000   5.599900e-07   1.527580e-01   1.011485e+01   1.742447e+01   5.377698e+04   9.969791e+04   9.436313e+04  -2.097661e+11   1.245244e+11  -1.201358e+10   1.474315e+05   4.619993e-24   0.000000e+00   0.000000e+00
       64000   6.399900e-07   1.563684e-01   1.012319e+01   1.743197e+01   3.624321e+04   1.082895e+05   9.325178e+04  -2.276503e+11   8.973521e+10  -1.572093e+10   1.474316e+05   4.656537e-24   0.000000e+00   0.000000e+00
       72000   7.199900e-07   1.585248e-01   1.013210e+01   1.743938e+01   1.750783e+04   1.139813e+05   9.185785e+04  -2.397251e+11   5.217998e+10  -1.904979e+10   1.474318e+05   4.689818e-24   0.000000e+00   0.000000e+00
       80000   7.999900e-07   1.591504e-01   1.014134e+01   1.744666e+01  -1.946646e+03   1.165893e+05   9.021820e+04  -2.455708e+11   1.280419e+10  -2.183885e+10   1.474320e+05   4.720197e-24   0.000000e+00   0.000000e+00
       88000   8.799900e-07   1.582078e-01   1.015067e+01   1.745381e+01  -2.161019e+04   1.160082e+05   8.838167e+04  -2.449222e+11  -2.737128e+10  -2.395189e+10   1.474321e+05   4.748389e-24   0.000000e+00   0.000000e+00
