       time             b_x              b_y              b_z              F_x              F_y              F_z
  0.00000000e+00   3.09516452e-04   1.20319558e-04  -1.66430466e-02  -1.87363424e-14   3.21279074e-14  -1.16180088e-16
  8.00000000e-08   5.58067516e-04   2.14783356e-04  -1.67616090e-02  -2.09792837e-14   3.12778876e-14  -2.97697380e-16
  1.60000000e-07   8.07565970e-04   3.06077925e-04  -1.68746173e-02  -2.31800792e-14   3.02560554e-14  -5.60530192e-16
  2.40000000e-07   1.04881446e-03   3.91144256e-04  -1.69865906e-02  -2.53283852e-14   2.90633801e-14  -8.94635229e-16
  3.20000000e-07   1.28800600e-03   4.72609863e-04  -1.70964867e-02  -2.74112309e-14   2.77033940e-14  -1.29926885e-15
  4.00000000e-07   1.51562033e-03   5.44939675e-04  -1.72039869e-02  -2.94099359e-14   2.61695529e-14  -1.76200258e-15
  4.80000000e-07   1.73096984e-03   6.10017850e-04  -1.73136489e-02  -3.13199453e-14   2.44702577e-14  -2.26911075e-15
  5.60000000e-07   1.93243662e-03   6.67141988e-04  -1.74243754e-02  -3.31258420e-14   2.26049865e-14  -2.80829892e-15
  6.40000000e-07   2.12133807e-03   7.15725522e-04  -1.75393233e-02  -3.48204097e-14   2.05815082e-14  -3.37157534e-15
  7.20000000e-07   2.29587309e-03   7.55568447e-04  -1.76594157e-02  -3.63930878e-14   1.84025486e-14  -3.94404475e-15
  8.00000000e-07   2.45274816e-03   7.88054592e-04  -1.77852261e-02  -3.78339803e-14   1.60698266e-14  -4.50561183e-15
  8.80000000e-07   2.59234198e-03   8.10953050e-04  -1.79230545e-02  -3.91429110e-14   1.35922052e-14  -5.04652659e-15
  9.60000000e-07   2.72081176e-03   8.28581166e-04  -1.80717933e-02  -4.03091635e-14   1.09757225e-14  -5.56554446e-15
  1.04000000e-06   2.82380398e-03   8.34328299e-04  -1.82361161e-02  -4.13266616e-14   8.21584424e-15  -6.02341417e-15
  1.12000000e-06   2.91607639e-03   8.38043296e-04  -1.84142111e-02  -4.21853808e-14   5.32483073e-15  -6.43814462e-15
  1.20000000e-06   2.98500591e-03   8.32434321e-04  -1.86139735e-02  -4.28850108e-14   2.29875065e-15  -6.77439732e-15
  1.28000000e-06   3.03804762e-03   8.19452574e-04  -1.88263197e-02  -4.33916770e-14  -8.53622287e-16  -7.03937286e-15
  1.36000000e-06   3.06786453e-03   8.03438880e-04  -1.90641764e-02  -4.37213153e-14  -4.13326791e-15  -7.20995746e-15
  1.44000000e-06   3.07999695e-03   7.79714139e-04  -1.93215864e-02  -4.38401295e-14  -7.53043238e-15  -7.29231268e-15
  1.52000000e-06   3.05965143e-03   7.48689356e-04  -1.96097860e-02  -4.37537003e-14  -1.10528821e-14  -7.24874034e-15
  1.60000000e-06   3.01961547e-03   7.17645652e-04  -1.99178222e-02  -4.34195799e-14  -1.46784868e-14  -7.11143946e-15
  1.68000000e-06   2.94497499e-03   6.75436901e-04  -2.02499487e-02  -4.28180813e-14  -1.84056864e-14  -6.84100786e-15
  1.76000000e-06   2.83300794e-03   6.30245264e-04  -2.06094292e-02  -4.19340982e-14  -2.22237253e-14  -6.44394511e-15
  1.84000000e-06   2.68611987e-03   5.78548562e-04  -2.09892182e-02  -4.07253146e-14  -2.61039503e-14  -5.93140147e-15
  1.92000000e-06   2.49740276e-03   5.21089429e-04  -2.13861303e-02  -3.91595679e-14  -3.00195015e-14  -5.30437513e-15
  2.00000000e-06   2.24975698e-03   4.55896424e-04  -2.18036502e-02  -3.72173143e-14  -3.39500370e-14  -4.55004609e-15
  2.08000000e-06   1.96904839e-03   3.87904791e-04  -2.22180474e-02  -3.48392063e-14  -3.78094291e-14  -3.74769846e-15
  2.16000000e-06   1.62676879e-03   3.11621541e-04  -2.26383175e-02  -3.20246379e-14  -4.15755987e-14  -2.87355869e-15
  2.24000000e-06   1.22277354e-03   2.30827248e-04  -2.30459631e-02  -2.87425275e-14  -4.51623240e-14  -1.97736571e-15
  2.32000000e-06   7.77860244e-04   1.42405792e-04  -2.34288625e-02  -2.49879135e-14  -4.84790199e-14  -1.12428837e-15
